Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Акушинская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	179	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	587	0	0	8	0	0	2	0	15	0	0	0	0	0	0	0	130	50	13	12	9	0	45	10	0	0	166	24	0	0	1	1	0	0	0	0	0	6	0	0	0	52	0	18	0	0	7	15	0	2	0	0	1									
		2.24%	0.00%	0.00%	0.75%	0.00%	0.00%	0.63%	0.00%	2.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.86%	4.85%	2.36%	2.55%	0.83%	0.00%	4.81%	1.16%	0.00%	0.00%	22.43%	6.92%	0.00%	0.00%	0.50%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	1.85%	0.00%	0.00%	0.00%	4.66%	0.00%	3.71%	0.00%	0.00%	5.30%	0.98%	0.00%	1.11%	0.00%	0.00%	0.38%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	62	0	0	0	0	0	8	0	0	0	0	3	3	0	0	0	0	0	11	0	12	0	0	0	0	0	0	0	2	0	4	1	0	0	0	0	0	8	0	1	4	0	0	0	0	0	0	0	0	2	0	1	2									
		0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	2.54%	0.00%	0.00%	0.00%	0.00%	0.30%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	1.99%	0.00%	1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.48%	0.00%	1.99%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	2.46%	0.00%	0.52%	3.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	0.60%	0.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	50	1	0	0	0	0	3	0	0	0	5	1	2	0	0	0	0	10	9	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	3	0	0	0	0	1	0	0	1									
		0.19%	0.47%	0.00%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.95%	0.10%	1.04%	0.00%	0.00%	0.00%	0.00%	0.97%	1.63%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.35%	0.00%	0.00%	0.00%	0.00%	0.21%	0.39%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22804	185	258	482	422	881	249	224	582	36	482	972	183	572	60	53	936	927	493	437	910	467	857	831	836	417	517	289	131	355	166	76	921	817	171	77	140	295	439	190	109	1003	193	448	697	199	117	1357	441	143	401	145	215									
		87.08%	87.26%	88.36%	44.92%	95.48%	88.37%	79.05%	59.57%	97.49%	94.74%	91.98%	97.10%	95.31%	91.23%	88.24%	70.67%	85.40%	89.91%	89.31%	92.78%	83.64%	97.09%	91.56%	96.07%	91.87%	93.08%	69.86%	83.29%	97.04%	84.32%	82.59%	91.57%	93.69%	93.91%	78.44%	75.49%	88.61%	90.77%	84.42%	99.48%	93.16%	89.87%	93.69%	92.37%	91.71%	92.13%	88.64%	88.98%	89.82%	79.44%	76.09%	87.35%	81.13%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	31	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	4	0	4	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	5	0	0	0	0	0	0	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	0.95%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	2.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0									
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	958	5	12	409	4	16	48	95	0	0	6	11	1	13	6	0	15	20	0	0	31	6	0	9	0	18	16	4	0	18	1	2	11	0	4	0	0	3	30	0	3	27	13	11	20	0	0	39	20	1	0	9	1									
		3.66%	2.36%	4.11%	38.12%	0.90%	1.60%	15.24%	25.27%	0.00%	0.00%	1.15%	1.10%	0.52%	2.07%	8.82%	0.00%	1.37%	1.94%	0.00%	0.00%	2.85%	1.25%	0.00%	1.04%	0.00%	4.02%	2.16%	1.15%	0.00%	4.28%	0.50%	2.41%	1.12%	0.00%	1.83%	0.00%	0.00%	0.92%	5.77%	0.00%	2.56%	2.42%	6.31%	2.27%	2.63%	0.00%	0.00%	2.56%	4.07%	0.56%	0.00%	5.42%	0.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0									
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1050	19	21	93	16	80	2	45	0	2	15	8	2	37	2	15	0	0	1	12	86	8	2	9	74	13	0	8	2	29	22	3	38	53	24	6	11	4	26	0	0	24	0	0	17	10	7	114	30	13	0	10	37									
		4.01%	8.96%	7.19%	8.67%	3.62%	8.02%	0.63%	11.97%	0.00%	5.26%	2.86%	0.80%	1.04%	5.90%	2.94%	20.00%	0.00%	0.00%	0.18%	2.55%	7.90%	1.66%	0.21%	1.04%	8.13%	2.90%	0.00%	2.31%	1.48%	6.89%	10.95%	3.61%	3.87%	6.09%	11.01%	5.88%	6.96%	1.23%	5.00%	0.00%	0.00%	2.15%	0.00%	0.00%	2.24%	4.63%	5.30%	7.48%	6.11%	7.22%	0.00%	6.02%	13.96%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	401	0	0	77	0	9	0	2	0	0	5	2	1	0	0	1	0	19	5	10	9	0	32	6	0	0	0	6	0	15	0	0	0	0	12	16	7	2	15	0	0	5	0	0	0	2	0	0	0	14	126	0	3									
		1.53%	0.00%	0.00%	7.18%	0.00%	0.90%	0.00%	0.53%	0.00%	0.00%	0.95%	0.20%	0.52%	0.00%	0.00%	1.33%	0.00%	1.84%	0.91%	2.12%	0.83%	0.00%	3.42%	0.69%	0.00%	0.00%	0.00%	1.73%	0.00%	3.56%	0.00%	0.00%	0.00%	0.00%	5.50%	15.69%	4.43%	0.62%	2.88%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	7.78%	23.91%	0.00%	1.13%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	142	0	0	4	0	11	1	10	0	0	6	0	0	5	0	6	0	0	2	0	13	0	0	0	0	0	41	2	0	0	5	0	13	0	7	3	0	4	0	0	1	5	0	0	0	0	0	0	0	3	0	0	0									
		0.54%	0.00%	0.00%	0.37%	0.00%	1.10%	0.32%	2.66%	0.00%	0.00%	1.15%	0.00%	0.00%	0.80%	0.00%	8.00%	0.00%	0.00%	0.36%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%	0.00%	5.54%	0.58%	0.00%	0.00%	2.49%	0.00%	1.32%	0.00%	3.21%	2.94%	0.00%	1.23%	0.00%	0.00%	0.85%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%	0.00%	0.00%	0.00%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
