Выборы Президента Российской Федерации																																																																	
Дата голосования: 18.03.2018																																																																	
																																																																	
Наименование Избирательной комиссии:    Куйбышевская																																																																	
																																																																	
Сводная таблица итогов голосования																																																																	
																																																																	
	Число участковых избирательных комиссий	54																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	54																																																															
																																																																	
		Сумма	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620									
		20.17%	20.00%	23.88%	4.48%	16.56%	10.60%	15.33%	8.25%	16.98%	15.64%	27.07%	20.27%	39.67%	11.81%	25.45%	12.94%	16.03%	14.44%	24.12%	14.79%	18.07%	6.88%	33.33%	2.38%	8.71%	19.43%	14.23%	7.78%	22.15%	17.33%	7.04%	25.04%	17.44%	19.47%	21.14%	20.58%	23.64%	21.56%	18.71%	24.55%	26.05%	21.28%	20.28%	19.23%	22.88%	22.39%	18.75%	21.17%	21.82%	20.97%	22.89%	22.78%	20.26%	18.78%	20.18%									
15	Жириновский Владимир Вольфович	1990	60	9	17	36	10	23	30	5	29	14	32	9	22	42	5	15	23	18	39	73	10	8	6	25	22	50	10	38	38	13	59	93	44	60	81	65	66	69	56	47	41	33	30	35	38	45	45	67	45	54	48	53	39	46									
		7.06%	8.82%	13.43%	7.62%	11.69%	6.62%	8.39%	15.46%	9.43%	6.87%	3.99%	7.13%	4.89%	9.28%	10.91%	5.88%	11.45%	12.78%	10.59%	10.68%	8.30%	6.25%	5.13%	7.14%	10.37%	10.43%	9.12%	5.99%	6.19%	11.55%	9.15%	8.69%	12.38%	4.66%	5.90%	9.06%	7.35%	7.69%	7.68%	7.27%	6.15%	5.13%	4.55%	4.01%	4.85%	4.78%	5.74%	5.99%	5.87%	4.94%	7.11%	6.01%	7.78%	5.16%	5.13%									
16	Путин Владимир Владимирович	19154	457	38	191	198	119	182	140	37	306	221	309	91	175	234	65	86	128	102	263	611	136	90	74	189	137	403	133	410	226	116	425	477	662	697	584	572	557	626	496	482	557	495	527	499	526	552	511	773	632	499	520	458	528	632									
		67.99%	67.21%	56.72%	85.65%	64.29%	78.81%	66.42%	72.16%	69.81%	72.51%	62.96%	68.82%	49.46%	73.84%	60.78%	76.47%	65.65%	71.11%	60.00%	72.05%	69.43%	85.00%	57.69%	88.10%	78.42%	64.93%	73.54%	79.64%	66.78%	68.69%	81.69%	62.59%	63.52%	70.05%	68.53%	65.32%	64.71%	64.92%	69.71%	64.42%	63.09%	69.71%	68.28%	70.36%	69.21%	66.16%	70.41%	68.04%	67.75%	69.37%	65.66%	65.08%	67.25%	69.84%	70.46%									
17	Собчак Ксения Анатольевна	314	3	0	2	6	1	14	2	0	9	6	3	2	0	3	1	4	0	2	1	11	0	1	0	2	0	7	3	8	0	2	2	19	15	13	11	7	15	4	2	6	6	8	14	5	8	14	10	13	8	8	9	5	14	5									
		1.11%	0.44%	0.00%	0.90%	1.95%	0.66%	5.11%	1.03%	0.00%	2.13%	1.71%	0.67%	1.09%	0.00%	0.78%	1.18%	3.05%	0.00%	1.18%	0.27%	1.25%	0.00%	0.64%	0.00%	0.83%	0.00%	1.28%	1.80%	1.30%	0.00%	1.41%	0.29%	2.53%	1.59%	1.28%	1.23%	0.79%	1.75%	0.45%	0.26%	0.79%	0.75%	1.10%	1.87%	0.69%	1.01%	1.79%	1.33%	1.14%	0.88%	1.05%	1.13%	0.73%	1.85%	0.56%									
18	Сурайкин Максим Александрович	182	3	0	0	2	1	2	0	0	3	2	5	0	3	0	1	0	0	1	3	5	1	5	0	2	1	0	7	5	0	1	3	8	9	3	4	5	6	4	1	2	6	12	2	6	10	7	4	4	7	3	8	4	3	8									
		0.65%	0.44%	0.00%	0.00%	0.65%	0.66%	0.73%	0.00%	0.00%	0.71%	0.57%	1.11%	0.00%	1.27%	0.00%	1.18%	0.00%	0.00%	0.59%	0.82%	0.57%	0.63%	3.21%	0.00%	0.83%	0.47%	0.00%	4.19%	0.81%	0.00%	0.70%	0.44%	1.07%	0.95%	0.29%	0.45%	0.57%	0.70%	0.45%	0.13%	0.26%	0.75%	1.66%	0.27%	0.83%	1.26%	0.89%	0.53%	0.35%	0.77%	0.39%	1.00%	0.59%	0.40%	0.89%									
19	Титов Борис Юрьевич	160	3	1	2	4	1	2	2	0	2	3	1	1	1	1	0	0	0	0	2	4	0	0	0	0	3	3	0	1	0	0	7	5	5	10	9	5	6	7	3	2	9	6	5	2	7	3	3	4	3	3	8	3	2	6									
