Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Земетчинская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	196	15	15	15	15	15	15	15	10	2	1	6	9	2	3	5	3	4	3	2	10	1	2	2	4	3	2	5	3	3	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	100	12	15	13	11	2	2	2	6	0	0	3	1	0	0	1	3	1	1	0	7	0	0	1	4	3	0	4	3	3	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	36	0	2	0	6	2	2	2	2	0	0	1	0	1	1	2	2	1	1	1	3	0	1	0	0	1	1	1	1	0	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	96	3	0	2	4	13	13	13	4	2	1	3	8	2	3	4	0	3	2	2	3	1	2	1	0	0	2	1	0	0	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1039	68	52	81	58	64	74	51	54	5	0	26	43	7	13	25	32	48	28	11	100	5	26	10	14	11	10	25	30	25	18	25					
		6.70%	9.02%	6.08%	10.25%	7.98%	7.81%	6.55%	5.54%	7.25%	3.21%	0.00%	8.44%	6.61%	2.82%	8.02%	5.43%	9.20%	8.09%	6.78%	4.66%	8.75%	7.46%	6.21%	4.83%	6.60%	5.58%	4.39%	4.96%	4.17%	5.84%	4.04%	4.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1351	90	106	99	93	70	128	105	51	16	2	20	40	18	16	41	25	29	20	18	94	0	15	14	23	12	9	32	49	29	48	39					
		8.71%	11.94%	12.40%	12.53%	12.79%	8.55%	11.33%	11.41%	6.85%	10.26%	2.22%	6.49%	6.14%	7.26%	9.88%	8.91%	7.18%	4.89%	4.84%	7.63%	8.22%	0.00%	3.58%	6.76%	10.85%	6.09%	3.95%	6.35%	6.81%	6.78%	10.79%	7.33%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	71	5	8	9	2	3	7	1	3	0	0	2	2	1	1	2	0	2	4	6	5	0	0	1	1	1	0	1	4	0	0	0					
		0.46%	0.66%	0.94%	1.14%	0.28%	0.37%	0.62%	0.11%	0.40%	0.00%	0.00%	0.65%	0.31%	0.40%	0.62%	0.43%	0.00%	0.34%	0.97%	2.54%	0.44%	0.00%	0.00%	0.48%	0.47%	0.51%	0.00%	0.20%	0.56%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3047	234	216	226	197	224	285	230	117	35	1	73	121	12	66	96	66	63	32	23	165	4	83	25	44	53	23	55	103	85	54	36					
		19.65%	31.03%	25.26%	28.61%	27.10%	27.35%	25.22%	25.00%	15.70%	22.44%	1.11%	23.70%	18.59%	4.84%	40.74%	20.87%	18.97%	10.62%	7.75%	9.75%	14.44%	5.97%	19.81%	12.08%	20.75%	26.90%	10.09%	10.91%	14.31%	19.86%	12.13%	6.77%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	100	5	11	5	9	19	5	6	2	1	0	3	5	1	2	1	0	0	5	0	2	0	1	2	1	0	2	1	1	6	4	0					
		0.64%	0.66%	1.29%	0.63%	1.24%	2.32%	0.44%	0.65%	0.27%	0.64%	0.00%	0.97%	0.77%	0.40%	1.23%	0.22%	0.00%	0.00%	1.21%	0.00%	0.17%	0.00%	0.24%	0.97%	0.47%	0.00%	0.88%	0.20%	0.14%	1.40%	0.90%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9560	338	453	358	359	431	585	506	480	98	81	177	431	208	63	294	220	450	323	178	755	53	294	142	127	116	184	372	504	276	297	407					
		61.65%	44.83%	52.98%	45.32%	49.38%	52.63%	51.77%	55.00%	64.43%	62.82%	90.00%	57.47%	66.21%	83.87%	38.89%	63.91%	63.22%	75.89%	78.21%	75.42%	66.05%	79.10%	70.17%	68.60%	59.91%	58.88%	80.70%	73.81%	70.00%	64.49%	66.74%	76.50%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	35	3	2	1	3	0	1	1	0	0	0	1	2	0	0	1	2	1	1	0	4	0	0	0	1	3	0	1	5	2	0	0					
		0.23%	0.40%	0.23%	0.13%	0.41%	0.00%	0.09%	0.11%	0.00%	0.00%	0.00%	0.32%	0.31%	0.00%	0.00%	0.22%	0.57%	0.17%	0.24%	0.00%	0.35%	0.00%	0.00%	0.00%	0.47%	1.52%	0.00%	0.20%	0.69%	0.47%	0.00%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
