Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Петровская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК  411	УИК  412	УИК  413	УИК  414	УИК №929	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981					
1	"Число избирателей, внесенных в список"	59050	1630	300	287	1580	1683	1110	1856	1177	2112	1526	1367	1524	1240	1169	1386	1545	985	2261	1743	1786	2089	2452	1486	555	209	1337	1641	1412	340	1702	1684	1334	805	172	317	117	2701	2000	1738	2217	1443	1610	220	1202					
2	Число полученных избирательных бюллетеней	57695	1600	315	290	1600	1700	1100	1800	1200	2000	1500	1300	1500	1000	1100	1300	1500	940	2200	1700	1700	2000	2400	1400	600	200	1300	1600	1400	340	1700	1700	1400	850	155	310	145	2700	1600	1800	2200	1400	1700	250	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29620	876	219	174	713	1001	586	902	584	1026	756	608	788	570	546	730	735	508	1013	818	910	1025	1105	648	318	118	590	772	611	201	864	752	702	446	134	227	73	1404	982	879	1311	753	906	164	572					
5	"Число избирательных бюллетеней, выданных вне помещения"	2910	52	5	15	153	103	43	34	50	71	34	35	47	134	75	72	38	13	186	40	34	86	83	28	39	13	39	63	52	28	123	111	78	43	4	8	0	134	100	111	192	163	84	21	73					
6	Число погашенных избирательных бюллетеней	25165	672	91	101	734	596	471	864	566	903	710	657	665	296	479	498	727	419	1001	842	756	889	1212	724	243	69	671	765	737	111	713	837	620	361	17	75	72	1162	518	810	697	484	710	65	555					
7	Число избирательных бюллетеней в переносных ящиках	2910	52	5	15	153	103	43	34	50	71	34	35	47	134	75	72	38	13	186	40	34	86	83	28	39	13	39	63	52	28	123	111	78	43	4	8	0	134	100	111	192	163	84	21	73					
8	Число бюллетеней в стационарных ящиках для голосования	29617	876	219	174	713	1001	586	902	584	1026	756	608	788	570	546	730	735	508	1013	815	910	1025	1105	648	318	118	590	772	611	201	864	752	702	446	134	227	73	1404	982	879	1311	753	906	164	572					
9	Число недействительных избирательных бюллетеней	230	7	0	3	6	7	3	5	2	5	6	5	6	8	5	10	4	2	5	1	3	8	0	3	9	2	2	2	11	3	13	3	5	3	0	6	2	15	5	9	10	11	8	3	4					
10	Число действительных избирательных бюллетеней	32297	921	224	186	860	1097	626	931	632	1092	784	638	829	696	616	792	769	519	1194	854	941	1103	1188	673	348	129	627	833	652	226	974	860	775	486	138	229	71	1523	1077	981	1493	905	982	182	641					
11	Число полученных открепительных  удостоверений	478	20	5	5	10	13	12	12	9	11	7	8	7	10	10	10	15	4	19	17	14	13	15	10	10	5	5	5	10	5	16	9	10	20	0	5	5	25	18	15	20	9	15	5	10					
12	Число выданных открепительных удостоверений	388	20	2	1	7	11	12	12	8	11	7	7	6	8	7	9	15	2	19	16	11	13	11	9	8	1	3	1	2	3	16	9	8	15	0	0	0	20	15	12	18	8	15	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	152	0	2	5	1	0	3	14	0	7	1	2	3	22	2	3	4	0	6	5	7	5	2	4	2	4	4	1	0	1	2	2	1	0	2	1	0	7	4	3	7	5	3	5	0					
14	Число неиспользованных открепительных удостоверений	90	0	3	4	3	2	0	0	1	0	0	1	1	2	3	1	0	2	0	1	3	0	4	1	2	4	2	4	8	2	0	0	2	5	0	5	5	5	3	3	2	1	0	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	22	0	0	0	0	0	3	1	1	0	0	1	0	0	3	0	2	0	1	1	3	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	1023	23	0	1	17	24	26	28	29	28	50	21	37	46	10	29	40	15	59	29	38	48	55	27	3	3	12	17	14	7	30	26	33	11	3	4	3	44	17	17	33	19	28	4	15					
		3.15%	2.48%	0.00%	0.53%	1.96%	2.17%	4.13%	2.99%	4.57%	2.55%	6.33%	3.27%	4.43%	6.53%	1.61%	3.62%	5.17%	2.88%	4.92%	3.39%	4.03%	4.32%	4.63%	3.99%	0.84%	2.29%	1.91%	2.04%	2.11%	3.06%	3.04%	3.01%	4.23%	2.25%	2.17%	1.70%	4.11%	2.86%	1.57%	1.72%	2.20%	2.07%	2.83%	2.16%	2.33%					
19	. Малышкин Олег Александрович	952	27	12	13	12	35	15	23	14	24	22	26	18	24	27	32	23	13	31	22	27	33	38	15	12	3	20	24	21	8	31	27	19	25	7	1	3	44	24	19	48	38	19	6	27					
