Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Николаевская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409					
1	"Число избирателей, внесенных в список"	23557	1049	841	1553	1818	1796	143	245	409	661	1293	757	1812	245	312	447	175	272	839	174	148	516	268	343	391	210	407	269	231	104	343	608	228	1324	574	1197	481	175	502	397					
2	Число полученных избирательных бюллетеней	21317	937	756	1408	1641	1634	127	218	365	599	1162	689	1625	222	281	403	156	243	761	158	135	463	239	313	361	193	366	240	206	93	307	545	206	1205	549	1094	428	158	469	362					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16796	857	635	905	1119	1010	116	170	312	436	1032	491	1467	210	212	316	123	222	661	134	111	411	191	296	292	151	274	209	171	71	272	420	120	915	525	801	387	128	367	256					
5	"Число избирательных бюллетеней, выданных вне помещения"	1695	80	42	98	50	88	7	12	32	112	32	51	31	6	20	42	32	19	24	12	10	20	29	15	47	27	72	15	22	14	20	72	63	131	21	163	20	18	48	78					
6	Число погашенных избирательных бюллетеней	2826	0	79	405	472	536	4	36	21	51	98	147	127	6	49	45	1	2	76	12	14	32	19	2	22	15	20	16	13	8	15	53	23	159	3	130	21	12	54	28					
7	Число избирательных бюллетеней в переносных ящиках	1695	80	42	98	50	88	7	12	32	112	32	51	31	6	20	42	32	19	24	12	10	20	29	15	47	27	72	15	22	14	20	72	63	131	21	163	20	18	48	78					
8	Число бюллетеней в стационарных ящиках для голосования	16793	857	635	905	1119	1010	116	170	312	436	1032	491	1467	210	212	316	123	222	661	134	111	411	191	296	292	151	274	209	171	71	272	420	120	913	525	801	386	128	367	256					
9	Число недействительных избирательных бюллетеней	416	16	3	5	56	13	1	0	11	5	2	5	162	2	4	2	1	1	38	3	0	3	5	1	8	3	2	0	1	0	3	6	1	8	2	27	13	0	2	1					
10	Число действительных избирательных бюллетеней	18072	921	674	998	1113	1085	122	182	333	543	1062	537	1336	214	228	356	154	240	647	143	121	428	215	310	331	175	344	224	192	85	289	486	182	1036	544	937	393	146	413	333					
11	Число полученных открепительных  удостоверений	485	20	15	30	35	35	5	5	10	10	25	15	35	5	5	10	5	5	15	5	5	10	5	5	15	5	10	5	5	5	5	10	5	25	10	25	10	5	20	10					
12	Число выданных открепительных удостоверений	162	0	1	24	26	9	0	1	5	3	6	15	0	0	0	0	0	0	0	0	0	1	0	5	9	3	0	0	0	0	0	3	0	18	4	15	0	0	14	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	5	2	1	8	2	1	1	2	1	1	0	3	2	0	2	2	4	0	1	0	4	3	2	1	0	2	0	1	1	2	3	2	1	2	4	4	1	3	0					
14	Число неиспользованных открепительных удостоверений	323	20	14	6	9	26	5	4	5	7	19	0	35	5	5	10	5	5	15	5	5	9	5	0	6	2	10	5	5	5	5	7	5	7	6	10	10	5	6	10					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	390	20	7	29	56	54	4	3	6	3	22	7	11	3	3	4	0	6	20	0	0	8	3	2	7	1	7	5	2	1	5	14	3	42	7	8	3	0	12	2					
		2.11%	2.13%	1.03%	2.89%	4.79%	4.92%	3.25%	1.65%	1.74%	0.55%	2.07%	1.29%	0.73%	1.39%	1.29%	1.12%	0.00%	2.49%	2.92%	0.00%	0.00%	1.86%	1.36%	0.64%	2.06%	0.56%	2.02%	2.23%	1.04%	1.18%	1.71%	2.85%	1.64%	4.02%	1.28%	0.83%	0.74%	0.00%	2.89%	0.60%					
19	. Малышкин Олег Александрович	330	15	6	19	35	28	4	3	1	1	33	5	9	0	8	11	5	4	13	1	0	2	5	5	8	3	5	5	6	0	2	17	1	21	15	2	10	1	11	10					
		1.78%	1.60%	0.89%	1.89%	2.99%	2.55%	3.25%	1.65%	0.29%	0.18%	3.10%	0.92%	0.60%	0.00%	3.45%	3.07%	3.23%	1.66%	1.90%	0.68%	0.00%	0.46%	2.27%	1.61%	2.36%	1.69%	1.45%	2.23%	3.11%	0.00%	0.68%	3.46%	0.55%	2.01%	2.75%	0.21%	2.46%	0.68%	2.65%	2.99%					
20	. Миронов Сергей Михайлович	110	4	2	6	7	5	2	3	3	6	10	3	8	0	1	3	1	0	5	1	3	3	0	2	4	3	2	1	0	0	4	3	0	4	0	4	1	1	2	3					
		0.59%	0.43%	0.30%	0.60%	0.60%	0.46%	1.63%	1.65%	0.87%	1.09%	0.94%	0.55%	0.53%	0.00%	0.43%	0.84%	0.65%	0.00%	0.73%	0.68%	2.48%	0.70%	0.00%	0.64%	1.18%	1.69%	0.58%	0.45%	0.00%	0.00%	1.37%	0.61%	0.00%	0.38%	0.00%	0.41%	0.25%	0.68%	0.48%	0.90%					
21	. Путин Владимир Владимирович	13018	732	537	653	731	697	88	124	222	384	666	406	1088	148	137	285	123	186	426	109	109	267	158	249	237	132	249	156	157	55	216	380	158	738	412	675	302	135	249	242					
		70.41%	78.12%	79.32%	65.10%	62.53%	63.48%	71.54%	68.13%	64.53%	70.07%	62.59%	74.91%	72.63%	68.52%	59.05%	79.61%	79.35%	77.18%	62.19%	74.66%	90.08%	61.95%	71.82%	80.06%	69.91%	74.16%	71.97%	69.64%	81.35%	64.71%	73.97%	77.24%	86.34%	70.69%	75.46%	70.02%	74.38%	92.47%	60.00%	72.46%					
22	. Хакамада Ирина Муцуовна	189	12	6	14	12	15	2	3	0	4	11	9	9	0	2	2	1	1	3	7	0	7	1	1	8	3	2	8	3	1	2	4	1	17	5	3	4	0	3	3					
		1.02%	1.28%	0.89%	1.40%	1.03%	1.37%	1.63%	1.65%	0.00%	0.73%	1.03%	1.66%	0.60%	0.00%	0.86%	0.56%	0.65%	0.41%	0.44%	4.79%	0.00%	1.62%	0.45%	0.32%	2.36%	1.69%	0.58%	3.57%	1.55%	1.18%	0.68%	0.81%	0.55%	1.63%	0.92%	0.31%	0.99%	0.00%	0.72%	0.90%					
23	. Харитонов Николай Михайлович	3811	131	107	266	231	261	16	42	100	141	303	92	207	63	77	50	24	39	178	25	7	134	45	48	62	31	76	45	19	24	58	65	19	199	102	243	69	9	131	72					
