Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Яшалтинская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244					
1	"Число избирателей, внесенных в список"	11689	1362	1398	1171	508	148	79	688	116	481	199	416	840	1408	229	747	308	572	1019					
2	Число полученных избирательных бюллетеней	11859	1373	1400	1158	526	150	76	720	114	489	202	419	881	1438	226	750	302	590	1045					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8292	911	999	873	328	107	63	448	69	378	165	304	700	881	163	567	177	362	797					
5	"Число избирательных бюллетеней, выданных вне помещения"	763	55	44	27	85	9	4	110	15	26	16	64	43	39	32	43	58	74	19					
6	Число погашенных избирательных бюллетеней	2804	407	357	258	113	34	9	162	30	85	21	51	138	518	31	140	67	154	229					
7	Число избирательных бюллетеней в переносных ящиках	763	55	44	27	85	9	4	110	15	26	16	64	43	39	32	43	58	74	19					
8	Число бюллетеней в стационарных ящиках для голосования	8291	910	999	873	328	107	63	448	69	378	165	304	700	881	163	567	177	362	797					
9	Число недействительных избирательных бюллетеней	112	10	8	22	2	1	0	3	5	17	1	3	10	9	0	7	3	8	3					
10	Число действительных избирательных бюллетеней	8942	955	1035	878	411	115	67	555	79	387	180	365	733	911	195	603	232	428	813					
11	Число полученных открепительных  удостоверений	290	25	25	20	15	10	10	20	10	15	10	15	20	25	10	15	10	15	20					
12	Число выданных открепительных удостоверений	176	10	15	2	15	0	0	17	2	8	0	15	18	25	4	13	8	15	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	8	12	9	1	1	4	2	1	2	1	3	0	4	2	2	2	0	1					
14	Число неиспользованных открепительных удостоверений	114	15	10	18	0	10	10	3	8	7	10	0	2	0	6	2	2	0	11					
15	"Число открепительных удостоверений, выданных в ТИК"	10	1	2	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	220	33	27	7	6	5	6	7	3	9	2	32	7	13	2	9	4	10	38					
		2.43%	3.42%	2.59%	0.78%	1.45%	4.31%	8.96%	1.25%	3.57%	2.23%	1.10%	8.70%	0.94%	1.41%	1.03%	1.48%	1.70%	2.29%	4.66%					
19	. Малышкин Олег Александрович	193	16	26	15	11	2	2	13	0	6	6	4	9	34	2	14	5	12	16					
		2.13%	1.66%	2.49%	1.67%	2.66%	1.72%	2.99%	2.33%	0.00%	1.49%	3.31%	1.09%	1.21%	3.70%	1.03%	2.30%	2.13%	2.75%	1.96%					
20	. Миронов Сергей Михайлович	97	16	10	7	4	1	0	2	3	30	1	0	3	5	1	5	3	0	6					
		1.07%	1.66%	0.96%	0.78%	0.97%	0.86%	0.00%	0.36%	3.57%	7.43%	0.55%	0.00%	0.40%	0.54%	0.51%	0.82%	1.28%	0.00%	0.74%					
21	. Путин Владимир Владимирович	6683	687	757	720	293	77	42	437	58	286	157	288	603	653	145	452	190	219	619					
		73.81%	71.19%	72.58%	80.00%	70.94%	66.38%	62.69%	78.32%	69.05%	70.79%	86.74%	78.26%	81.16%	70.98%	74.36%	74.10%	80.85%	50.23%	75.86%					
22	. Хакамада Ирина Муцуовна	161	13	24	20	8	3	3	4	1	4	2	3	16	9	5	5	3	14	24					
		1.78%	1.35%	2.30%	2.22%	1.94%	2.59%	4.48%	0.72%	1.19%	0.99%	1.10%	0.82%	2.15%	0.98%	2.56%	0.82%	1.28%	3.21%	2.94%					
23	. Харитонов Николай Михайлович	1503	179	174	105	81	26	14	90	14	51	12	36	88	191	35	116	27	169	95					
		16.60%	18.55%	16.68%	11.67%	19.61%	22.41%	20.90%	16.13%	16.67%	12.62%	6.63%	9.78%	11.84%	20.76%	17.95%	19.02%	11.49%	38.76%	11.64%					
																									
24	Против всех	85	11	17	4	8	1	0	2	0	1	0	2	7	6	5	2	0	4	15					
		0.94%	1.14%	1.63%	0.44%	1.94%	0.86%	0.00%	0.36%	0.00%	0.25%	0.00%	0.54%	0.94%	0.65%	2.56%	0.33%	0.00%	0.92%	1.84%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
