Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Шурышкарская															
															
Итоги голосования 															
															
		Сумма	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191					
1	"Число избирателей, внесенных в список"	5970	277	322	1178	359	2188	780	329	537					
2	Число полученных избирательных бюллетеней	6140	280	340	1200	350	2300	770	340	560					
3	"Число избирательных бюллетеней, выданных  досрочно"	580	33	82	30	62	55	237	33	48					
4	"Число избирательных бюллетеней, выданных в день голосования"	4516	213	233	895	252	1756	517	261	389					
5	"Число избирательных бюллетеней, выданных вне помещения"	338	23	0	79	16	110	12	14	84					
6	Число погашенных избирательных бюллетеней	706	11	25	196	20	379	4	32	39					
7	Число избирательных бюллетеней в переносных ящиках	918	56	82	109	78	165	249	47	132					
8	Число бюллетеней в стационарных ящиках для голосования	4516	213	233	895	252	1756	517	261	389					
9	Число недействительных избирательных бюллетеней	42	3	5	11	1	13	4	2	3					
10	Число действительных избирательных бюллетеней	5392	266	310	993	329	1908	762	306	518					
11	Число полученных открепительных  удостоверений	197	20	10	30	10	77	20	15	15					
12	Число выданных открепительных удостоверений	95	5	8	17	1	52	2	6	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	2	4	5	2	17	2	6	11					
14	Число неиспользованных открепительных удостоверений	102	15	2	13	9	25	18	9	11					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	3	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	107	1	9	38	5	27	16	2	9					
		1.97%	0.37%	2.86%	3.78%	1.52%	1.41%	2.09%	0.65%	1.73%					
19	. Малышкин Олег Александрович	108	3	2	29	7	41	13	4	9					
		1.99%	1.12%	0.63%	2.89%	2.12%	2.13%	1.70%	1.30%	1.73%					
20	. Миронов Сергей Михайлович	51	2	6	7	6	15	10	0	5					
		0.94%	0.74%	1.90%	0.70%	1.82%	0.78%	1.31%	0.00%	0.96%					
21	. Путин Владимир Владимирович	4689	237	260	806	293	1646	694	289	464					
		86.29%	88.10%	82.54%	80.28%	88.79%	85.68%	90.60%	93.83%	89.06%					
22	. Хакамада Ирина Муцуовна	139	2	3	36	2	71	11	6	8					
		2.56%	0.74%	0.95%	3.59%	0.61%	3.70%	1.44%	1.95%	1.54%					
23	. Харитонов Николай Михайлович	196	18	18	52	11	58	18	5	16					
		3.61%	6.69%	5.71%	5.18%	3.33%	3.02%	2.35%	1.62%	3.07%					
															
24	Против всех	102	3	12	25	5	50	0	0	7					
		1.88%	1.12%	3.81%	2.49%	1.52%	2.60%	0.00%	0.00%	1.34%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
