Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Благовещенская городская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747					
1	"Число избирателей, внесенных в список"	30784	899	488	705	950	794	836	199	852	759	1430	782	815	1695	1568	1660	2318	1579	1785	390	255	745	276	349	419	157	314	190	323	189	71	1029	207	129	381	371	233	381	159	548	226	376	1744	752	456					
2	Число полученных избирательных бюллетеней	32455	917	508	746	967	979	905	218	879	774	1718	799	841	1804	1614	1729	2388	1636	1977	414	252	770	273	351	419	157	316	190	322	193	73	1244	229	131	389	403	240	383	163	566	228	419	1713	762	456					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	26587	800	456	613	844	694	655	132	729	660	1262	656	685	1570	1465	1555	2162	1433	1418	350	199	710	231	314	299	140	237	134	275	128	53	887	150	111	338	214	121	294	148	534	188	244	1524	588	387					
5	"Число избирательных бюллетеней, выданных вне помещения"	2812	27	27	15	30	100	116	62	64	39	57	64	87	13	25	15	29	20	283	40	53	20	41	30	116	17	77	56	43	59	16	142	55	18	42	157	112	87	11	10	38	130	136	164	69					
6	Число погашенных избирательных бюллетеней	3056	90	25	118	93	185	134	24	86	75	399	79	69	221	124	159	197	183	276	24	0	40	1	7	4	0	2	0	4	6	4	215	24	2	9	32	7	2	4	22	2	45	53	10	0					
7	Число избирательных бюллетеней в переносных ящиках	2812	27	27	15	30	100	116	62	64	39	57	64	87	13	25	15	29	20	283	40	53	20	41	30	116	17	77	56	43	59	16	142	55	18	42	157	112	87	11	10	38	130	136	164	69					
8	Число бюллетеней в стационарных ящиках для голосования	26587	800	456	613	844	694	655	132	729	660	1262	656	685	1570	1465	1555	2162	1433	1418	350	199	710	231	314	299	140	237	134	275	128	53	887	150	111	338	214	121	294	148	534	188	244	1524	588	387					
9	Число недействительных избирательных бюллетеней	62	0	0	0	1	8	4	0	0	0	0	0	0	37	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0					
10	Число действительных избирательных бюллетеней	29337	827	483	628	873	786	767	194	793	699	1319	720	772	1546	1488	1570	2191	1450	1699	390	252	730	272	344	415	157	314	190	318	187	68	1029	205	129	379	371	233	381	159	544	226	374	1657	752	456					
11	Число полученных открепительных  удостоверений	1000	25	20	35	25	25	25	15	25	25	30	25	21	70	30	40	119	50	40	15	15	15	15	25	15	10	10	10	10	15	15	20	10	10	10	10	10	10	15	15	10	10	20	15	20					
12	Число выданных открепительных удостоверений	285	2	3	7	8	3	4	1	4	4	30	6	11	26	15	7	13	12	27	6	1	8	3	0	7	0	0	0	2	0	0	5	7	0	7	6	1	0	0	3	3	1	17	15	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	225	4	1	5	2	7	4	9	3	2	0	2	3	8	2	6	17	8	35	8	8	3	4	3	8	5	2	1	3	5	1	3	4	5	4	4	6	4	0	5	1	2	7	6	5					
