Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Ивантеевская городская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619					
1	"Число избирателей, внесенных в список"	41511	2723	2688	2948	2794	2695	2710	2574	1907	2869	2449	2693	791	1347	1849	1357	2378	2558	1879	302					
2	Число полученных избирательных бюллетеней	38690	2500	2500	2700	2500	2700	2500	2500	1800	2600	2300	2500	750	1300	1700	1300	2200	2400	1700	240					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21538	1498	1393	1524	1521	1356	1500	1374	987	1529	1299	1466	325	642	869	770	1155	1233	941	156					
5	"Число избирательных бюллетеней, выданных вне помещения"	756	32	36	26	40	42	22	30	11	26	26	29	31	37	98	26	60	99	40	45					
6	Число погашенных избирательных бюллетеней	16396	970	1071	1150	939	1302	978	1096	802	1045	975	1005	394	621	733	504	985	1068	719	39					
7	Число избирательных бюллетеней в переносных ящиках	756	32	36	26	40	42	22	30	11	26	26	29	31	37	98	26	60	99	40	45					
8	Число бюллетеней в стационарных ящиках для голосования	21531	1498	1393	1524	1521	1356	1500	1372	987	1529	1298	1463	325	642	869	770	1154	1233	941	156					
9	Число недействительных избирательных бюллетеней	208	7	22	17	8	18	9	14	13	14	13	4	5	2	10	9	10	14	19	0					
10	Число действительных избирательных бюллетеней	22079	1523	1407	1533	1553	1380	1513	1388	985	1541	1311	1488	351	677	957	787	1204	1318	962	201					
11	Число полученных открепительных  удостоверений	1900	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100					
12	Число выданных открепительных удостоверений	212	13	18	22	16	5	14	19	11	13	14	9	3	12	16	6	11	3	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	230	22	11	15	12	4	1	5	5	11	10	20	0	10	3	3	18	7	9	64					
14	Число неиспользованных открепительных удостоверений	1688	87	82	78	84	95	86	81	89	87	86	91	97	88	84	94	89	97	93	100					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	1166	81	68	76	72	89	80	85	46	97	67	79	22	16	32	60	81	72	34	9					
		5.23%	5.29%	4.76%	4.90%	4.61%	6.37%	5.26%	6.06%	4.61%	6.24%	5.06%	5.29%	6.18%	2.36%	3.31%	7.54%	6.67%	5.41%	3.47%	4.48%					
19	. Малышкин Олег Александрович	293	13	17	26	26	19	21	22	12	21	13	16	5	10	16	12	13	13	14	4					
		1.31%	0.85%	1.19%	1.68%	1.67%	1.36%	1.38%	1.57%	1.20%	1.35%	0.98%	1.07%	1.40%	1.47%	1.65%	1.51%	1.07%	0.98%	1.43%	1.99%					
20	. Миронов Сергей Михайлович	134	4	29	7	6	10	8	7	5	9	9	3	0	6	2	3	8	6	9	3					
		0.60%	0.26%	2.03%	0.45%	0.38%	0.72%	0.53%	0.50%	0.50%	0.58%	0.68%	0.20%	0.00%	0.88%	0.21%	0.38%	0.66%	0.45%	0.92%	1.49%					
21	. Путин Владимир Владимирович	16014	1098	1017	1096	1105	1001	1051	1003	741	1074	895	1098	249	551	754	526	848	994	761	152					
		71.85%	71.76%	71.17%	70.71%	70.79%	71.60%	69.05%	71.54%	74.25%	69.07%	67.60%	73.59%	69.94%	81.15%	77.97%	66.08%	69.85%	74.62%	77.57%	75.62%					
22	. Хакамада Ирина Муцуовна	1045	67	67	114	82	43	71	51	47	100	81	73	9	37	28	43	54	45	32	1					
		4.69%	4.38%	4.69%	7.35%	5.25%	3.08%	4.66%	3.64%	4.71%	6.43%	6.12%	4.89%	2.53%	5.45%	2.90%	5.40%	4.45%	3.38%	3.26%	0.50%					
23	. Харитонов Николай Михайлович	2297	190	141	129	177	150	177	160	83	130	178	136	41	26	95	106	134	143	75	26					
		10.31%	12.42%	9.87%	8.32%	11.34%	10.73%	11.63%	11.41%	8.32%	8.36%	13.44%	9.12%	11.52%	3.83%	9.82%	13.32%	11.04%	10.74%	7.65%	12.94%					
																										
24	Против всех	1130	70	68	85	85	68	105	60	51	110	68	83	25	31	30	37	66	45	37	6					
		5.07%	4.58%	4.76%	5.48%	5.45%	4.86%	6.90%	4.28%	5.11%	7.07%	5.14%	5.56%	7.02%	4.57%	3.10%	4.65%	5.44%	3.38%	3.77%	2.99%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
