Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Мещанский район																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №3013	УИК №3014	УИК №3015					
1	"Число избирателей, внесенных в списки"	37639	850	2152	1964	2688	2179	2803	2396	2160	1437	2265	2846	2633	1629	2158	2564	1002	2107	856	601	349					
2	"Число бюллетеней, полученных участковыми комиссиями"	34690	610	1860	1710	2430	1860	2460	2120	1940	1290	2060	2540	2340	2410	1950	2310	890	1850	810	700	550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22663	460	1107	1030	1622	1310	1584	1382	1204	864	1432	1696	1502	1584	1272	1478	571	1247	449	520	349					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	604	46	33	22	43	39	38	29	34	31	31	22	54	42	31	40	16	53	0	0	0					
6	Число погашенных бюллетеней	11423	104	720	658	765	511	838	709	702	395	597	822	784	784	647	792	303	550	361	180	201					
7	Число бюллетеней в переносных ящиках для голосования	604	46	33	22	43	39	38	29	34	31	31	22	54	42	31	40	16	53	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	22577	459	1103	1030	1555	1310	1584	1376	1204	862	1430	1696	1502	1584	1280	1470	570	1245	448	520	349					
9	Число недействительных бюллетеней	169	2	6	6	11	7	10	13	20	2	7	2	14	16	15	9	3	7	7	4	8					
10	Число действительных бюллетеней	23012	503	1130	1046	1587	1342	1612	1392	1218	891	1454	1716	1542	1610	1296	1501	583	1291	441	516	341					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	900	45	50	50	55	55	55	55	55	50	55	55	55	55	55	55	45	55	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	418	10	27	30	30	27	30	28	29	13	12	26	22	24	36	30	10	34	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1123	90	89	38	31	119	109	63	31	28	25	68	26	35	39	40	21	97	50	50	74					
14	Число погашенных открепительных удостоверений	482	35	23	20	25	28	25	27	26	37	43	29	33	31	19	25	35	21	0	0	0					
15	Число открепительных удостоверений выданных ТИК	9	0	0	1	2	0	1	0	0	1	1	0	0	0	0	2	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	93	3	4	2	4	5	5	5	3	3	7	2	7	4	8	8	4	6	2	9	2					
		0.40%	0.59%	0.35%	0.19%	0.25%	0.37%	0.30%	0.35%	0.24%	0.33%	0.47%	0.11%	0.44%	0.24%	0.61%	0.52%	0.68%	0.46%	0.44%	1.73%	0.57%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2799	49	151	149	170	165	227	158	173	121	198	204	144	232	163	196	77	170	10	35	7					
		12.07%	9.70%	13.29%	14.16%	10.63%	12.23%	13.99%	11.24%	13.97%	13.54%	13.55%	11.87%	9.25%	14.26%	12.43%	12.98%	13.13%	13.09%	2.23%	6.73%	2.00%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	473	5	22	16	32	21	34	29	25	17	26	30	33	33	29	25	7	32	30	15	12					
		2.04%	0.99%	1.93%	1.52%	2.00%	1.55%	2.09%	2.06%	2.01%	1.90%	1.77%	1.74%	2.12%	2.02%	2.21%	1.65%	1.19%	2.46%	6.69%	2.88%	3.43%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3422	56	202	180	237	188	251	202	197	146	211	240	180	248	255	227	95	212	22	51	22					
		14.76%	11.08%	17.78%	17.11%	14.83%	13.93%	15.47%	14.37%	15.91%	16.34%	14.44%	13.96%	11.56%	15.25%	19.45%	15.03%	16.21%	16.33%	4.91%	9.80%	6.30%					
22	"5. ""За Русь Святую"""	127	7	6	7	5	6	11	6	4	2	5	4	15	12	9	11	2	6	5	2	2					
		0.54%	1.38%	0.52%	0.66%	0.31%	0.44%	0.67%	0.42%	0.32%	0.22%	0.34%	0.23%	0.96%	0.73%	0.68%	0.72%	0.34%	0.46%	1.11%	0.38%	0.57%					
23	"6. ""Объединенная Российская партия ""Русь"""	52	0	4	0	2	2	4	7	5	2	0	5	6	1	2	2	1	2	1	3	3					
		0.22%	0.0%	0.35%	0.0%	0.12%	0.14%	0.24%	0.49%	0.40%	0.22%	0.0%	0.29%	0.38%	0.06%	0.15%	0.13%	0.17%	0.15%	0.22%	0.57%	0.85%					
24	"7. ""Новый курс - Автомобильная Россия"""	265	5	12	8	7	15	25	17	17	10	18	35	13	21	17	17	5	14	3	5	1					
		1.14%	0.99%	1.05%	0.76%	0.43%	1.11%	1.54%	1.20%	1.37%	1.11%	1.23%	2.03%	0.83%	1.29%	1.29%	1.12%	0.85%	1.07%	0.66%	0.96%	0.28%					
25	"8. ""Народно-республиканская партия России"""	17	3	0	2	1	0	0	1	0	0	0	3	0	3	0	1	0	0	0	2	1					
		0.07%	0.59%	0.0%	0.19%	0.06%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.17%	0.0%	0.18%	0.0%	0.06%	0.0%	0.0%	0.0%	0.38%	0.28%					
26	"9. ""Российская экологическая партия ""Зеленые"""	222	8	16	19	12	7	12	3	15	8	14	19	10	16	12	19	9	11	3	7	2					
		0.95%	1.58%	1.40%	1.80%	0.75%	0.51%	0.73%	0.21%	1.21%	0.89%	0.95%	1.10%	0.64%	0.98%	0.91%	1.25%	1.53%	0.84%	0.66%	1.34%	0.57%					
27	"10. ""Аграрная партия России"""	334	4	27	14	19	16	22	21	14	9	16	32	18	22	14	28	5	18	17	9	9					
		1.44%	0.79%	2.37%	1.33%	1.18%	1.18%	1.35%	1.49%	1.13%	1.00%	1.09%	1.86%	1.15%	1.35%	1.06%	1.85%	0.85%	1.38%	3.79%	1.73%	2.57%					
28	"11. ""Истинные патриоты России"""	18	3	1	1	2	1	3	0	0	2	0	0	1	1	2	0	0	1	0	0	0					
		0.07%	0.59%	0.08%	0.09%	0.12%	0.07%	0.18%	0.0%	0.0%	0.22%	0.0%	0.0%	0.06%	0.06%	0.15%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	224	7	6	4	15	18	20	12	8	10	16	17	25	9	15	12	1	17	5	6	1					
		0.96%	1.38%	0.52%	0.38%	0.93%	1.33%	1.23%	0.85%	0.64%	1.11%	1.09%	0.98%	1.60%	0.55%	1.14%	0.79%	0.17%	1.30%	1.11%	1.15%	0.28%					
30	"13. ""Демократическая партия России"""	25	1	0	0	2	2	0	1	0	1	1	2	1	2	5	1	2	1	1	1	1					
		0.10%	0.19%	0.0%	0.0%	0.12%	0.14%	0.0%	0.07%	0.0%	0.11%	0.06%	0.11%	0.06%	0.12%	0.38%	0.06%	0.34%	0.07%	0.22%	0.19%	0.28%					
31	"14. ""Великая Россия - Евразийский Союз"""	65	3	2	2	3	3	7	2	0	5	2	14	2	4	2	3	1	5	3	1	1					
