Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Хиславичская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815					
1	"Число избирателей, внесенных в список"	9752	1431	479	1616	356	216	152	499	138	387	441	281	185	634	90	426	234	206	280	385	219	266	376	455					
2	Число полученных избирательных бюллетеней	9739	1362	480	1601	353	217	154	501	142	386	449	291	186	640	94	434	235	208	283	389	217	273	381	463					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4348	682	244	802	248	111	61	205	37	124	133	119	97	198	60	113	115	117	142	228	91	126	133	162					
5	"Число избирательных бюллетеней, выданных вне помещения"	1777	68	14	62	15	44	41	115	70	96	131	99	42	147	15	190	69	39	74	27	47	58	156	158					
6	Число погашенных избирательных бюллетеней	3614	612	222	737	90	62	52	181	35	166	185	73	47	295	19	131	51	52	67	134	79	89	92	143					
7	Число избирательных бюллетеней в переносных ящиках	1777	68	14	62	15	44	41	115	70	96	131	99	42	147	15	190	69	39	74	27	47	58	156	158					
8	Число бюллетеней в стационарных ящиках для голосования	4348	682	244	802	248	111	61	205	37	124	133	119	97	198	60	113	115	117	142	228	91	126	133	162					
9	Число недействительных избирательных бюллетеней	30	6	1	2	0	1	0	1	0	0	0	2	0	2	0	0	1	0	3	5	0	2	2	2					
10	Число действительных избирательных бюллетеней	6095	744	257	862	263	154	102	319	107	220	264	216	139	343	75	303	183	156	213	250	138	182	287	318					
11	Число полученных открепительных  удостоверений	158	10	10	10	8	5	5	8	5	8	8	8	5	8	3	5	8	5	5	8	5	5	8	8					
12	Число выданных открепительных удостоверений	30	7	3	2	0	0	0	2	0	1	1	3	1	0	2	4	0	0	0	1	1	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	5	2	9	0	0	0	1	0	0	0	2	0	0	1	0	1	1	0	0	2	0	2	1					
14	Число неиспользованных открепительных удостоверений	128	3	7	8	8	5	5	6	5	7	7	5	4	8	1	1	8	5	5	7	4	5	8	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	127	25	6	21	8	5	8	6	4	5	8	5	1	5	2	2	0	4	1	8	0	1	1	1					
		2.07%	3.33%	2.33%	2.43%	3.04%	3.23%	7.84%	1.88%	3.74%	2.27%	3.03%	2.29%	0.72%	1.45%	2.67%	0.66%	0.00%	2.56%	0.46%	3.14%	0.00%	0.54%	0.35%	0.31%					
19	. Малышкин Олег Александрович	181	16	11	21	6	2	4	4	1	2	11	2	6	10	5	5	7	11	8	15	3	10	11	10					
		2.96%	2.13%	4.26%	2.43%	2.28%	1.29%	3.92%	1.25%	0.93%	0.91%	4.17%	0.92%	4.32%	2.90%	6.67%	1.65%	3.80%	7.05%	3.70%	5.88%	2.17%	5.43%	3.81%	3.12%					
20	. Миронов Сергей Михайлович	72	12	3	15	3	0	1	2	2	0	2	4	6	5	1	2	4	0	2	3	0	0	1	4					
		1.18%	1.60%	1.16%	1.74%	1.14%	0.00%	0.98%	0.62%	1.87%	0.00%	0.76%	1.83%	4.32%	1.45%	1.33%	0.66%	2.17%	0.00%	0.93%	1.18%	0.00%	0.00%	0.35%	1.25%					
21	. Путин Владимир Владимирович	3980	491	180	563	131	105	62	246	58	159	167	168	96	228	27	188	89	113	145	156	115	106	174	213					
		64.98%	65.47%	69.77%	65.16%	49.81%	67.74%	60.78%	76.88%	54.21%	72.27%	63.26%	77.06%	69.06%	66.09%	36.00%	62.05%	48.37%	72.44%	67.13%	61.18%	83.33%	57.61%	60.21%	66.56%					
22	. Хакамада Ирина Муцуовна	138	33	5	26	3	4	1	9	3	2	3	4	5	11	5	4	1	0	3	5	1	1	5	4					
		2.25%	4.40%	1.94%	3.01%	1.14%	2.58%	0.98%	2.81%	2.80%	0.91%	1.14%	1.83%	3.60%	3.19%	6.67%	1.32%	0.54%	0.00%	1.39%	1.96%	0.72%	0.54%	1.73%	1.25%					
23	. Харитонов Николай Михайлович	1489	147	37	197	107	36	26	45	38	48	71	32	23	78	33	100	81	24	54	61	17	59	94	81					
		24.31%	19.60%	14.34%	22.80%	40.68%	23.23%	25.49%	14.06%	35.51%	21.82%	26.89%	14.68%	16.55%	22.61%	44.00%	33.00%	44.02%	15.38%	25.00%	23.92%	12.32%	32.07%	32.53%	25.31%					
																														
24	Против всех	108	20	15	19	5	2	0	7	1	4	2	1	2	6	2	2	1	4	0	2	2	5	1	5					
		1.76%	2.67%	5.81%	2.20%	1.90%	1.29%	0.00%	2.19%	0.93%	1.82%	0.76%	0.46%	1.44%	1.74%	2.67%	0.66%	0.54%	2.56%	0.00%	0.78%	1.45%	2.72%	0.35%	1.56%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
