Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Яшкинская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689					
1	"Число избирателей, внесенных в список"	22550	120	245	1468	1262	1590	1461	948	1380	816	836	1055	1037	173	692	119	211	454	424	452	318	786	100	740	546	191	321	114	139	456	1396	484	75	284	137	174	825	630	91					
2	Число полученных избирательных бюллетеней	21170	120	230	1400	1200	1400	1400	900	1300	750	800	900	900	170	600	130	220	460	400	440	300	750	110	700	500	200	300	130	140	420	1300	450	90	300	140	180	750	600	90					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15437	120	180	905	655	888	812	475	756	520	356	795	665	107	542	100	133	338	362	397	260	662	86	609	417	171	212	84	118	375	1116	355	70	242	118	161	697	500	78					
5	"Число избирательных бюллетеней, выданных вне помещения"	1747	0	21	108	105	138	74	153	265	70	83	56	62	9	43	10	42	85	25	18	27	0	9	40	37	12	62	16	6	15	47	38	0	16	8	4	10	25	8					
6	Число погашенных избирательных бюллетеней	3986	0	29	387	440	374	514	272	279	160	361	49	173	54	15	20	45	37	13	25	13	88	15	51	46	17	26	30	16	30	137	57	20	42	14	15	43	75	4					
7	Число избирательных бюллетеней в переносных ящиках	1747	0	21	108	105	138	74	153	265	70	83	56	62	9	43	10	42	85	25	18	27	0	9	40	37	12	62	16	6	15	47	38	0	16	8	4	10	25	8					
8	Число бюллетеней в стационарных ящиках для голосования	15437	120	180	905	655	888	812	475	756	520	356	795	665	107	542	100	133	338	362	397	260	662	86	609	417	171	212	84	118	375	1116	355	70	242	118	161	697	500	78					
9	Число недействительных избирательных бюллетеней	290	0	1	1	4	10	5	7	6	2	5	7	6	0	6	1	0	0	1	3	5	3	0	32	0	2	0	1	1	3	137	11	2	4	0	1	16	7	0					
10	Число действительных избирательных бюллетеней	16894	120	200	1012	756	1016	881	621	1015	588	434	844	721	116	579	109	175	423	386	412	282	659	95	617	454	181	274	99	123	387	1026	382	68	254	126	164	691	518	86					
11	Число полученных открепительных  удостоверений	419	0	5	35	22	23	40	10	10	20	10	20	15	5	20	5	8	18	5	5	5	10	5	10	18	5	25	8	5	5	10	5	3	5	3	3	5	10	3					
12	Число выданных открепительных удостоверений	308	0	5	29	22	20	35	7	7	11	3	17	15	1	19	0	4	16	4	1	5	7	2	2	15	3	14	8	1	5	10	5	1	0	1	0	2	10	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	236	51	4	15	13	3	5	3	10	7	12	15	14	1	7	4	0	7	1	4	2	2	0	0	2	1	4	3	3	6	11	7	2	4	0	0	5	4	4					
14	Число неиспользованных открепительных удостоверений	111	0	0	6	0	3	5	3	3	9	7	3	0	4	1	5	4	2	1	4	0	3	3	8	3	2	11	0	4	0	0	0	2	5	2	3	3	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	343	0	5	27	19	28	26	17	29	10	8	15	21	2	32	3	2	15	6	10	7	10	2	15	7	4	2	0	0	2	0	7	1	0	1	2	1	7	0					
		2.00%	0.00%	2.49%	2.67%	2.50%	2.73%	2.93%	2.71%	2.84%	1.69%	1.82%	1.76%	2.89%	1.72%	5.47%	2.73%	1.14%	3.55%	1.55%	2.41%	2.44%	1.51%	2.11%	2.31%	1.54%	2.19%	0.73%	0.00%	0.00%	0.51%	0.00%	1.78%	1.43%	0.00%	0.79%	1.21%	0.14%	1.33%	0.00%					
19	. Малышкин Олег Александрович	610	2	5	30	22	23	24	15	43	25	20	44	28	12	50	2	8	28	28	14	6	33	2	11	13	6	14	4	2	6	27	4	8	0	2	4	19	25	1					
		3.55%	1.67%	2.49%	2.96%	2.89%	2.24%	2.71%	2.39%	4.21%	4.24%	4.56%	5.17%	3.85%	10.34%	8.55%	1.82%	4.57%	6.62%	7.24%	3.37%	2.09%	4.98%	2.11%	1.69%	2.86%	3.28%	5.11%	4.00%	1.61%	1.54%	2.32%	1.02%	11.43%	0.00%	1.59%	2.42%	2.69%	4.76%	1.16%					
20	. Миронов Сергей Михайлович	173	2	1	12	14	15	12	8	9	5	2	10	8	2	9	0	0	8	0	2	1	8	0	4	11	1	0	2	0	2	10	3	1	1	0	2	3	4	1					
		1.01%	1.67%	0.50%	1.18%	1.84%	1.46%	1.35%	1.27%	0.88%	0.85%	0.46%	1.18%	1.10%	1.72%	1.54%	0.00%	0.00%	1.89%	0.00%	0.48%	0.35%	1.21%	0.00%	0.62%	2.42%	0.55%	0.00%	2.00%	0.00%	0.51%	0.86%	0.76%	1.43%	0.39%	0.00%	1.21%	0.42%	0.76%	1.16%					
21	. Путин Владимир Владимирович	12725	85	142	730	560	709	614	487	790	485	289	625	520	73	330	79	148	317	278	343	212	481	85	525	316	114	204	88	99	268	925	266	38	224	106	138	595	373	64					
		74.05%	70.83%	70.65%	72.06%	73.68%	69.10%	69.30%	77.55%	77.38%	82.20%	65.83%	73.44%	71.53%	62.93%	56.41%	71.82%	84.57%	74.94%	71.83%	82.65%	73.87%	72.66%	89.47%	80.89%	69.60%	62.30%	74.45%	88.00%	79.84%	68.72%	79.54%	67.68%	54.29%	86.82%	84.13%	83.64%	84.16%	71.05%	74.42%					
22	. Хакамада Ирина Муцуовна	414	5	6	23	22	25	34	16	29	6	11	30	14	2	12	1	5	8	10	5	7	20	1	6	8	2	11	3	2	14	22	20	2	3	2	0	13	12	2					
		2.41%	4.17%	2.99%	2.27%	2.89%	2.44%	3.84%	2.55%	2.84%	1.02%	2.51%	3.53%	1.93%	1.72%	2.05%	0.91%	2.86%	1.89%	2.58%	1.20%	2.44%	3.02%	1.05%	0.92%	1.76%	1.09%	4.01%	3.00%	1.61%	3.59%	1.89%	5.09%	2.86%	1.16%	1.59%	0.00%	1.84%	2.29%	2.33%					
23	. Харитонов Николай Михайлович	2104	20	29	154	94	165	133	51	95	52	89	88	103	22	121	20	6	38	61	36	39	82	4	51	87	48	35	2	16	81	10	71	16	24	9	13	49	74	16					
		12.24%	16.67%	14.43%	15.20%	12.37%	16.08%	15.01%	8.12%	9.30%	8.81%	20.27%	10.34%	14.17%	18.97%	20.68%	18.18%	3.43%	8.98%	15.76%	8.67%	13.59%	12.39%	4.21%	7.86%	19.16%	26.23%	12.77%	2.00%	12.90%	20.77%	0.86%	18.07%	22.86%	9.30%	7.14%	7.88%	6.93%	14.10%	18.60%					
																																													
24	Против всех	525	6	12	36	25	51	38	27	20	5	15	32	27	3	25	4	6	9	3	2	10	25	1	5	12	6	8	0	4	14	32	11	2	2	6	5	11	23	2					
		3.06%	5.00%	5.97%	3.55%	3.29%	4.97%	4.29%	4.30%	1.96%	0.85%	3.42%	3.76%	3.71%	2.59%	4.27%	3.64%	3.43%	2.13%	0.78%	0.48%	3.48%	3.78%	1.05%	0.77%	2.64%	3.28%	2.92%	0.00%	3.23%	3.59%	2.75%	2.80%	2.86%	0.78%	4.76%	3.03%	1.56%	4.38%	2.33%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
