Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Холмская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509					
1	"Число избирателей, внесенных в список избирателей"	5304	795	866	956	687	259	158	179	101	90	309	199	191	169	106	239					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5405	810	880	951	703	268	160	185	110	89	311	208	200	163	114	253					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2877	424	465	521	355	142	92	89	65	50	167	111	101	90	61	144					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	489	34	44	53	51	41	21	29	11	11	64	36	27	24	20	23					
6	Число погашенных избирательных бюллетеней	2039	352	371	377	297	85	47	67	34	28	80	61	72	49	33	86					
7	Число избирательных бюллетеней в переносных ящиках для голосования	489	34	44	53	51	41	21	29	11	11	64	36	27	24	20	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2877	424	465	521	355	142	92	89	65	50	167	111	101	90	61	144					
9	Число недействительных избирательных бюллетеней	57	13	7	13	3	5	2	2	0	1	4	2	1	1	1	2					
10	Число действительных избирательных бюллетеней	3309	445	502	561	403	178	111	116	76	60	227	145	127	113	80	165					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	96	9	13	7	10	3	2	4	6	2	21	8	4	2	2	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	96	9	13	7	10	3	2	4	6	2	21	8	4	2	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	6	11	7	3	2	2	0	3	7	5	5	4	4	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	7	1	5	5	2	1	0	0	0	1	1	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	758	140	146	178	107	30	15	29	14	4	25	17	16	13	6	18					
		22.52%	30.57%	28.68%	31.01%	26.35%	16.39%	13.27%	24.58%	18.42%	6.56%	10.82%	11.56%	12.50%	11.40%	7.41%	10.78%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	680	93	121	126	58	40	26	16	16	7	57	32	38	14	17	19					
		20.20%	20.31%	23.77%	21.95%	14.29%	21.86%	23.01%	13.56%	21.05%	11.48%	24.68%	21.77%	29.69%	12.28%	20.99%	11.38%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	25	4	4	2	3	2	0	1	2	1	2	1	1	0	1	1					
		0.74%	0.87%	0.79%	0.35%	0.74%	1.09%	0.00%	0.85%	2.63%	1.64%	0.87%	0.68%	0.78%	0.00%	1.23%	0.60%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	435	56	67	80	59	28	12	25	9	3	24	22	15	9	7	19					
		12.92%	12.23%	13.16%	13.94%	14.53%	15.30%	10.62%	21.19%	11.84%	4.92%	10.39%	14.97%	11.72%	7.89%	8.64%	11.38%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	47	9	10	7	6	2	0	5	0	0	0	2	0	4	1	1					
		1.40%	1.97%	1.96%	1.22%	1.48%	1.09%	0.00%	4.24%	0.00%	0.00%	0.00%	1.36%	0.00%	3.51%	1.23%	0.60%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1350	140	153	166	168	75	58	40	35	44	118	70	57	73	48	105					
		40.11%	30.57%	30.06%	28.92%	41.38%	40.98%	51.33%	33.90%	46.05%	72.13%	51.08%	47.62%	44.53%	64.04%	59.26%	62.87%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	3	1	2	2	1	0	0	0	1	1	1	0	0	0	2					
		0.42%	0.66%	0.20%	0.35%	0.49%	0.55%	0.00%	0.00%	0.00%	1.64%	0.43%	0.68%	0.00%	0.00%	0.00%	1.20%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
