Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Верхнекамская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115					
1	"Число избирателей, внесенных в список избирателей"	24266	2633	1436	1304	1965	1713	185	175	325	293	1168	1176	1190	1306	1151	778	555	1273	1278	423	492	782	739	198	405	386	239	499	199					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25235	2700	1400	1350	2000	1800	200	190	345	300	1250	1250	1270	1350	1250	800	585	1310	1340	380	500	820	780	220	440	405	260	520	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11409	1235	735	722	770	772	111	60	174	103	636	734	582	675	447	347	279	634	689	199	92	345	276	113	141	151	117	181	89					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1892	104	144	89	84	86	5	18	19	10	109	118	63	82	189	58	22	64	40	88	138	21	106	14	102	21	18	70	10					
6	Число погашенных избирательных бюллетеней	11929	1361	521	539	1146	942	84	112	152	187	505	398	625	593	614	395	284	612	611	93	265	454	398	93	197	233	125	269	121					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1897	104	144	89	84	86	5	18	19	10	109	118	63	82	189	58	22	64	40	88	143	21	106	14	102	21	18	70	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11409	1235	735	722	770	772	111	60	174	103	636	734	582	675	447	347	279	634	689	199	92	345	276	113	141	151	117	181	89					
9	Число недействительных избирательных бюллетеней	226	17	9	10	12	11	0	3	1	3	22	7	13	18	13	7	6	17	24	7	4	5	5	0	2	2	2	6	0					
10	Число действительных избирательных бюллетеней	13080	1322	870	801	842	847	116	75	192	110	723	845	632	739	623	398	295	681	705	280	231	361	377	127	241	170	133	245	99					
