Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Ордынская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836					
1	"Число избирателей, внесенных в список"	30740	2536	2488	1365	1563	1649	1154	1761	958	301	888	697	213	555	123	536	168	1254	1115	1075	74	34	1614	129	1025	612	649	414	1212	608	301	649	246	571	272	924	392	528	87					
2	Число полученных избирательных бюллетеней	30000	2385	2400	1300	1500	1600	1100	1800	1000	300	900	700	200	500	115	550	150	1200	1100	1000	60	30	1600	100	1000	600	600	400	1200	600	300	700	250	600	300	900	380	500	80					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17559	1393	1366	691	863	898	519	1159	561	189	548	422	160	375	98	367	135	676	598	623	47	26	803	83	569	332	380	254	805	368	163	394	174	310	170	490	217	277	56					
5	"Число избирательных бюллетеней, выданных вне помещения"	1741	138	64	49	49	63	81	54	71	20	27	24	5	23	4	25	0	65	61	42	4	4	135	15	50	43	49	25	74	64	47	79	22	46	22	84	60	48	5					
6	Число погашенных избирательных бюллетеней	10700	854	970	560	588	639	500	587	368	91	325	254	35	102	13	158	15	459	441	335	9	0	662	2	381	225	171	121	321	168	90	227	54	244	108	326	103	175	19					
7	Число избирательных бюллетеней в переносных ящиках	1741	138	64	49	49	63	81	54	71	20	27	24	5	23	4	25	0	65	61	42	4	4	135	15	50	43	49	25	74	64	47	79	22	46	22	84	60	48	5					
8	Число бюллетеней в стационарных ящиках для голосования	17551	1392	1366	691	863	898	519	1159	561	189	548	422	160	375	98	367	135	676	598	623	47	26	803	83	569	332	380	254	803	364	163	394	174	310	170	490	217	276	56					
9	Число недействительных избирательных бюллетеней	204	8	17	9	6	8	3	17	14	1	2	5	0	5	3	2	1	12	10	5	0	0	1	4	10	3	2	6	11	1	0	5	3	7	1	8	3	11	0					
10	Число действительных избирательных бюллетеней	19088	1522	1413	731	906	953	597	1196	618	208	573	441	165	393	99	390	134	729	649	660	51	30	937	94	609	372	427	273	866	427	210	468	193	349	191	566	274	313	61					
11	Число полученных открепительных  удостоверений	300	25	25	10	10	10	8	15	8	5	8	7	5	5	5	8	5	15	10	10	5	5	10	5	8	5	6	5	8	5	5	5	5	5	4	7	5	5	3					
12	Число выданных открепительных удостоверений	136	9	10	7	5	4	0	15	1	1	2	0	5	1	2	0	0	3	10	2	0	0	10	3	3	5	3	2	8	0	0	5	1	5	0	7	3	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	140	12	7	3	7	2	3	7	4	1	9	2	0	3	1	1	0	2	8	3	0	0	6	0	0	2	3	0	1	8	7	1	2	2	2	15	6	9	1					
14	Число неиспользованных открепительных удостоверений	164	16	15	3	5	6	8	0	7	4	6	7	0	4	3	8	5	12	0	8	5	5	0	2	5	0	3	3	0	5	5	0	4	0	4	0	2	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	533	75	68	37	31	31	18	24	10	3	9	2	1	12	0	8	0	11	14	13	0	0	22	0	20	4	14	2	17	19	6	14	2	5	0	14	14	12	1					
		2.76%	4.90%	4.76%	5.00%	3.40%	3.23%	3.00%	1.98%	1.58%	1.44%	1.57%	0.45%	0.61%	3.02%	0.00%	2.04%	0.00%	1.48%	2.12%	1.95%	0.00%	0.00%	2.35%	0.00%	3.23%	1.07%	3.26%	0.72%	1.94%	4.44%	2.86%	2.96%	1.02%	1.40%	0.00%	2.44%	5.05%	3.70%	1.64%					
19	. Малышкин Олег Александрович	442	16	36	11	26	20	16	16	16	1	8	3	15	22	5	14	5	12	19	7	0	0	23	1	32	13	13	6	20	6	9	13	1	3	4	15	9	5	1					
		2.29%	1.05%	2.52%	1.49%	2.85%	2.08%	2.67%	1.32%	2.53%	0.48%	1.39%	0.67%	9.09%	5.53%	4.90%	3.57%	3.70%	1.62%	2.88%	1.05%	0.00%	0.00%	2.45%	1.02%	5.17%	3.47%	3.03%	2.15%	2.28%	1.40%	4.29%	2.75%	0.51%	0.84%	2.08%	2.61%	3.25%	1.54%	1.64%					
20	. Миронов Сергей Михайлович	86	4	3	5	5	5	1	5	2	3	6	3	0	3	1	0	0	2	3	3	0	0	5	0	1	1	0	1	7	3	0	3	1	1	0	2	3	3	1					
