Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Староюрьевская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541					
1	"Число избирателей, внесенных в список"	12471	430	185	112	692	841	297	242	222	216	230	342	638	313	473	380	328	245	484	260	71	229	127	649	928	915	967	827	828					
2	Число полученных избирательных бюллетеней	12397	430	185	112	670	830	300	240	220	215	230	340	750	310	475	385	330	245	500	255	70	230	125	620	920	870	900	820	820					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7362	270	114	54	360	574	168	106	144	123	130	219	581	224	353	249	186	146	324	184	55	136	92	328	476	422	564	388	392					
5	"Число избирательных бюллетеней, выданных вне помещения"	2779	144	47	47	265	183	107	119	48	66	63	82	57	60	85	106	109	81	68	42	12	70	19	111	140	187	178	164	119					
6	Число погашенных избирательных бюллетеней	2256	16	24	11	45	73	25	15	28	26	37	39	112	26	37	30	35	18	108	29	3	24	14	181	304	261	158	268	309					
7	Число избирательных бюллетеней в переносных ящиках	2779	144	47	47	265	183	107	119	48	66	63	82	57	60	85	106	109	81	68	42	12	70	19	111	140	187	178	164	119					
8	Число бюллетеней в стационарных ящиках для голосования	7358	270	114	54	360	571	168	106	144	123	130	219	581	224	353	249	186	146	324	184	55	136	92	328	476	421	564	388	392					
9	Число недействительных избирательных бюллетеней	90	4	2	2	1	14	0	0	2	0	3	8	10	3	2	1	1	3	1	0	0	2	0	6	4	5	6	7	3					
10	Число действительных избирательных бюллетеней	10047	410	159	99	624	740	275	225	190	189	190	293	628	281	436	354	294	224	391	226	67	204	111	433	612	603	736	545	508					
11	Число полученных открепительных  удостоверений	149	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	15	15	15	30	15	15					
12	Число выданных открепительных удостоверений	26	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	2	1	2	8	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2	1	2	6	0	0					
14	Число неиспользованных открепительных удостоверений	123	1	1	2	0	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	1	2	13	14	13	22	12	13					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
