Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    район Якиманка																
																
Итоги голосования 																
																
		Сумма	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №3041					
1	"Число избирателей, внесенных в список"	15807	1181	1642	2487	2103	1215	2333	2147	1894	805					
2	Число полученных избирательных бюллетеней	13280	1020	1270	2030	1850	1060	1780	1840	1640	790					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9448	754	1106	1424	1257	762	1599	1259	1147	140					
5	"Число избирательных бюллетеней, выданных вне помещения"	982	22	48	63	43	35	47	79	42	603					
6	Число погашенных избирательных бюллетеней	2850	244	116	543	550	263	134	502	451	47					
7	Число избирательных бюллетеней в переносных ящиках	982	22	48	63	43	35	47	79	42	603					
8	Число бюллетеней в стационарных ящиках для голосования	9174	713	1006	1424	1236	721	1532	1258	1144	140					
9	Число недействительных избирательных бюллетеней	78	4	6	8	11	6	13	14	14	2					
10	Число действительных избирательных бюллетеней	10078	731	1048	1479	1268	750	1566	1323	1172	741					
11	Число полученных открепительных  удостоверений	450	50	50	70	50	50	80	50	50	0					
12	Число выданных открепительных удостоверений	289	34	25	55	31	19	62	31	32	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1241	65	287	216	98	63	293	45	51	123					
14	Число неиспользованных открепительных удостоверений	161	16	25	15	19	31	18	19	18	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	2	6	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	745	56	61	92	120	52	105	107	109	43					
		7.34%	7.62%	5.79%	6.19%	9.38%	6.88%	6.65%	8.00%	9.19%	5.79%					
19	. Малышкин Олег Александрович	98	6	10	12	14	9	16	10	10	11					
		0.96%	0.82%	0.95%	0.81%	1.09%	1.19%	1.01%	0.75%	0.84%	1.48%					
20	. Миронов Сергей Михайлович	56	5	7	3	13	3	9	8	8	0					
		0.55%	0.68%	0.66%	0.20%	1.02%	0.40%	0.57%	0.60%	0.67%	0.00%					
21	. Путин Владимир Владимирович	6766	504	744	1041	786	517	1088	849	675	562					
		66.62%	68.57%	70.59%	70.01%	61.45%	68.39%	68.90%	63.50%	56.91%	75.64%					
22	. Хакамада Ирина Муцуовна	1037	62	118	156	108	72	150	142	195	34					
		10.21%	8.44%	11.20%	10.49%	8.44%	9.52%	9.50%	10.62%	16.44%	4.58%					
23	. Харитонов Николай Михайлович	768	54	51	110	140	49	127	115	85	37					
		7.56%	7.35%	4.84%	7.40%	10.95%	6.48%	8.04%	8.60%	7.17%	4.98%					
																
24	Против всех	608	44	57	65	87	48	71	92	90	54					
		5.99%	5.99%	5.41%	4.37%	6.80%	6.35%	4.50%	6.88%	7.59%	7.27%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
