Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Балезинская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156					
		1.44%	1.10%	0.94%	1.64%	2.30%	1.33%	2.66%	2.43%	2.39%	2.16%	1.69%	0.00%	0.39%	1.81%	0.00%	1.55%	0.00%	1.06%	1.85%	0.00%	1.98%	1.95%	0.00%	1.62%	0.00%	0.83%	3.56%	1.00%	1.58%	2.82%	2.76%	0.94%	0.85%	2.42%	0.95%	1.49%	0.83%	3.08%	0.00%	0.51%	1.20%	1.62%	1.16%	0.74%	0.74%	0.00%	0.49%	1.37%	0.99%	0.59%	0.00%	0.00%	3.30%	1.25%	1.89%	4.55%	1.22%					
19	. Малышкин Олег Александрович	446	12	17	17	10	20	13	25	14	23	8	4	7	8	1	9	0	10	7	2	8	10	1	0	1	7	8	9	13	8	6	3	8	0	12	1	4	4	3	7	6	15	5	4	3	8	9	3	34	2	2	5	0	15	9	3	3					
		1.96%	1.47%	2.66%	1.46%	1.77%	1.77%	1.82%	2.65%	2.58%	2.36%	2.25%	0.93%	2.73%	1.81%	0.92%	1.55%	0.00%	2.65%	4.32%	1.36%	2.27%	3.25%	0.83%	0.00%	0.89%	2.90%	2.04%	3.01%	2.57%	2.25%	3.31%	0.70%	2.28%	0.00%	2.86%	0.50%	1.11%	3.08%	1.11%	1.77%	1.80%	2.21%	0.97%	1.47%	1.10%	3.92%	2.22%	2.05%	1.87%	1.18%	2.67%	3.11%	0.00%	2.68%	1.89%	3.41%	1.83%					
20	. Миронов Сергей Михайлович	97	3	3	8	1	8	3	4	2	1	1	0	0	1	0	0	0	5	3	1	4	1	1	1	1	1	5	3	2	4	1	3	1	1	1	0	4	0	1	1	0	2	0	0	0	0	0	0	10	0	0	1	0	2	1	0	1					
		0.43%	0.37%	0.47%	0.69%	0.18%	0.71%	0.42%	0.42%	0.37%	0.10%	0.28%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	1.33%	1.85%	0.68%	1.13%	0.32%	0.83%	0.27%	0.89%	0.41%	1.27%	1.00%	0.40%	1.13%	0.55%	0.70%	0.28%	0.81%	0.24%	0.00%	1.11%	0.00%	0.37%	0.25%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.62%	0.00%	0.36%	0.21%	0.00%	0.61%					
21	. Путин Владимир Владимирович	19319	665	536	944	478	868	567	746	457	806	307	388	215	380	99	470	93	318	132	135	309	252	110	326	92	219	313	268	418	279	132	380	316	108	369	168	290	107	251	355	287	592	461	252	253	187	343	128	1656	139	64	131	81	473	385	67	154					
		84.82%	81.60%	84.01%	81.24%	84.75%	77.02%	79.52%	78.94%	84.16%	82.75%	86.24%	90.23%	83.98%	86.17%	90.83%	81.17%	94.90%	84.35%	81.48%	91.84%	87.54%	81.82%	91.67%	88.11%	82.14%	90.87%	79.64%	89.63%	82.61%	78.59%	72.93%	89.20%	90.03%	87.10%	87.86%	83.17%	80.56%	82.31%	92.62%	89.65%	86.19%	87.32%	89.34%	92.65%	93.01%	91.67%	84.69%	87.67%	91.29%	82.25%	85.33%	81.37%	89.01%	84.46%	81.05%	76.14%	93.90%					
22	. Хакамада Ирина Муцуовна	281	15	8	18	8	24	8	13	3	22	8	7	6	3	0	2	2	5	1	2	2	5	0	4	0	1	4	0	6	1	4	2	2	0	0	1	5	2	3	3	4	14	6	1	2	1	7	1	25	2	0	0	0	13	5	0	0					
		1.23%	1.84%	1.25%	1.55%	1.42%	2.13%	1.12%	1.38%	0.55%	2.26%	2.25%	1.63%	2.34%	0.68%	0.00%	0.35%	2.04%	1.33%	0.62%	1.36%	0.57%	1.62%	0.00%	1.08%	0.00%	0.41%	1.02%	0.00%	1.19%	0.28%	2.21%	0.47%	0.57%	0.00%	0.00%	0.50%	1.39%	1.54%	1.11%	0.76%	1.20%	2.06%	1.16%	0.37%	0.74%	0.49%	1.73%	0.68%	1.38%	1.18%	0.00%	0.00%	0.00%	2.32%	1.05%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1697	73	54	115	40	140	82	109	41	62	14	20	15	35	9	71	3	32	11	6	18	27	8	28	16	8	38	14	41	38	30	25	11	7	22	21	46	10	12	16	23	28	28	9	11	6	37	10	38	16	6	19	1	34	47	13	3					
