Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Гавриловская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655					
1	"Число избирателей, внесенных в список"	9642	1893	224	771	75	1479	721	128	436	577	257	233	109	396	128	248	278	484	295	250	318	342					
2	Число полученных избирательных бюллетеней	9476	1846	221	755	74	1472	678	122	429	581	265	224	107	398	127	243	269	482	284	247	312	340					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5844	1180	150	471	52	762	373	92	265	359	156	162	85	300	84	185	164	296	184	157	158	209					
5	"Число избирательных бюллетеней, выданных вне помещения"	2365	244	42	191	19	459	253	29	126	136	76	60	13	61	30	45	94	135	79	72	116	85					
6	Число погашенных избирательных бюллетеней	1267	422	29	93	3	251	52	1	38	86	33	2	9	37	13	13	11	51	21	18	38	46					
7	Число избирательных бюллетеней в переносных ящиках	2365	244	42	191	19	459	253	29	126	136	76	60	13	61	30	45	94	135	79	72	116	85					
8	Число бюллетеней в стационарных ящиках для голосования	5844	1180	150	471	52	762	373	92	265	359	156	162	85	300	84	185	164	296	184	157	158	209					
9	Число недействительных избирательных бюллетеней	52	11	2	4	1	5	0	1	2	5	6	0	0	2	0	2	2	5	1	2	0	1					
10	Число действительных избирательных бюллетеней	8157	1413	190	658	70	1216	626	120	389	490	226	222	98	359	114	228	256	426	262	227	274	293					
11	Число полученных открепительных  удостоверений	100	38	2	7	1	3	7	1	5	7	1	2	1	4	1	2	2	5	3	2	3	3					
12	Число выданных открепительных удостоверений	62	29	0	1	0	3	7	0	5	7	0	2	0	4	0	1	0	1	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	9	0	0	0	2	2	3	0	1	5	1	1	1	1	4	2	1	2	1	3	1					
14	Число неиспользованных открепительных удостоверений	38	9	2	6	1	0	0	1	0	0	1	0	1	0	1	1	2	4	3	0	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	96	15	1	7	1	16	7	4	3	5	0	0	3	5	3	3	1	6	2	6	1	7					
		1.17%	1.05%	0.52%	1.06%	1.41%	1.31%	1.12%	3.31%	0.77%	1.01%	0.00%	0.00%	3.06%	1.39%	2.63%	1.30%	0.39%	1.39%	0.76%	2.62%	0.36%	2.38%					
19	. Малышкин Олег Александрович	144	30	7	14	3	9	11	2	3	2	2	2	2	3	4	15	6	5	12	5	4	3					
		1.75%	2.11%	3.65%	2.11%	4.23%	0.74%	1.76%	1.65%	0.77%	0.40%	0.86%	0.90%	2.04%	0.83%	3.51%	6.52%	2.33%	1.16%	4.56%	2.18%	1.46%	1.02%					
20	. Миронов Сергей Михайлович	42	9	2	9	0	6	2	2	0	2	0	0	0	0	1	2	0	2	2	3	0	0					
		0.51%	0.63%	1.04%	1.36%	0.00%	0.49%	0.32%	1.65%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.88%	0.87%	0.00%	0.46%	0.76%	1.31%	0.00%	0.00%					
21	. Путин Владимир Владимирович	6036	1009	109	493	58	907	507	83	282	385	210	196	84	298	68	114	175	284	158	174	228	214					
		73.53%	70.86%	56.77%	74.47%	81.69%	74.28%	80.99%	68.60%	72.12%	77.78%	90.52%	88.29%	85.71%	82.55%	59.65%	49.57%	67.83%	65.89%	60.08%	75.98%	83.21%	72.79%					
22	. Хакамада Ирина Муцуовна	80	14	7	9	0	10	7	2	4	5	1	0	0	0	5	2	1	6	4	0	2	1					
		0.97%	0.98%	3.65%	1.36%	0.00%	0.82%	1.12%	1.65%	1.02%	1.01%	0.43%	0.00%	0.00%	0.00%	4.39%	0.87%	0.39%	1.39%	1.52%	0.00%	0.73%	0.34%					
23	. Харитонов Николай Михайлович	1646	306	61	113	8	260	86	27	93	91	12	20	9	51	31	81	72	106	81	36	36	66					
		20.05%	21.49%	31.77%	17.07%	11.27%	21.29%	13.74%	22.31%	23.79%	18.38%	5.17%	9.01%	9.18%	14.13%	27.19%	35.22%	27.91%	24.59%	30.80%	15.72%	13.14%	22.45%					
																												
24	Против всех	113	30	3	13	0	8	6	0	4	0	1	4	0	2	2	11	1	17	3	3	3	2					
		1.38%	2.11%	1.56%	1.96%	0.00%	0.66%	0.96%	0.00%	1.02%	0.00%	0.43%	1.80%	0.00%	0.55%	1.75%	4.78%	0.39%	3.94%	1.14%	1.31%	1.09%	0.68%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
