Выборы Президента Российской Федерации																																																																																		
Дата голосования: 02.03.2008																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Воронеж, Советская"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
	Число участковых избирательных комиссий	75																																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	75																																																																																
																																																																																		
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375					
1	"Число избирателей, включенных в списки избирателей"	157489	2462	2409	2412	2503	2525	2892	2037	2763	2219	2622	2533	2544	2555	2203	2422	2387	1233	1921	2586	2046	600	2920	2214	2697	2570	2425	2806	2216	2101	2458	2022	1694	2847	2808	2532	2706	677	2525	2483	2577	1642	1514	372	2133	2509	2624	2269	1330	1294	2170	2746	2578	2244	1678	2268	2388	2592	2308	1882	1993	2173	3001	1947	2555	1736	1900	2468	1701	1401	292	113	150	2319	1381	666					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	146694	2200	2200	2200	2100	2300	2691	1900	2600	2077	2400	2400	2400	2400	2100	2400	2200	1200	1800	2200	2000	600	2586	2100	2500	2400	2239	2700	2100	2000	2300	1900	1600	2600	2700	2400	2600	600	2400	2400	2500	1600	1500	600	2000	2400	2500	2100	1200	1200	2100	2500	2300	2100	1500	2100	2200	2400	2200	1700	1900	2300	2400	1700	2100	1700	1600	2300	1600	1300	250	101	150	2200	1300	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	88848	1298	1476	1432	1474	1580	1386	1026	1432	1105	1424	1397	1400	1184	969	1291	1255	770	1030	1454	1195	551	1661	1234	1458	1514	1466	1582	1259	1203	1456	1126	1116	1454	1710	1471	1584	372	1473	1324	1580	989	901	342	1124	1459	1509	1336	767	710	1208	1548	1435	1172	933	1260	1337	1394	1206	943	1219	1169	1735	1121	1513	947	1115	1529	912	690	250	101	150	1324	967	361					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4833	118	97	94	37	46	90	65	79	76	57	88	102	50	122	71	81	33	89	108	42	49	54	25	34	40	64	46	67	46	69	108	31	102	65	62	67	35	60	87	40	41	44	0	62	83	64	85	47	27	48	42	82	80	19	80	82	68	98	162	72	83	50	17	41	224	104	123	23	146	0	0	0	25	1	14					
6	Число погашенных избирательных бюллетеней	53013	784	627	674	589	674	1215	809	1089	896	919	915	898	1166	1009	1038	864	397	681	638	763	0	871	841	1008	846	709	1072	774	751	775	666	453	1044	925	867	949	193	867	989	880	570	555	258	814	858	927	679	386	463	844	910	783	848	548	760	781	938	896	595	609	1048	615	562	546	529	381	648	665	464	0	0	0	851	332	225					
