Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    район Солнцево																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №3375					
1	"Число избирателей, внесенных в список избирателей"	67374	2112	2740	2335	2882	2303	2450	2364	2389	2701	2679	2738	2649	1775	2272	2683	2556	2676	2822	2557	2394	2387	2440	2803	1575	2669	2454	2406	563					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56900	1600	2700	2300	2600	1800	1800	2300	2300	2300	2200	2300	2200	1300	1800	2300	2100	2200	2400	2100	2000	2000	2000	2300	1200	2200	2000	2000	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	39715	683	2259	2063	1635	1400	1046	1774	2203	1975	1520	1047	1172	723	1091	1373	1211	1333	1584	1962	1576	1480	1237	1498	1085	1996	1043	1325	421					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	827	43	31	20	27	25	28	8	24	17	45	86	57	29	8	13	19	21	12	12	14	22	17	19	13	16	34	29	138					
6	Число погашенных избирательных бюллетеней	16358	874	410	217	938	375	726	518	73	308	635	1167	971	548	701	914	870	846	804	126	410	498	746	783	102	188	923	646	41					
7	Число избирательных бюллетеней в переносных ящиках для голосования	826	43	31	20	27	25	28	8	24	17	45	86	57	29	8	12	19	21	12	12	14	22	17	19	13	16	34	29	138					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	39615	682	2259	2063	1621	1399	1042	1774	2203	1975	1518	1047	1115	721	1088	1370	1211	1333	1584	1962	1576	1473	1235	1495	1085	1996	1042	1325	421					
9	Число недействительных избирательных бюллетеней	799	25	144	166	27	22	21	23	48	7	22	0	4	9	18	24	10	23	20	9	20	21	30	21	13	12	28	17	15					
10	Число действительных избирательных бюллетеней	39642	700	2146	1917	1621	1402	1049	1759	2179	1985	1541	1133	1168	741	1078	1358	1220	1331	1576	1965	1570	1474	1222	1493	1085	2000	1048	1337	544					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1435	30	70	45	70	50	65	60	65	55	30	60	50	30	60	50	50	50	55	60	45	60	45	70	55	55	50	50	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1108	22	50	32	55	43	46	39	45	47	24	51	35	21	46	45	33	38	43	46	41	52	33	57	35	45	37	47	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	787	37	42	42	27	16	42	8	20	19	86	10	19	38	66	8	12	63	44	26	21	13	37	22	11	12	36	10	0					
