Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    район Аэропорт																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №3042	УИК №3043	УИК №3044					
1	"Число избирателей, внесенных в список"	46012	2667	2458	2682	2360	2374	2662	2449	2564	1938	2865	2729	2791	2223	2484	2544	2371	2563	2748	223	120	197					
2	Число полученных избирательных бюллетеней	41820	2400	1850	2400	2150	2350	2400	2150	2350	1700	2450	2500	2500	2000	2150	2350	2150	2350	2500	320	200	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25915	1452	1667	1472	1277	1438	1577	1273	1473	977	1596	1554	1564	1126	1364	1365	1249	1434	1537	207	118	195					
5	"Число избирательных бюллетеней, выданных вне помещения"	996	72	27	57	73	56	101	63	54	27	62	56	58	44	38	52	42	67	47	0	0	0					
6	Число погашенных избирательных бюллетеней	14909	876	156	871	800	856	722	814	823	696	792	890	878	830	748	933	859	849	916	113	82	405					
7	Число избирательных бюллетеней в переносных ящиках	996	72	27	57	73	56	101	63	54	27	62	56	58	44	38	52	42	67	47	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	25820	1447	1667	1464	1277	1411	1572	1248	1473	976	1596	1554	1554	1126	1363	1365	1241	1433	1533	207	118	195					
9	Число недействительных избирательных бюллетеней	369	10	4	16	14	7	8	19	7	9	135	21	21	14	29	12	14	9	13	3	0	4					
10	Число действительных избирательных бюллетеней	26447	1509	1690	1505	1336	1460	1665	1292	1520	994	1523	1589	1591	1156	1372	1405	1269	1491	1567	204	118	191					
11	Число полученных открепительных  удостоверений	1284	61	81	71	71	71	71	71	71	71	71	71	71	71	75	71	71	71	73	0	0	0					
12	Число выданных открепительных удостоверений	651	40	73	29	52	37	30	26	48	19	34	33	33	32	23	39	41	32	30	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	684	31	32	56	40	33	47	21	36	33	69	33	45	21	36	36	16	32	26	19	10	12					
14	Число неиспользованных открепительных удостоверений	633	21	8	42	19	34	41	45	23	52	37	38	38	39	52	32	30	39	43	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	15	1	0	0	1	0	0	2	3	3	1	0	1	1	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	2018	136	115	140	97	132	123	93	122	68	116	109	129	79	81	94	89	101	159	15	4	16					
		7.53%	8.95%	6.79%	9.20%	7.19%	9.00%	7.35%	7.09%	7.99%	6.78%	7.00%	6.77%	8.00%	6.75%	5.78%	6.63%	6.94%	6.73%	10.06%	7.25%	3.39%	8.21%					
19	. Малышкин Олег Александрович	233	10	20	18	8	12	8	5	14	4	17	16	17	9	17	11	16	16	11	1	1	2					
		0.87%	0.66%	1.18%	1.18%	0.59%	0.82%	0.48%	0.38%	0.92%	0.40%	1.03%	0.99%	1.05%	0.77%	1.21%	0.78%	1.25%	1.07%	0.70%	0.48%	0.85%	1.03%					
20	. Миронов Сергей Михайлович	167	13	11	10	8	10	8	10	11	7	9	13	8	3	8	10	4	6	12	0	1	5					
		0.62%	0.86%	0.65%	0.66%	0.59%	0.68%	0.48%	0.76%	0.72%	0.70%	0.54%	0.81%	0.50%	0.26%	0.57%	0.71%	0.31%	0.40%	0.76%	0.00%	0.85%	2.56%					
21	. Путин Владимир Владимирович	16429	901	1197	867	852	706	980	802	868	646	1073	1034	942	772	929	868	750	977	922	126	85	132					
		61.27%	59.32%	70.66%	57.00%	63.11%	48.13%	58.58%	61.17%	56.84%	64.41%	64.72%	64.22%	58.44%	65.98%	66.31%	61.26%	58.46%	65.13%	58.35%	60.87%	72.03%	67.69%					
22	. Хакамада Ирина Муцуовна	3343	168	113	196	166	339	281	165	219	113	174	170	245	107	133	193	168	166	191	15	13	8					
		12.47%	11.06%	6.67%	12.89%	12.30%	23.11%	16.80%	12.59%	14.34%	11.27%	10.49%	10.56%	15.20%	9.15%	9.49%	13.62%	13.09%	11.07%	12.09%	7.25%	11.02%	4.10%					
23	. Харитонов Николай Михайлович	2359	174	102	174	122	116	166	124	163	69	120	142	124	111	95	120	110	122	159	33	6	7					
		8.80%	11.45%	6.02%	11.44%	9.04%	7.91%	9.92%	9.46%	10.67%	6.88%	7.24%	8.82%	7.69%	9.49%	6.78%	8.47%	8.57%	8.13%	10.06%	15.94%	5.08%	3.59%					
																												
24	Против всех	1898	107	132	100	83	145	99	93	123	87	14	105	126	75	109	109	132	103	113	14	8	21					
		7.08%	7.04%	7.79%	6.57%	6.15%	9.88%	5.92%	7.09%	8.06%	8.67%	0.84%	6.52%	7.82%	6.41%	7.78%	7.69%	10.29%	6.87%	7.15%	6.76%	6.78%	10.77%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
