Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Каменская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438					
1	"Число избирателей, внесенных в список"	18947	396	180	361	776	934	318	433	98	588	449	333	228	167	1459	109	1361	1179	131	509	158	150	451	266	107	271	329	105	697	169	539	376	151	783	152	1093	634	369	349	901	68	156	263	401					
2	Число полученных избирательных бюллетеней	19014	395	182	367	780	931	312	434	101	588	448	333	227	167	1455	107	1363	1173	151	505	159	154	470	268	114	272	334	106	702	172	538	374	151	786	153	1094	635	372	348	909	69	157	263	395					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13641	342	138	301	506	761	213	264	63	398	293	254	145	131	1149	83	973	923	104	406	125	113	309	180	91	210	231	87	461	128	378	274	90	545	110	730	462	200	218	584	57	109	212	290					
5	"Число избирательных бюллетеней, выданных вне помещения"	1426	15	22	21	74	19	40	44	10	40	33	18	24	0	0	3	91	36	13	27	0	0	60	65	8	34	66	0	55	10	40	30	20	30	13	60	68	80	59	97	0	38	21	42					
6	Число погашенных избирательных бюллетеней	3947	38	22	45	200	151	59	126	28	150	122	61	58	36	306	21	299	214	34	72	34	41	101	23	15	28	37	19	186	34	120	70	41	211	30	304	105	92	71	228	12	10	30	63					
7	Число избирательных бюллетеней в переносных ящиках	1426	15	22	21	74	19	40	44	10	40	33	18	24	0	0	3	91	36	13	27	0	0	60	65	8	34	66	0	55	10	40	30	20	30	13	60	68	80	59	97	0	38	21	42					
8	Число бюллетеней в стационарных ящиках для голосования	13641	342	138	301	506	761	213	264	63	398	293	254	145	131	1149	83	973	923	104	406	125	113	309	180	91	210	231	87	461	128	378	274	90	545	110	730	462	200	218	584	57	109	212	290					
9	Число недействительных избирательных бюллетеней	363	32	0	0	6	34	0	2	0	1	28	1	0	1	0	0	11	114	0	3	2	1	3	0	0	1	3	0	10	0	6	2	1	45	1	25	0	2	0	2	0	2	12	12					
10	Число действительных избирательных бюллетеней	14704	325	160	322	574	746	253	306	73	437	298	271	169	130	1149	86	1053	845	117	430	123	112	366	245	99	243	294	87	506	138	412	302	109	530	122	765	530	278	277	679	57	145	221	320					
