Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Новгородская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346					
1	"Число избирателей, внесенных в список"	43939	1448	2454	124	146	588	894	427	1820	170	370	1255	1390	534	579	403	1290	2545	1090	155	2352	336	737	365	328	135	575	1873	360	2152	195	338	306	198	1695	2444	2063	2544	1911	2127	1186	1217	820					
2	Число полученных избирательных бюллетеней	44044	1448	2460	128	144	593	896	430	1829	170	368	1265	1386	534	577	404	1233	2539	1100	155	2380	333	743	363	318	139	581	1895	364	2155	195	333	310	197	1707	2466	2078	2502	1927	2152	1195	1223	829					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20337	632	1242	68	115	163	417	174	920	103	202	450	593	216	234	168	664	1530	513	48	1180	177	369	131	96	32	234	844	211	941	95	151	222	103	866	1122	867	1049	780	966	497	529	423					
5	"Число избирательных бюллетеней, выданных вне помещения"	2134	109	72	20	5	134	36	105	15	0	25	143	20	96	125	66	15	84	31	60	65	50	51	71	44	43	79	15	14	34	7	27	21	60	44	12	10	27	113	95	32	43	16					
6	Число погашенных избирательных бюллетеней	21573	707	1146	40	24	296	443	151	894	67	141	672	773	222	218	170	554	925	556	47	1135	106	323	161	178	64	268	1036	139	1180	93	155	67	34	797	1332	1201	1426	1034	1091	666	651	390					
7	Число избирательных бюллетеней в переносных ящиках	2134	109	72	20	5	134	36	105	15	0	25	143	20	96	125	66	15	84	31	60	65	50	51	71	44	43	79	15	14	34	7	27	21	60	44	12	10	27	113	95	32	43	16					
8	Число бюллетеней в стационарных ящиках для голосования	20330	632	1242	68	115	163	417	174	920	103	202	450	593	216	234	168	664	1528	513	47	1180	177	369	131	96	32	234	844	211	941	95	151	222	103	864	1122	867	1049	779	966	497	529	422					
9	Число недействительных избирательных бюллетеней	202	8	20	0	2	2	7	4	8	0	1	7	5	2	1	1	3	9	8	1	16	2	1	2	0	0	3	8	0	9	0	4	1	0	7	5	6	8	12	7	7	9	6					
10	Число действительных избирательных бюллетеней	22262	733	1294	88	118	295	446	275	927	103	226	586	608	310	358	233	676	1603	536	106	1229	225	419	200	140	75	310	851	225	966	102	174	242	163	901	1129	871	1068	880	1054	522	563	432					
