Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Глазуновская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №795	УИК №796					
1	"Число избирателей, внесенных в список"	11156	1284	782	903	326	386	222	633	406	432	459	537	551	345	462	329	290	643	392	1096	678					
2	Число полученных избирательных бюллетеней	11300	1290	805	905	340	390	227	615	397	475	485	535	550	350	460	350	285	655	395	1116	675					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8634	1042	620	624	278	308	184	385	255	378	383	377	469	284	271	260	200	589	327	889	511					
5	"Число избирательных бюллетеней, выданных вне помещения"	1472	34	79	104	40	59	26	159	135	30	34	124	50	47	163	58	71	36	55	74	94					
6	Число погашенных избирательных бюллетеней	1192	214	106	177	22	23	17	70	7	67	68	34	31	19	25	32	14	30	13	153	70					
7	Число избирательных бюллетеней в переносных ящиках	1472	34	79	104	40	59	26	159	135	30	34	124	50	47	163	58	71	36	55	74	94					
8	Число бюллетеней в стационарных ящиках для голосования	8634	1042	620	624	278	308	184	385	255	378	383	377	469	284	271	260	200	589	327	889	511					
9	Число недействительных избирательных бюллетеней	53	4	2	5	0	1	3	5	0	2	2	1	3	5	1	0	2	3	2	7	5					
10	Число действительных избирательных бюллетеней	10053	1072	697	723	318	366	207	539	390	406	415	500	516	326	433	318	269	622	380	956	600					
11	Число полученных открепительных  удостоверений	355	25	15	15	60	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	115	14	8	8	22	1	1	6	3	11	1	6	1	2	1	3	0	11	1	13	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	14	6	3	5	2	2	4	2	0	1	7	0	2	7	3	3	7	6	11	5					
14	Число неиспользованных открепительных удостоверений	240	11	7	7	38	14	14	9	12	4	14	9	14	13	14	12	15	4	14	2	13					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	247	30	24	20	15	12	11	10	12	9	4	8	9	6	9	2	12	15	5	28	6					
		2.44%	2.79%	3.43%	2.75%	4.72%	3.27%	5.24%	1.84%	3.08%	2.21%	0.96%	1.60%	1.73%	1.81%	2.07%	0.63%	4.43%	2.40%	1.31%	2.91%	0.99%					
19	. Малышкин Олег Александрович	268	20	22	24	10	7	3	13	9	4	12	17	15	2	18	8	3	12	19	32	18					
		2.65%	1.86%	3.15%	3.30%	3.14%	1.91%	1.43%	2.39%	2.31%	0.98%	2.88%	3.39%	2.89%	0.60%	4.15%	2.52%	1.11%	1.92%	4.97%	3.32%	2.98%					
20	. Миронов Сергей Михайлович	79	5	4	8	0	4	0	4	1	2	4	3	12	2	7	2	2	1	2	13	3					
		0.78%	0.46%	0.57%	1.10%	0.00%	1.09%	0.00%	0.74%	0.26%	0.49%	0.96%	0.60%	2.31%	0.60%	1.61%	0.63%	0.74%	0.16%	0.52%	1.35%	0.50%					
21	. Путин Владимир Владимирович	6135	541	376	425	175	235	138	377	246	224	290	338	350	230	232	228	190	399	235	537	369					
		60.71%	50.28%	53.79%	58.38%	55.03%	64.03%	65.71%	69.30%	63.08%	54.90%	69.54%	67.47%	67.44%	69.49%	53.46%	71.70%	70.11%	63.84%	61.52%	55.76%	60.99%					
22	. Хакамада Ирина Муцуовна	176	33	8	11	10	4	2	12	11	12	3	6	12	4	6	6	5	4	2	13	12					
		1.74%	3.07%	1.14%	1.51%	3.14%	1.09%	0.95%	2.21%	2.82%	2.94%	0.72%	1.20%	2.31%	1.21%	1.38%	1.89%	1.85%	0.64%	0.52%	1.35%	1.98%					
23	. Харитонов Николай Михайлович	2858	387	223	224	101	103	51	109	102	146	92	110	104	69	154	67	46	182	115	302	171					
		28.28%	35.97%	31.90%	30.77%	31.76%	28.07%	24.29%	20.04%	26.15%	35.78%	22.06%	21.96%	20.04%	20.85%	35.48%	21.07%	16.97%	29.12%	30.10%	31.36%	28.26%					
																											
24	Против всех	290	56	40	11	7	1	2	14	9	9	10	18	14	13	7	5	11	9	2	31	21					
		2.87%	5.20%	5.72%	1.51%	2.20%	0.27%	0.95%	2.57%	2.31%	2.21%	2.40%	3.59%	2.70%	3.93%	1.61%	1.57%	4.06%	1.44%	0.52%	3.22%	3.47%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
