Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Кирово-Чепецкая																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553					
1	"Число избирателей, внесенных в список"	17827	1075	229	354	1053	1031	735	1787	448	2394	1090	651	2528	506	190	805	1133	782	1036					
2	Число полученных избирательных бюллетеней	17900	1000	220	350	1050	1020	750	1800	460	2400	1100	650	2590	500	200	800	1200	810	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9910	571	136	225	527	637	537	861	281	1238	533	397	1300	346	124	450	677	579	491					
5	"Число избирательных бюллетеней, выданных вне помещения"	1112	38	10	16	187	6	54	166	41	84	102	0	123	39	0	75	64	0	107					
6	Число погашенных избирательных бюллетеней	6878	391	74	109	336	377	159	773	138	1078	465	253	1167	115	76	275	459	231	402					
7	Число избирательных бюллетеней в переносных ящиках	1112	38	10	16	187	6	54	166	41	84	102	0	123	39	0	75	64	0	107					
8	Число бюллетеней в стационарных ящиках для голосования	9908	571	136	225	527	637	537	861	281	1238	531	397	1300	346	124	450	677	579	491					
9	Число недействительных избирательных бюллетеней	82	7	2	0	4	6	4	7	1	15	6	2	7	1	0	3	4	4	9					
10	Число действительных избирательных бюллетеней	10938	602	144	241	710	637	587	1020	321	1307	627	395	1416	384	124	522	737	575	589					
11	Число полученных открепительных  удостоверений	980	56	10	20	60	58	40	90	26	130	60	40	140	30	10	50	60	40	60					
12	Число выданных открепительных удостоверений	110	5	1	0	1	4	6	20	23	9	4	0	18	2	0	6	7	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	174	89	7	4	5	2	2	7	5	10	4	0	18	4	0	8	5	0	4					
14	Число неиспользованных открепительных удостоверений	870	51	9	20	59	54	34	70	3	121	56	40	122	28	10	44	53	40	56					
15	"Число открепительных удостоверений, выданных в ТИК"	7	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	370	26	2	5	16	21	32	32	5	62	16	16	47	8	2	22	12	28	18					
		3.36%	4.27%	1.37%	2.07%	2.24%	3.27%	5.41%	3.12%	1.55%	4.69%	2.53%	4.03%	3.30%	2.08%	1.61%	4.19%	1.62%	4.84%	3.01%					
19	. Малышкин Олег Александрович	258	13	4	0	23	21	10	27	13	23	11	6	26	16	5	17	14	7	22					
		2.34%	2.13%	2.74%	0.00%	3.22%	3.27%	1.69%	2.63%	4.04%	1.74%	1.74%	1.51%	1.83%	4.16%	4.03%	3.24%	1.89%	1.21%	3.68%					
20	. Миронов Сергей Михайлович	92	4	2	0	5	4	9	3	4	12	8	2	10	2	3	3	11	3	7					
		0.83%	0.66%	1.37%	0.00%	0.70%	0.62%	1.52%	0.29%	1.24%	0.91%	1.26%	0.50%	0.70%	0.52%	2.42%	0.57%	1.48%	0.52%	1.17%					
21	. Путин Владимир Владимирович	7927	412	111	182	478	429	413	773	198	1003	436	310	1017	244	92	349	602	475	403					
		71.93%	67.65%	76.03%	75.52%	66.95%	66.72%	69.88%	75.27%	61.49%	75.87%	68.88%	78.09%	71.47%	63.38%	74.19%	66.48%	81.24%	82.04%	67.39%					
22	. Хакамада Ирина Муцуовна	265	8	8	2	13	15	20	29	5	55	5	6	34	11	7	12	5	4	26					
		2.40%	1.31%	5.48%	0.83%	1.82%	2.33%	3.38%	2.82%	1.55%	4.16%	0.79%	1.51%	2.39%	2.86%	5.65%	2.29%	0.67%	0.69%	4.35%					
23	. Харитонов Николай Михайлович	1801	135	14	51	151	113	89	132	87	125	141	50	261	92	10	113	87	50	100					
		16.34%	22.17%	9.59%	21.16%	21.15%	17.57%	15.06%	12.85%	27.02%	9.46%	22.27%	12.59%	18.34%	23.90%	8.06%	21.52%	11.74%	8.64%	16.72%					
																									
24	Против всех	225	4	3	1	24	34	14	24	9	27	10	5	21	11	5	6	6	8	13					
		2.04%	0.66%	2.05%	0.41%	3.36%	5.29%	2.37%	2.34%	2.80%	2.04%	1.58%	1.26%	1.48%	2.86%	4.03%	1.14%	0.81%	1.38%	2.17%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
