Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Павловская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931	УИК №3932	УИК №3933	УИК №3934	УИК №3935	УИК №3936	УИК №3937	УИК №3938	УИК №3939	УИК №3940	УИК №3941	УИК №3942	УИК №3943	УИК №3944					
1	"Число избирателей, внесенных в список"	53294	2811	1521	998	527	879	1253	1762	1990	327	1710	466	172	192	2217	1072	942	1565	2038	2442	1471	2134	2373	1511	2448	1646	1728	1084	1935	1000	1444	270	225	817	175	321	1107	446	726	148	202	235	568	2474	1922					
2	Число полученных избирательных бюллетеней	49520	2500	1400	900	500	800	1200	1500	1800	300	1600	450	170	200	2100	1000	900	1500	1900	2300	1300	2000	2200	1400	2200	1500	1600	1000	1800	900	1300	260	220	800	170	300	1100	440	700	140	190	230	550	2400	1800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31791	1889	1069	681	397	630	621	983	1039	214	1315	359	135	175	1521	643	541	817	1005	1245	738	1093	1336	802	1319	818	961	644	966	524	733	161	149	515	124	198	803	272	437	124	148	175	420	1603	1449					
5	"Число избирательных бюллетеней, выданных вне помещения"	2086	183	100	48	23	42	147	93	107	84	28	44	25	17	36	48	21	54	38	47	158	57	44	31	20	22	22	13	39	20	32	28	0	21	10	21	63	52	100	11	26	24	35	17	35					
6	Число погашенных избирательных бюллетеней	15643	428	231	171	80	128	432	424	654	2	257	47	10	8	543	309	338	629	857	1008	404	850	820	567	861	660	617	343	795	356	535	71	71	264	36	81	234	116	163	5	16	31	95	780	316					
7	Число избирательных бюллетеней в переносных ящиках	2085	183	100	48	23	42	147	92	107	84	28	44	25	17	36	48	21	54	38	47	158	57	44	31	20	22	22	13	39	20	32	28	0	21	10	21	63	52	100	11	26	24	35	17	35					
8	Число бюллетеней в стационарных ящиках для голосования	31779	1889	1067	681	397	630	620	983	1039	214	1315	359	135	175	1521	643	541	817	1005	1245	738	1093	1336	802	1316	818	961	644	965	524	732	161	149	515	124	198	803	272	437	124	148	175	420	1599	1449					
9	Число недействительных избирательных бюллетеней	197	11	12	13	6	1	5	8	8	0	2	6	0	4	6	9	5	6	4	3	1	2	18	1	9	1	5	3	4	2	6	0	0	2	0	1	9	1	0	0	3	1	3	13	3					
10	Число действительных избирательных бюллетеней	33667	2061	1155	716	414	671	762	1067	1138	298	1341	397	160	188	1551	682	557	865	1039	1289	895	1148	1362	832	1327	839	978	654	1000	542	758	189	149	534	134	218	857	323	537	135	171	198	452	1603	1481					
