Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Целинная																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782					
1	"Число избирателей, внесенных в список"	14979	2018	1082	1469	546	379	932	100	1278	866	542	136	946	872	140	435	774	178	571	509	239	204	763					
2	Число полученных избирательных бюллетеней	14950	2000	1020	1500	550	380	900	100	1280	860	530	140	960	880	140	430	770	180	570	520	240	200	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10126	1267	711	919	398	293	627	78	935	563	399	97	533	573	126	328	499	122	405	366	148	162	577					
5	"Число избирательных бюллетеней, выданных вне помещения"	820	114	65	64	41	19	29	13	75	69	23	9	33	39	8	19	23	11	35	30	36	7	58					
6	Число погашенных избирательных бюллетеней	4004	619	244	517	111	68	244	9	270	228	108	34	394	268	6	83	248	47	130	124	56	31	165					
7	Число избирательных бюллетеней в переносных ящиках	820	114	65	64	41	19	29	13	75	69	23	9	33	39	8	19	23	11	35	30	36	7	58					
8	Число бюллетеней в стационарных ящиках для голосования	10121	1267	711	919	398	293	627	78	935	563	399	97	530	573	126	328	499	122	405	366	148	162	575					
9	Число недействительных избирательных бюллетеней	148	14	9	11	5	1	8	0	16	2	8	1	14	20	0	5	7	11	2	2	2	3	7					
10	Число действительных избирательных бюллетеней	10793	1367	767	972	434	311	648	91	994	630	414	105	549	592	134	342	515	122	438	394	182	166	626					
11	Число полученных открепительных  удостоверений	198	35	16	23	6	6	10	4	12	8	6	4	10	8	4	6	8	4	6	6	4	8	4					
12	Число выданных открепительных удостоверений	31	13	2	1	1	1	0	0	2	0	4	0	2	1	0	2	0	0	0	0	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	4	1	1	2	0	0	0	4	0	1	0	3	2	1	1	0	0	0	2	2	0	1					
14	Число неиспользованных открепительных удостоверений	167	22	14	22	5	5	10	4	10	8	2	4	8	7	4	4	8	4	6	6	4	7	3					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	409	70	40	46	8	16	17	3	25	26	10	3	10	16	6	7	22	2	17	18	6	5	36					
		3.74%	5.07%	5.15%	4.68%	1.82%	5.13%	2.59%	3.30%	2.48%	4.11%	2.37%	2.83%	1.78%	2.61%	4.48%	2.02%	4.21%	1.50%	3.86%	4.55%	3.26%	2.96%	5.69%					
19	. Малышкин Олег Александрович	358	38	36	31	12	18	18	8	35	25	14	2	19	16	1	8	16	5	13	10	6	7	20					
		3.27%	2.75%	4.64%	3.15%	2.73%	5.77%	2.74%	8.79%	3.47%	3.96%	3.32%	1.89%	3.37%	2.61%	0.75%	2.31%	3.07%	3.76%	2.95%	2.53%	3.26%	4.14%	3.16%					
20	. Миронов Сергей Михайлович	87	10	0	7	1	5	7	2	10	7	0	1	2	7	1	3	6	2	2	3	2	6	3					
		0.80%	0.72%	0.00%	0.71%	0.23%	1.60%	1.07%	2.20%	0.99%	1.11%	0.00%	0.94%	0.36%	1.14%	0.75%	0.86%	1.15%	1.50%	0.45%	0.76%	1.09%	3.55%	0.47%					
21	. Путин Владимир Владимирович	6952	930	506	636	333	180	475	62	659	346	302	82	355	342	56	162	338	79	278	241	118	126	346					
		63.54%	67.34%	65.21%	64.70%	75.85%	57.69%	72.41%	68.13%	65.25%	54.75%	71.56%	77.36%	63.06%	55.88%	41.79%	46.69%	64.75%	59.40%	63.18%	60.86%	64.13%	74.56%	54.66%					
22	. Хакамада Ирина Муцуовна	177	22	6	25	7	4	8	2	17	13	8	2	7	12	2	7	12	1	5	5	1	1	10					
		1.62%	1.59%	0.77%	2.54%	1.59%	1.28%	1.22%	2.20%	1.68%	2.06%	1.90%	1.89%	1.24%	1.96%	1.49%	2.02%	2.30%	0.75%	1.14%	1.26%	0.54%	0.59%	1.58%					
23	. Харитонов Николай Михайлович	2685	271	169	218	66	85	115	12	228	207	75	13	154	198	68	153	117	32	121	114	47	19	203					
		24.54%	19.62%	21.78%	22.18%	15.03%	27.24%	17.53%	13.19%	22.57%	32.75%	17.77%	12.26%	27.35%	32.35%	50.75%	44.09%	22.41%	24.06%	27.50%	28.79%	25.54%	11.24%	32.07%					
																													
24	Против всех	125	26	10	9	7	3	8	2	20	6	5	2	2	1	0	2	4	1	2	3	2	2	8					
		1.14%	1.88%	1.29%	0.92%	1.59%	0.96%	1.22%	2.20%	1.98%	0.95%	1.18%	1.89%	0.36%	0.16%	0.00%	0.58%	0.77%	0.75%	0.45%	0.76%	1.09%	1.18%	1.26%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
