Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Чеховская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014					
1	"Число избирателей, внесенных в список"	90721	2341	790	2022	1386	1254	1833	2125	2600	1973	1421	2406	1800	2869	2621	2565	2537	2619	2488	1365	2764	1887	770	1775	1864	1990	2229	2269	975	118	1597	941	2014	1719	1997	668	2278	1114	2060	2108	605	290	142	519	1185	733	1830	1877	936	2473	2705	2626	2648					
2	Число полученных избирательных бюллетеней	85540	2250	700	1800	1250	1200	1700	2000	2600	1800	1300	2200	1700	2600	2400	2300	2300	2500	2500	1400	2500	1800	700	1800	1700	1800	2100	2200	900	110	1500	900	1850	1600	1900	700	2050	1100	1900	1900	550	280	150	500	1100	700	1900	2000	850	2500	2500	2500	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	69181	1737	544	1655	1109	1078	1447	1651	1830	1522	1134	1871	1443	2242	2056	1934	2043	2043	1955	1044	2131	1439	480	1437	1461	920	1867	1631	655	70	1215	591	1598	1337	1214	447	1764	806	1597	1667	367	166	40	355	890	654	1446	1506	619	2045	2208	2118	2102					
5	"Число избирательных бюллетеней, выданных вне помещения"	4589	143	95	4	0	27	20	62	251	56	9	58	21	61	56	118	44	60	42	54	157	86	108	36	46	680	31	182	141	34	181	53	46	34	404	88	81	90	100	82	142	95	94	60	108	0	36	48	4	23	109	17	12					
6	Число погашенных избирательных бюллетеней	11770	370	61	141	141	95	233	287	519	222	157	271	236	297	288	248	213	397	503	302	212	275	112	327	193	200	202	387	104	6	104	256	206	229	282	165	205	204	203	151	41	19	16	85	102	46	418	446	227	432	183	365	386					
7	Число избирательных бюллетеней в переносных ящиках	4589	143	95	4	0	27	20	62	251	56	9	58	21	61	56	118	44	60	42	54	157	86	108	36	46	680	31	182	141	34	181	53	46	34	404	88	81	90	100	82	142	95	94	60	108	0	36	48	4	23	109	17	12					
8	Число бюллетеней в стационарных ящиках для голосования	69138	1728	544	1655	1109	1051	1447	1651	1830	1521	1134	1871	1443	2242	2056	1934	2043	2043	1953	1044	2128	1438	480	1437	1461	920	1867	1631	655	70	1215	591	1598	1337	1214	447	1764	806	1597	1667	367	166	40	355	890	654	1446	1506	619	2045	2208	2118	2102					
9	Число недействительных избирательных бюллетеней	994	153	0	10	7	7	7	15	57	14	7	11	48	128	30	12	7	10	18	7	12	3	8	18	15	8	8	12	8	2	5	8	26	21	4	1	11	7	11	9	5	4	0	3	12	5	163	11	10	17	10	9	0					
10	Число действительных избирательных бюллетеней	72733	1718	639	1649	1102	1071	1460	1698	2024	1563	1136	1918	1416	2175	2082	2040	2080	2093	1977	1091	2273	1521	580	1455	1492	1592	1890	1801	788	102	1391	636	1618	1350	1614	534	1834	889	1686	1740	504	257	134	412	986	649	1319	1543	613	2051	2307	2126	2114					
11	Число полученных открепительных  удостоверений	2930	75	20	45	35	40	55	65	80	60	40	75	54	90	80	75	75	75	75	45	85	60	25	55	55	60	65	70	31	35	50	30	60	50	60	20	70	35	65	65	20	10	5	15	35	20	70	50	25	220	85	80	90					
12	Число выданных открепительных удостоверений	1128	19	1	10	29	10	18	9	24	17	22	17	8	21	27	15	16	37	41	12	27	11	10	26	12	15	18	14	13	1	7	5	12	18	28	13	17	10	20	3	8	5	1	0	21	5	62	27	17	196	57	45	51					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	685	17	7	2	5	10	12	9	8	3	8	11	13	7	11	17	24	21	3	20	19	17	14	14	28	20	37	13	6	7	5	20	16	10	29	7	9	12	17	22	7	8	6	8	20	5	10	7	22	23	11	12	16					
14	Число неиспользованных открепительных удостоверений	1802	56	19	35	6	30	37	56	56	43	18	58	46	69	53	60	59	38	34	33	58	49	15	29	43	45	47	56	18	34	43	25	48	32	32	7	53	25	45	62	12	5	4	15	14	15	8	23	8	24	28	35	39					
15	"Число открепительных удостоверений, выданных в ТИК"	6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	. Глазьев Сергей Юрьевич	3169	83	16	53	32	22	58	66	65	158	49	58	75	24	99	78	191	163	156	61	132	72	42	76	40	42	65	87	24	1	35	34	111	63	57	24	92	25	57	62	16	13	2	9	16	12	53	31	33	82	70	112	72					
		4.30%	4.44%	2.50%	3.19%	2.89%	2.04%	3.95%	3.85%	3.12%	10.02%	4.29%	3.01%	5.12%	1.04%	4.69%	3.80%	9.15%	7.75%	7.82%	5.56%	5.78%	4.72%	7.14%	5.16%	2.65%	2.62%	3.42%	4.80%	3.02%	0.96%	2.51%	5.28%	6.75%	4.60%	3.52%	4.49%	4.99%	2.79%	3.36%	3.54%	3.14%	4.98%	1.49%	2.17%	1.60%	1.83%	3.58%	1.99%	5.30%	3.97%	3.02%	5.25%	3.41%					
19	. Малышкин Олег Александрович	1117	19	8	24	18	16	19	25	26	34	8	19	18	18	22	36	78	21	34	31	43	12	12	12	11	20	18	26	15	4	28	11	23	36	38	8	17	15	24	27	14	3	4	6	16	9	25	46	13	38	27	26	16					
