Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    район Проспект Вернадского																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №3186					
1	"Число избирателей, внесенных в список"	37974	1616	2099	1800	1918	1893	1868	2107	1719	1013	2456	2203	2565	2227	1841	2481	1495	2280	1967	1867	559					
2	Число полученных избирательных бюллетеней	35200	1500	2000	1650	1750	1750	1700	2200	1550	950	2250	2000	2300	2000	1700	2300	1400	2100	1800	1700	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20969	943	1250	1035	1046	1043	982	1131	957	565	1260	1159	1411	1071	1036	1283	751	1245	1123	1119	559					
5	"Число избирательных бюллетеней, выданных вне помещения"	875	27	22	22	58	33	51	40	38	0	68	79	78	68	29	73	58	70	52	9	0					
6	Число погашенных избирательных бюллетеней	13356	530	728	593	646	674	667	1029	555	385	922	762	811	861	635	944	591	785	625	572	41					
7	Число избирательных бюллетеней в переносных ящиках	875	27	22	22	58	33	51	40	38	0	68	79	78	68	29	73	58	70	52	9	0					
8	Число бюллетеней в стационарных ящиках для голосования	20826	940	1249	1022	1046	1028	982	1124	919	559	1251	1152	1397	1062	1034	1277	746	1243	1123	1118	554					
9	Число недействительных избирательных бюллетеней	167	6	6	7	10	10	10	7	6	3	9	6	12	9	5	18	11	12	13	5	2					
10	Число действительных избирательных бюллетеней	21534	961	1265	1037	1094	1051	1023	1157	951	556	1310	1225	1463	1121	1058	1332	793	1301	1162	1122	552					
11	Число полученных открепительных  удостоверений	970	50	50	50	50	50	50	50	50	50	50	50	70	50	50	50	50	50	50	50	0					
12	Число выданных открепительных удостоверений	538	15	23	28	30	36	24	32	28	11	38	36	56	32	22	27	20	31	22	27	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	569	8	37	29	46	35	18	50	46	33	26	18	36	14	26	21	22	22	44	19	19					
14	Число неиспользованных открепительных удостоверений	432	35	27	22	20	14	26	18	22	39	12	14	14	18	28	23	30	19	28	23	0					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	3	2	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	1498	83	73	60	80	73	47	74	73	27	82	88	105	91	69	86	45	117	105	91	29					
		6.90%	8.58%	5.74%	5.75%	7.25%	6.88%	4.55%	6.36%	7.63%	4.83%	6.22%	7.15%	7.12%	8.05%	6.49%	6.37%	5.60%	8.91%	8.94%	8.07%	5.23%					
19	. Малышкин Олег Александрович	186	12	10	7	7	9	7	16	5	2	6	9	19	8	15	12	4	16	10	10	2					
		0.86%	1.24%	0.79%	0.67%	0.63%	0.85%	0.68%	1.37%	0.52%	0.36%	0.45%	0.73%	1.29%	0.71%	1.41%	0.89%	0.50%	1.22%	0.85%	0.89%	0.36%					
20	. Миронов Сергей Михайлович	116	5	7	3	7	5	5	6	5	5	4	5	4	8	15	10	2	13	4	2	1					
		0.53%	0.52%	0.55%	0.29%	0.63%	0.47%	0.48%	0.52%	0.52%	0.89%	0.30%	0.41%	0.27%	0.71%	1.41%	0.74%	0.25%	0.99%	0.34%	0.18%	0.18%					
21	. Путин Владимир Владимирович	13799	614	828	710	742	667	700	738	629	305	840	776	871	729	697	922	526	829	599	681	396					
		63.59%	63.50%	65.15%	68.01%	67.21%	62.87%	67.76%	63.40%	65.73%	54.56%	63.68%	63.04%	59.05%	64.51%	65.57%	68.30%	65.42%	63.14%	50.98%	60.43%	71.48%					
22	. Хакамада Ирина Муцуовна	2342	81	106	120	105	127	86	134	90	109	155	155	189	114	88	109	87	127	160	153	47					
		10.79%	8.38%	8.34%	11.49%	9.51%	11.97%	8.33%	11.51%	9.40%	19.50%	11.75%	12.59%	12.81%	10.09%	8.28%	8.07%	10.82%	9.67%	13.62%	13.58%	8.48%					
23	. Харитонов Николай Михайлович	1926	100	128	68	81	82	90	111	83	20	125	112	133	95	100	100	70	108	206	77	37					
		8.88%	10.34%	10.07%	6.51%	7.34%	7.73%	8.71%	9.54%	8.67%	3.58%	9.48%	9.10%	9.02%	8.41%	9.41%	7.41%	8.71%	8.23%	17.53%	6.83%	6.68%					
																											
24	Против всех	1667	66	113	69	72	88	88	78	66	88	98	80	142	76	74	93	59	91	78	108	40					
		7.68%	6.83%	8.89%	6.61%	6.52%	8.29%	8.52%	6.70%	6.90%	15.74%	7.43%	6.50%	9.63%	6.73%	6.96%	6.89%	7.34%	6.93%	6.64%	9.58%	7.22%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
