Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Пролетарская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  699	УИК  700	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724					
1	"Число избирателей, внесенных в список"	25514	2730	1639	1541	1809	2105	1806	1534	2240	875	404	1315	178	137	1238	157	385	625	115	439	226	925	580	351	1260	768	132					
2	Число полученных избирательных бюллетеней	23297	2370	1490	1390	1660	1840	1620	1350	1980	790	365	1260	177	146	1200	164	375	620	120	430	220	850	540	340	1180	690	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18309	1851	1131	830	1196	1499	1226	923	1459	740	348	1095	137	124	925	119	263	576	107	381	189	738	433	263	1012	635	109					
5	"Число избирательных бюллетеней, выданных вне помещения"	1912	157	113	122	54	126	129	63	258	50	15	113	28	3	105	14	70	25	7	33	25	107	48	36	150	47	14					
6	Число погашенных избирательных бюллетеней	3076	362	246	438	410	215	265	364	263	0	2	52	12	19	170	31	42	19	6	16	6	5	59	41	18	8	7					
7	Число избирательных бюллетеней в переносных ящиках	1912	157	113	122	54	126	129	63	258	50	15	113	28	3	105	14	70	25	7	33	25	107	48	36	150	47	14					
8	Число бюллетеней в стационарных ящиках для голосования	18308	1851	1131	830	1196	1499	1226	922	1459	740	348	1095	137	124	925	119	263	576	107	381	189	738	433	263	1012	635	109					
9	Число недействительных избирательных бюллетеней	161	9	11	4	8	14	6	5	13	12	3	22	4	4	12	2	1	1	0	3	2	7	3	0	14	0	1					
10	Число действительных избирательных бюллетеней	20059	1999	1233	948	1242	1611	1349	980	1704	778	360	1186	161	123	1018	131	332	600	114	411	212	838	478	299	1148	682	122					
11	Число полученных открепительных  удостоверений	497	22	20	20	30	20	15	15	25	15	15	25	15	15	65	5	15	15	5	34	6	25	15	5	40	10	5					
12	Число выданных открепительных удостоверений	385	14	14	9	30	20	15	4	25	5	1	25	0	0	65	3	15	15	0	34	1	25	15	5	40	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	12	3	10	9	16	10	8	1	2	1	0	1	1	5	5	1	0	1	6	2	1	0	1	2	3	1					
14	Число неиспользованных открепительных удостоверений	112	8	6	11	0	0	0	11	0	10	14	0	15	15	0	2	0	0	5	0	5	0	0	0	0	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	448	75	2	38	45	65	15	28	24	26	7	23	1	3	5	3	8	13	3	2	2	14	20	4	10	7	5					
		2.22%	3.74%	0.16%	3.99%	3.60%	4.00%	1.11%	2.84%	1.40%	3.29%	1.93%	1.90%	0.61%	2.36%	0.49%	2.26%	2.40%	2.16%	2.63%	0.48%	0.93%	1.66%	4.16%	1.34%	0.86%	1.03%	4.07%					
19	. Малышкин Олег Александрович	498	63	10	26	46	47	10	35	26	25	11	40	3	5	16	4	4	13	3	14	4	46	16	17	7	5	2					
		2.46%	3.14%	0.80%	2.73%	3.68%	2.89%	0.74%	3.55%	1.51%	3.16%	3.03%	3.31%	1.82%	3.94%	1.55%	3.01%	1.20%	2.16%	2.63%	3.38%	1.87%	5.44%	3.33%	5.69%	0.60%	0.73%	1.63%					
20	. Миронов Сергей Михайлович	122	8	7	0	5	9	6	8	10	4	5	9	1	2	10	0	6	4	0	2	5	5	4	4	6	2	0					
		0.60%	0.40%	0.56%	0.00%	0.40%	0.55%	0.44%	0.81%	0.58%	0.51%	1.38%	0.75%	0.61%	1.57%	0.97%	0.00%	1.80%	0.67%	0.00%	0.48%	2.34%	0.59%	0.83%	1.34%	0.52%	0.29%	0.00%					
21	. Путин Владимир Владимирович	13826	1315	815	685	799	1067	938	625	1353	562	256	633	127	82	790	65	223	428	72	317	139	544	266	175	949	520	81					
		68.38%	65.49%	65.51%	71.95%	63.92%	65.66%	69.23%	63.45%	78.80%	71.14%	70.52%	52.40%	76.97%	64.57%	76.70%	48.87%	66.97%	71.21%	63.16%	76.57%	64.95%	64.38%	55.30%	58.53%	81.67%	76.25%	65.85%					
22	. Хакамада Ирина Муцуовна	375	48	11	26	30	47	9	26	22	8	5	19	1	2	15	1	5	11	12	7	9	21	7	14	6	9	4					
		1.85%	2.39%	0.88%	2.73%	2.40%	2.89%	0.66%	2.64%	1.28%	1.01%	1.38%	1.57%	0.61%	1.57%	1.46%	0.75%	1.50%	1.83%	10.53%	1.69%	4.21%	2.49%	1.46%	4.68%	0.52%	1.32%	3.25%					
23	. Харитонов Николай Михайлович	4247	439	364	141	279	318	347	220	222	141	68	435	28	27	161	49	81	125	18	52	46	180	146	69	149	116	26					
		21.00%	21.86%	29.26%	14.81%	22.32%	19.57%	25.61%	22.34%	12.93%	17.85%	18.73%	36.01%	16.97%	21.26%	15.63%	36.84%	24.32%	20.80%	15.79%	12.56%	21.50%	21.30%	30.35%	23.08%	12.82%	17.01%	21.14%					
																																	
24	Против всех	543	51	24	32	38	58	24	38	47	12	8	27	0	2	21	9	5	6	6	17	7	28	19	16	21	23	4					
		2.69%	2.54%	1.93%	3.36%	3.04%	3.57%	1.77%	3.86%	2.74%	1.52%	2.20%	2.24%	0.00%	1.57%	2.04%	6.77%	1.50%	1.00%	5.26%	4.11%	3.27%	3.31%	3.95%	5.35%	1.81%	3.37%	3.25%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
