Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Джейрахская														
														
Итоги голосования 														
														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7					
1	"Число избирателей, внесенных в список"	2013	776	92	87	193	234	210	421					
2	Число полученных избирательных бюллетеней	2088	796	95	87	207	236	217	450					
3	"Число избирательных бюллетеней, выданных  досрочно"	109	0	0	0	0	0	0	109					
4	"Число избирательных бюллетеней, выданных в день голосования"	1734	718	92	82	150	174	206	312					
5	"Число избирательных бюллетеней, выданных вне помещения"	137	34	0	0	43	60	0	0					
6	Число погашенных избирательных бюллетеней	108	44	3	5	14	2	11	29					
7	Число избирательных бюллетеней в переносных ящиках	246	34	0	0	43	60	0	109					
8	Число бюллетеней в стационарных ящиках для голосования	1734	718	92	82	150	174	206	312					
9	Число недействительных избирательных бюллетеней	6	0	0	0	0	0	6	0					
10	Число действительных избирательных бюллетеней	1974	752	92	82	193	234	200	421					
11	Число полученных открепительных  удостоверений	200	50	20	20	25	25	30	30					
12	Число выданных открепительных удостоверений	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	200	50	20	20	25	25	30	30					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	6	0	0	3	2	0	1	0					
		0.30%	0.00%	0.00%	3.66%	1.04%	0.00%	0.49%	0.00%					
19	. Малышкин Олег Александрович	3	0	0	0	2	0	1	0					
		0.15%	0.00%	0.00%	0.00%	1.04%	0.00%	0.49%	0.00%					
20	. Миронов Сергей Михайлович	20	7	0	1	6	0	6	0					
		1.01%	0.93%	0.00%	1.22%	3.11%	0.00%	2.91%	0.00%					
21	. Путин Владимир Владимирович	1933	742	92	77	177	234	190	421					
		97.63%	98.67%	100.00%	93.90%	91.71%	100.00%	92.23%	100.00%					
22	. Хакамада Ирина Муцуовна	3	0	0	0	1	0	2	0					
		0.15%	0.00%	0.00%	0.00%	0.52%	0.00%	0.97%	0.00%					
23	. Харитонов Николай Михайлович	5	2	0	0	3	0	0	0					
		0.25%	0.27%	0.00%	0.00%	1.55%	0.00%	0.00%	0.00%					
														
24	Против всех	4	1	0	1	2	0	0	0					
		0.20%	0.13%	0.00%	1.22%	1.04%	0.00%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
