Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Советский территориальный округ г. Томска																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36					
1	"Число избирателей, внесенных в список"	77146	2521	2608	2782	2052	1663	2069	860	2602	2325	2421	2815	1585	1802	2867	2426	2083	1070	1978	767	1187	1749	2095	2272	2706	2773	2776	2681	1454	2117	2200	2489	2648	2352	1713	2061	2577					
2	Число полученных избирательных бюллетеней	71000	2400	2400	2500	1900	1500	1900	800	2400	2200	2300	2600	1500	1700	2600	2300	1900	1000	1800	650	1100	1650	1900	2100	2500	2500	2500	2400	1300	1900	2100	2300	2500	2100	1500	1900	2400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44912	1490	1737	1566	1317	991	1034	327	1540	1223	1372	1601	805	977	1800	1480	1351	508	1225	641	679	1132	1287	1286	1684	1616	1699	1660	618	1141	1327	1400	1651	1196	983	1018	1550					
5	"Число избирательных бюллетеней, выданных вне помещения"	1284	10	38	25	35	27	52	69	21	18	41	52	37	30	43	57	21	22	19	0	19	25	10	17	47	33	25	122	38	44	36	28	39	76	37	48	23					
6	Число погашенных избирательных бюллетеней	24804	900	625	909	548	482	814	404	839	959	887	947	658	693	757	763	528	470	556	9	402	493	603	797	769	851	776	618	644	715	737	872	810	828	480	834	827					
7	Число избирательных бюллетеней в переносных ящиках	1284	10	38	25	35	27	52	69	21	18	41	52	37	30	43	57	21	22	19	0	19	25	10	17	47	33	25	122	38	44	36	28	39	76	37	48	23					
8	Число бюллетеней в стационарных ящиках для голосования	44872	1485	1731	1566	1317	991	1034	327	1540	1223	1370	1597	803	977	1798	1479	1349	508	1223	640	679	1132	1284	1285	1684	1616	1699	1657	618	1137	1327	1400	1651	1195	982	1018	1550					
9	Число недействительных избирательных бюллетеней	221	6	5	6	4	4	10	2	7	4	7	6	9	7	7	9	7	7	6	0	4	4	1	12	5	9	9	9	1	11	5	6	9	5	2	11	5					
10	Число действительных избирательных бюллетеней	45935	1489	1764	1585	1348	1014	1076	394	1554	1237	1404	1643	831	1000	1834	1527	1363	523	1236	640	694	1153	1293	1290	1726	1640	1715	1770	655	1170	1358	1422	1681	1266	1017	1055	1568					
11	Число полученных открепительных  удостоверений	1800	50	50	50	50	50	50	40	50	50	50	50	50	50	50	50	50	50	50	60	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	546	24	17	15	15	7	11	6	17	16	12	16	10	9	38	17	6	6	24	16	3	14	15	15	21	18	14	22	8	10	15	17	27	26	6	12	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	470	11	11	12	12	16	11	11	20	11	7	15	2	15	20	14	9	24	9	4	13	9	7	12	13	30	20	7	6	16	10	27	10	14	22	6	14					
14	Число неиспользованных открепительных удостоверений	1254	26	33	35	35	43	39	34	33	34	38	34	40	41	12	33	44	44	26	44	47	36	35	35	29	32	36	28	42	40	35	33	23	24	44	38	29					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	2307	129	121	55	61	62	52	13	93	49	65	75	40	33	86	85	100	22	85	8	36	29	72	50	101	98	100	96	22	60	82	65	50	59	54	28	71					
		5.00%	8.63%	6.84%	3.46%	4.51%	6.09%	4.79%	3.28%	5.96%	3.95%	4.61%	4.55%	4.76%	3.28%	4.67%	5.53%	7.30%	4.15%	6.84%	1.25%	5.16%	2.51%	5.56%	3.84%	5.83%	5.94%	5.80%	5.40%	3.35%	5.08%	6.02%	4.55%	2.96%	4.64%	5.30%	2.63%	4.51%					
19	. Малышкин Олег Александрович	677	15	16	24	15	12	20	9	27	20	26	22	14	15	31	21	16	14	14	4	15	20	16	31	29	20	24	29	11	21	14	19	23	11	13	19	27					
		1.47%	1.00%	0.90%	1.51%	1.11%	1.18%	1.84%	2.27%	1.73%	1.61%	1.84%	1.33%	1.67%	1.49%	1.68%	1.37%	1.17%	2.64%	1.13%	0.62%	2.15%	1.73%	1.24%	2.38%	1.68%	1.21%	1.39%	1.63%	1.68%	1.78%	1.03%	1.33%	1.36%	0.87%	1.28%	1.78%	1.72%					
20	. Миронов Сергей Михайлович	557	26	33	27	17	8	11	6	17	18	12	19	8	12	27	18	11	4	14	3	3	12	12	8	26	26	12	22	7	28	15	18	22	13	9	9	24					
		1.21%	1.74%	1.87%	1.70%	1.26%	0.79%	1.01%	1.52%	1.09%	1.45%	0.85%	1.15%	0.95%	1.19%	1.47%	1.17%	0.80%	0.75%	1.13%	0.47%	0.43%	1.04%	0.93%	0.61%	1.50%	1.58%	0.70%	1.24%	1.07%	2.37%	1.10%	1.26%	1.30%	1.02%	0.88%	0.84%	1.53%					
21	. Путин Владимир Владимирович	30408	876	1033	1066	881	639	729	265	1046	893	956	1103	559	649	1229	988	852	358	788	520	467	828	844	899	1128	1062	1149	1132	472	766	878	930	1181	781	641	765	1055					
		65.88%	58.60%	58.39%	67.00%	65.16%	62.77%	67.13%	66.92%	67.01%	71.96%	67.75%	66.89%	66.55%	64.45%	66.76%	64.32%	62.19%	67.55%	63.45%	81.25%	66.91%	71.56%	65.22%	69.05%	65.16%	64.40%	66.65%	63.63%	71.95%	64.86%	64.42%	65.13%	69.88%	61.45%	62.90%	71.76%	67.07%					
22	. Хакамада Ирина Муцуовна	4632	238	277	149	110	97	89	29	135	134	115	181	73	73	156	134	136	47	108	48	62	93	163	96	166	180	164	176	48	105	138	155	178	167	122	91	199					
		10.04%	15.92%	15.66%	9.37%	8.14%	9.53%	8.20%	7.32%	8.65%	10.80%	8.15%	10.98%	8.69%	7.25%	8.47%	8.72%	9.93%	8.87%	8.70%	7.50%	8.88%	8.04%	12.60%	7.37%	9.59%	10.92%	9.51%	9.89%	7.32%	8.89%	10.12%	10.85%	10.53%	13.14%	11.97%	8.54%	12.65%					
23	. Харитонов Николай Михайлович	4972	97	155	175	216	150	129	58	164	70	161	181	107	168	209	205	159	58	162	14	85	115	109	145	194	173	178	209	68	134	157	149	137	156	127	97	101					
		10.77%	6.49%	8.76%	11.00%	15.98%	14.73%	11.88%	14.65%	10.51%	5.64%	11.41%	10.98%	12.74%	16.68%	11.35%	13.35%	11.61%	10.94%	13.04%	2.19%	12.18%	9.94%	8.42%	11.14%	11.21%	10.49%	10.32%	11.75%	10.37%	11.35%	11.52%	10.43%	8.11%	12.27%	12.46%	9.10%	6.42%					
																																											
24	Против всех	2382	108	129	89	48	46	46	14	72	53	69	62	30	50	96	76	89	20	65	43	26	56	77	61	82	81	88	106	27	56	74	86	90	79	51	46	91					
		5.16%	7.22%	7.29%	5.59%	3.55%	4.52%	4.24%	3.54%	4.61%	4.27%	4.89%	3.76%	3.57%	4.97%	5.21%	4.95%	6.50%	3.77%	5.23%	6.72%	3.72%	4.84%	5.95%	4.69%	4.74%	4.91%	5.10%	5.96%	4.12%	4.74%	5.43%	6.02%	5.33%	6.22%	5.00%	4.32%	5.79%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
