Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Семикаракорская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №1232	УИК №2567					
1	"Число избирателей, внесенных в список"	40818	360	1903	2299	1878	2220	2512	2176	2083	603	1493	150	164	1491	1182	1270	1797	509	615	518	1706	665	1068	840	660	1086	382	449	385	774	824	766	760	366	1389	320	250	714	1613	578					
2	Число полученных избирательных бюллетеней	36733	321	1658	1911	1682	1960	2309	2021	1859	532	1320	145	159	1355	1028	1145	1596	457	558	473	1544	596	953	762	665	985	344	410	347	725	753	700	735	323	1270	285	234	647	1410	556					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28754	278	1042	1499	1336	1587	1534	1525	1226	375	1004	113	101	1105	961	885	1434	438	506	429	1175	491	777	728	541	900	308	267	335	540	627	576	505	268	903	220	164	535	1048	468					
5	"Число избирательных бюллетеней, выданных вне помещения"	3201	10	85	117	72	135	204	107	71	43	248	25	46	169	53	129	86	9	37	21	193	34	170	34	45	66	28	119	0	79	53	33	107	23	277	43	33	76	66	55					
6	Число погашенных избирательных бюллетеней	4778	33	531	295	274	238	571	389	562	114	68	7	12	81	14	131	76	10	15	23	176	71	6	0	79	19	8	24	12	106	73	91	123	32	90	22	37	36	296	33					
7	Число избирательных бюллетеней в переносных ящиках	3201	10	85	117	72	135	204	107	71	43	248	25	46	169	53	129	86	9	37	21	193	34	170	34	45	66	28	119	0	79	53	33	107	23	277	43	33	76	66	55					
8	Число бюллетеней в стационарных ящиках для голосования	28749	278	1042	1499	1336	1587	1534	1525	1226	375	1004	113	101	1105	956	885	1434	438	506	429	1175	491	777	728	541	900	308	267	335	540	627	576	505	268	903	220	164	535	1048	468					
9	Число недействительных избирательных бюллетеней	351	3	11	13	5	7	8	27	93	2	13	0	0	6	3	10	23	7	2	7	5	9	22	3	3	5	4	3	0	3	6	12	10	3	6	2	0	2	8	5					
10	Число действительных избирательных бюллетеней	31599	285	1116	1603	1403	1715	1730	1605	1204	416	1239	138	147	1268	1006	1004	1497	440	541	443	1363	516	925	759	583	961	332	383	335	616	674	597	602	288	1174	261	197	609	1106	518					
11	Число полученных открепительных  удостоверений	998	18	40	40	40	50	50	40	40	20	20	15	15	30	20	25	25	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	50	40					
12	Число выданных открепительных удостоверений	364	7	9	12	11	23	19	23	20	11	5	1	1	12	6	3	8	8	12	13	19	6	7	20	11	10	4	5	2	18	5	8	5	5	9	1	1	8	14	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	194	3	2	8	2	11	9	8	7	4	19	2	2	4	5	1	5	6	6	3	12	3	1	1	11	9	1	0	3	3	2	2	3	1	0	1	1	2	28	3					
14	Число неиспользованных открепительных удостоверений	634	11	31	28	29	27	31	17	20	9	15	14	14	18	14	22	17	12	8	7	1	14	13	0	9	10	16	15	18	2	15	12	15	15	11	19	19	12	36	38					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	1034	19	65	59	54	46	92	66	66	32	43	4	2	44	26	21	36	15	2	9	26	5	18	15	14	16	6	4	4	17	17	13	18	10	39	6	4	27	48	26					
		3.24%	6.60%	5.77%	3.65%	3.84%	2.67%	5.29%	4.04%	5.09%	7.66%	3.43%	2.90%	1.36%	3.45%	2.58%	2.07%	2.37%	3.36%	0.37%	2.00%	1.90%	0.95%	1.90%	1.97%	2.39%	1.66%	1.79%	1.04%	1.19%	2.75%	2.50%	2.13%	2.94%	3.44%	3.31%	2.28%	2.03%	4.42%	4.31%	4.97%					
19	. Малышкин Олег Александрович	996	15	44	51	44	52	45	53	48	23	37	5	6	49	39	38	23	14	0	8	12	16	29	15	11	25	16	28	10	16	25	8	30	17	39	16	5	22	43	19					
		3.12%	5.21%	3.90%	3.16%	3.12%	3.02%	2.59%	3.25%	3.70%	5.50%	2.96%	3.62%	4.08%	3.85%	3.87%	3.75%	1.51%	3.13%	0.00%	1.78%	0.88%	3.05%	3.06%	1.97%	1.88%	2.59%	4.76%	7.25%	2.99%	2.58%	3.68%	1.31%	4.90%	5.84%	3.31%	6.08%	2.54%	3.60%	3.86%	3.63%					
