Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Крапивинская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1341	24	110	193	51	103	171	82	73	18	4	26	2	69	7	4	61	18	19	75	38	3	2	56	5	22	68	19	1	2	1	14					
		8.59%	2.20%	10.56%	18.56%	4.82%	10.64%	16.65%	7.80%	15.43%	10.78%	7.55%	11.76%	1.47%	14.02%	7.22%	1.83%	5.18%	20.00%	2.81%	18.34%	6.48%	1.27%	1.27%	9.88%	1.23%	10.43%	9.30%	7.06%	1.02%	0.33%	1.23%	8.05%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	31	0	1	7	6	0	6	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	2	0	0	3	0	0	0	0	0					
		0.20%	0.00%	0.10%	0.67%	0.57%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	819	15	58	121	15	16	219	18	8	7	1	2	2	42	1	3	17	2	30	29	8	2	3	44	6	11	54	10	1	54	11	9					
		5.25%	1.37%	5.57%	11.63%	1.42%	1.65%	21.32%	1.71%	1.69%	4.19%	1.89%	0.90%	1.47%	8.54%	1.03%	1.38%	1.44%	2.22%	4.44%	7.09%	1.37%	0.84%	1.90%	7.76%	1.48%	5.21%	7.39%	3.72%	1.02%	8.90%	13.58%	5.17%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	69	0	0	16	0	0	15	0	0	0	1	0	0	12	0	0	0	0	1	10	0	0	0	9	0	0	5	0	0	0	0	0					
		0.44%	0.00%	0.00%	1.54%	0.00%	0.00%	1.46%	0.00%	0.00%	0.00%	1.89%	0.00%	0.00%	2.44%	0.00%	0.00%	0.00%	0.00%	0.15%	2.44%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12844	1051	873	578	986	848	450	950	390	142	46	193	129	319	89	205	1096	69	621	260	540	232	153	411	393	178	547	240	87	548	69	151					
		82.28%	96.25%	83.78%	55.58%	93.19%	87.60%	43.82%	90.39%	82.45%	85.03%	86.79%	87.33%	94.85%	64.84%	91.75%	94.04%	93.12%	76.67%	92.00%	63.57%	92.15%	97.89%	96.84%	72.49%	96.80%	84.36%	74.83%	89.22%	88.78%	90.28%	85.19%	86.78%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	25	0	0	1	0	0	12	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	4	0	1	0	0	0					
		0.16%	0.00%	0.00%	0.10%	0.00%	0.00%	1.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.25%	0.00%	0.55%	0.00%	1.02%	0.00%	0.00%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
