Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Кыринская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212					
1	"Число избирателей, внесенных в список"	11709	208	710	549	214	2215	1459	343	471	689	83	831	51	309	1602	524	776	228	318	129					
2	Число полученных избирательных бюллетеней	11439	200	702	549	212	2045	1461	343	461	683	83	808	52	306	1580	521	766	221	316	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6623	85	410	298	130	1031	697	213	276	423	39	437	34	198	1050	312	510	146	247	87					
5	"Число избирательных бюллетеней, выданных вне помещения"	714	69	34	22	14	185	43	23	51	25	29	63	4	18	52	49	28	5	0	0					
6	Число погашенных избирательных бюллетеней	4102	46	258	229	68	829	721	107	134	235	15	308	14	90	478	160	228	70	69	43					
7	Число избирательных бюллетеней в переносных ящиках	713	69	34	22	14	185	43	23	51	25	29	63	4	18	52	49	27	5	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	6621	85	410	298	130	1029	697	213	276	423	39	437	34	198	1050	312	510	146	247	87					
9	Число недействительных избирательных бюллетеней	102	2	14	2	2	14	7	5	0	13	0	9	0	1	8	8	5	3	9	0					
10	Число действительных избирательных бюллетеней	7232	152	430	318	142	1200	733	231	327	435	68	491	38	215	1094	353	532	148	238	87					
11	Число полученных открепительных  удостоверений	179	3	9	7	3	22	18	5	6	9	3	10	3	4	45	7	15	3	4	3					
12	Число выданных открепительных удостоверений	75	0	1	1	0	11	10	1	1	0	0	2	0	0	32	2	13	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	1	1	0	1	4	0	1	0	1	1	0	1	0	6	1	5	1	0	0					
14	Число неиспользованных открепительных удостоверений	104	3	8	6	3	11	8	4	5	9	3	8	3	4	13	5	2	3	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	102	1	6	2	1	17	15	3	11	5	0	8	0	5	17	2	6	0	3	0					
		1.39%	0.65%	1.35%	0.62%	0.69%	1.40%	2.03%	1.27%	3.36%	1.12%	0.00%	1.60%	0.00%	2.31%	1.54%	0.55%	1.12%	0.00%	1.21%	0.00%					
19	. Малышкин Олег Александрович	194	5	9	9	3	40	13	1	11	9	12	21	2	5	20	2	20	5	7	0					
		2.65%	3.25%	2.03%	2.81%	2.08%	3.29%	1.76%	0.42%	3.36%	2.01%	17.65%	4.20%	5.26%	2.31%	1.81%	0.55%	3.72%	3.31%	2.83%	0.00%					
20	. Миронов Сергей Михайлович	44	0	0	1	0	9	3	2	2	4	4	4	1	2	3	1	1	5	1	1					
		0.60%	0.00%	0.00%	0.31%	0.00%	0.74%	0.41%	0.85%	0.61%	0.89%	5.88%	0.80%	2.63%	0.93%	0.27%	0.28%	0.19%	3.31%	0.40%	1.15%					
21	. Путин Владимир Владимирович	5151	123	266	250	128	854	534	175	153	329	41	326	25	133	861	215	387	123	159	69					
		70.23%	79.87%	59.91%	78.12%	88.89%	70.35%	72.16%	74.15%	46.79%	73.44%	60.29%	65.20%	65.79%	61.57%	78.13%	59.56%	72.07%	81.46%	64.37%	79.31%					
22	. Хакамада Ирина Муцуовна	106	6	6	2	0	15	11	10	2	10	0	6	1	2	10	8	10	1	6	0					
		1.45%	3.90%	1.35%	0.62%	0.00%	1.24%	1.49%	4.24%	0.61%	2.23%	0.00%	1.20%	2.63%	0.93%	0.91%	2.22%	1.86%	0.66%	2.43%	0.00%					
23	. Харитонов Николай Михайлович	1562	13	142	53	10	247	151	37	139	70	9	123	7	66	174	125	105	14	60	17					
		21.30%	8.44%	31.98%	16.56%	6.94%	20.35%	20.41%	15.68%	42.51%	15.62%	13.24%	24.60%	18.42%	30.56%	15.79%	34.63%	19.55%	9.27%	24.29%	19.54%					
																										
24	Против всех	73	4	1	1	0	18	6	3	9	8	2	3	2	2	9	0	3	0	2	0					
		1.00%	2.60%	0.23%	0.31%	0.00%	1.48%	0.81%	1.27%	2.75%	1.79%	2.94%	0.60%	5.26%	0.93%	0.82%	0.00%	0.56%	0.00%	0.81%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
