Выборы Президента Российской Федерации																																																																																	
Дата голосования: 18.03.2018																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Россошанская																																																																																	
																																																																																	
Сводная таблица итогов голосования																																																																																	
																																																																																	
	Число участковых избирательных комиссий	70																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	70																																																																															
																																																																																	
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
13	Бабурин Сергей Николаевич	312	7	11	10	9	7	7	8	5	10	7	5	11	3	9	4	8	8	7	10	12	6	5	5	5	10	8	6	7	1	5	1	2	4	0	10	2	2	2	0	1	3	3	5	1	1	1	3	1	0	9	0	1	1	0	9	2	1	0	0	3	11	4	1	1	3	1	4	2	0	1									
		0.73%	0.66%	0.83%	1.05%	0.86%	0.77%	0.57%	0.75%	0.44%	0.91%	0.69%	0.45%	1.04%	0.31%	0.83%	0.40%	0.83%	1.25%	0.68%	1.00%	1.27%	0.65%	0.56%	0.58%	0.59%	1.01%	0.82%	0.69%	0.83%	0.43%	1.46%	0.45%	0.31%	0.51%	0.00%	1.29%	0.48%	0.86%	0.61%	0.00%	0.21%	0.78%	1.11%	0.89%	0.56%	0.91%	0.50%	0.47%	0.33%	0.00%	0.82%	0.00%	0.83%	1.00%	0.00%	1.09%	0.94%	0.68%	0.00%	0.00%	1.55%	0.91%	0.38%	2.13%	0.25%	0.90%	0.38%	2.11%	0.51%	0.00%	0.71%									
14	Грудинин Павел Николаевич	6494	138	207	148	165	130	189	169	218	166	178	172	175	173	171	184	157	130	160	168	158	132	112	124	118	199	155	142	126	10	27	33	49	101	64	153	83	32	31	9	80	53	24	72	18	12	11	101	39	4	159	4	28	14	15	159	17	16	16	21	17	218	118	1	65	60	32	14	22	9	19									
		15.12%	13.09%	15.53%	15.48%	15.82%	14.27%	15.49%	15.85%	19.02%	15.16%	17.52%	15.36%	16.54%	18.04%	15.83%	18.47%	16.35%	20.31%	15.59%	16.82%	16.68%	14.27%	12.64%	14.45%	13.83%	20.00%	15.85%	16.40%	14.91%	4.33%	7.87%	14.73%	7.63%	12.75%	18.88%	19.69%	20.05%	13.79%	9.48%	4.95%	16.77%	13.80%	8.89%	12.81%	10.06%	10.91%	5.45%	15.91%	12.70%	8.51%	14.57%	3.64%	23.33%	14.00%	22.06%	19.34%	7.98%	10.88%	11.68%	9.68%	8.81%	18.05%	11.23%	2.13%	16.54%	17.91%	12.12%	7.37%	5.58%	4.76%	13.57%									
15	Жириновский Владимир Вольфович	3360	81	95	65	71	66	103	78	84	69	61	83	74	77	82	61	59	57	75	75	79	70	64	67	56	75	79	94	74	20	25	16	54	60	25	59	36	32	29	30	23	47	24	58	18	16	11	55	20	5	102	11	20	6	6	66	23	16	7	13	21	69	102	4	32	38	20	10	32	17	8									
		7.83%	7.69%	7.13%	6.80%	6.81%	7.24%	8.44%	7.32%	7.33%	6.30%	6.00%	7.41%	6.99%	8.03%	7.59%	6.12%	6.15%	8.91%	7.31%	7.51%	8.34%	7.57%	7.22%	7.81%	6.57%	7.54%	8.08%	10.85%	8.76%	8.66%	7.29%	7.14%	8.41%	7.58%	7.37%	7.59%	8.70%	13.79%	8.87%	16.48%	4.82%	12.24%	8.89%	10.32%	10.06%	14.55%	5.45%	8.66%	6.51%	10.64%	9.35%	10.00%	16.67%	6.00%	8.82%	8.03%	10.80%	10.88%	5.11%	5.99%	10.88%	5.71%	9.71%	8.51%	8.14%	11.34%	7.58%	5.26%	8.12%	8.99%	5.71%									
16	Путин Владимир Владимирович	31247	791	985	701	755	673	879	753	801	802	723	813	759	670	764	704	695	428	742	714	659	682	674	627	640	668	696	604	608	198	278	167	527	596	240	530	285	160	256	137	367	269	211	403	138	75	170	458	232	34	776	94	65	73	43	565	166	109	109	179	149	868	800	34	287	229	205	160	327	159	109									
		72.78%	75.05%	73.89%	73.33%	72.39%	73.87%	72.05%	70.64%	69.90%	73.24%	71.16%	72.59%	71.74%	69.86%	70.74%	70.68%	72.40%	66.88%	72.32%	71.47%	69.59%	73.73%	76.07%	73.08%	75.03%	67.14%	71.17%	69.75%	71.95%	85.71%	81.05%	74.55%	82.09%	75.25%	70.80%	68.21%	68.84%	68.97%	78.29%	75.27%	76.94%	70.05%	78.15%	71.71%	77.09%	68.18%	84.16%	72.13%	75.57%	72.34%	71.13%	85.45%	54.17%	73.00%	63.24%	68.73%	77.93%	74.15%	79.56%	82.49%	77.20%	71.85%	76.12%	72.34%	73.03%	68.36%	77.65%	84.21%	82.99%	84.13%	77.86%									
