Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Нефтекамская городская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069					
1	"Число избирателей, внесенных в список"	95971	2429	2182	2157	2034	2049	2202	2166	2223	2016	2270	1959	1929	2161	2042	2237	2265	2325	2443	2009	2211	2242	1976	249	2247	2327	2377	2232	2192	2408	2119	2459	2290	2405	2444	1887	199	329	2249	2085	2464	2395	1941	785	1987	1924	1951	2499					
2	Число полученных избирательных бюллетеней	90548	2300	2080	2040	1850	1930	2020	2050	2100	1900	2070	1960	1830	2020	1930	2130	2160	2200	2300	1900	2100	2100	1840	248	2100	2220	2260	2100	2100	2280	2080	2300	2180	2280	2300	1800	190	350	2100	2000	2250	2350	1800	700	1800	1800	1850	2300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	72505	1666	1584	1715	1404	1524	1775	1310	1585	1488	1791	1473	1272	1345	1771	1718	1832	1662	1527	1240	1791	1800	1300	196	1719	1745	2025	1762	1794	1926	1863	2293	1653	1886	1840	1584	175	313	1621	1682	1674	1553	1587	647	1686	1326	1220	2162					
5	"Число избирательных бюллетеней, выданных вне помещения"	1749	15	61	20	36	35	47	15	62	147	29	40	19	56	68	56	33	14	14	22	27	17	10	49	24	15	9	15	28	13	44	1	11	7	13	11	6	4	74	40	68	126	76	8	45	97	115	7					
6	Число погашенных избирательных бюллетеней	16293	619	435	305	410	371	198	725	453	265	250	447	539	619	91	356	295	524	759	638	282	283	530	3	357	460	226	323	278	341	173	6	516	387	447	205	9	33	404	278	508	671	137	45	69	377	515	131					
7	Число избирательных бюллетеней в переносных ящиках	1749	15	61	20	36	35	47	15	62	147	29	40	19	56	68	56	33	14	14	22	27	17	10	49	24	15	9	15	28	13	44	1	11	7	13	11	6	4	74	40	68	126	76	8	45	97	115	7					
8	Число бюллетеней в стационарных ящиках для голосования	72484	1666	1584	1715	1404	1519	1775	1308	1585	1488	1791	1473	1272	1342	1771	1718	1832	1662	1526	1240	1791	1800	1300	196	1719	1745	2016	1762	1794	1926	1863	2293	1653	1886	1840	1584	175	313	1620	1682	1674	1553	1587	647	1686	1326	1220	2162					
9	Число недействительных избирательных бюллетеней	765	3	8	8	16	3	13	17	4	17	5	15	8	3	5	11	10	7	9	15	14	18	8	1	315	7	8	17	20	8	9	4	8	15	20	5	1	1	13	10	0	2	17	0	20	25	16	6					
10	Число действительных избирательных бюллетеней	73468	1678	1637	1727	1424	1551	1809	1306	1643	1618	1815	1498	1283	1395	1834	1763	1855	1669	1531	1247	1804	1799	1302	244	1428	1753	2017	1760	1802	1931	1898	2290	1656	1878	1833	1590	180	316	1681	1712	1742	1677	1646	655	1711	1398	1319	2163					
11	Число полученных открепительных  удостоверений	2170	65	50	50	35	50	50	50	57	50	50	50	35	50	50	50	50	50	55	50	50	50	35	0	50	50	50	50	50	55	50	55	50	55	55	65	3	30	50	50	55	55	25	25	35	35	35	55					
