Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Козельская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394					
1	"Число избирателей, внесенных в список"	36246	1684	233	441	129	954	196	124	493	484	354	268	159	418	455	308	895	319	662	217	293	1051	852	1238	1150	2210	833	1822	89	2580	2839	1519	1832	1425	2364	2154	1668	1534					
2	Число полученных избирательных бюллетеней	35580	1650	240	435	130	960	205	135	500	500	400	260	160	430	475	310	910	330	670	220	300	1000	860	1200	1100	2300	800	1900	100	2500	2700	1500	1900	1500	2000	2000	1500	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	30	324	11	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19526	889	98	220	85	508	103	56	213	174	85	65	83	167	181	136	495	139	249	62	137	455	457	508	508	1096	455	950	89	1446	1594	900	1072	1004	1375	1476	1092	904					
5	"Число избирательных бюллетеней, выданных вне помещения"	2961	151	90	104	25	85	43	24	114	178	140	146	37	112	113	96	135	103	188	88	92	91	53	70	73	164	29	26	0	8	89	5	21	0	20	57	174	17					
6	Число погашенных избирательных бюллетеней	12721	610	52	111	20	367	59	55	173	148	175	49	40	151	181	78	280	88	233	70	71	454	350	622	519	1033	316	924	11	1016	693	584	807	496	605	467	234	579					
7	Число избирательных бюллетеней в переносных ящиках	3333	151	90	104	25	85	43	24	114	178	140	146	37	112	113	96	135	103	188	88	92	91	53	70	73	171	29	26	0	38	413	16	21	0	20	57	174	17					
8	Число бюллетеней в стационарных ящиках для голосования	19518	889	98	220	85	508	103	56	213	174	85	65	83	167	181	136	495	139	249	62	137	455	457	508	507	1096	455	950	89	1444	1594	898	1072	1004	1372	1476	1092	904					
9	Число недействительных избирательных бюллетеней	154	10	3	1	0	7	2	0	7	0	0	0	0	2	5	3	6	1	1	0	0	3	1	7	7	8	6	7	3	4	2	6	3	4	9	20	7	9					
10	Число действительных избирательных бюллетеней	22697	1030	185	323	110	586	144	80	320	352	225	211	120	277	289	229	624	241	436	150	229	543	509	571	573	1259	478	969	86	1478	2005	908	1090	1000	1383	1513	1259	912					
11	Число полученных открепительных  удостоверений	490	40	5	10	5	10	5	5	10	10	5	5	5	5	5	5	10	5	10	5	5	10	10	15	15	20	10	25	0	30	50	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	219	32	2	0	0	3	1	0	5	0	0	0	0	5	2	0	7	2	5	0	3	3	2	3	6	13	3	11	0	14	31	3	10	6	20	14	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	127	4	2	2	1	2	3	0	4	0	0	2	0	4	3	3	5	1	5	2	0	1	6	9	6	8	0	4	4	1	27	3	0	4	3	3	3	2					
14	Число неиспользованных открепительных удостоверений	271	8	3	10	5	7	4	5	5	10	5	5	5	0	3	5	3	3	5	5	2	7	8	12	9	7	7	14	0	16	19	17	10	14	0	6	15	12					
15	"Число открепительных удостоверений, выданных в ТИК"	16	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	796	17	0	6	0	9	1	3	4	4	2	6	2	7	4	2	10	1	9	3	3	18	6	22	19	52	23	37	2	91	69	50	62	48	97	49	21	37					
		3.48%	1.63%	0.00%	1.85%	0.00%	1.52%	0.68%	3.75%	1.22%	1.14%	0.89%	2.84%	1.67%	2.51%	1.36%	0.86%	1.59%	0.41%	2.06%	2.00%	1.31%	3.30%	1.18%	3.81%	3.28%	4.10%	4.75%	3.79%	2.25%	6.14%	3.44%	5.47%	5.67%	4.78%	6.97%	3.20%	1.66%	4.02%					
19	. Малышкин Олег Александрович	474	18	1	3	1	14	2	3	5	8	6	6	1	6	5	3	10	4	4	6	2	8	12	14	18	26	12	13	0	25	40	25	18	26	37	44	28	20					
		2.07%	1.73%	0.53%	0.93%	0.91%	2.36%	1.37%	3.75%	1.53%	2.27%	2.67%	2.84%	0.83%	2.15%	1.70%	1.29%	1.59%	1.65%	0.92%	4.00%	0.87%	1.47%	2.35%	2.42%	3.10%	2.05%	2.48%	1.33%	0.00%	1.69%	1.99%	2.74%	1.65%	2.59%	2.66%	2.87%	2.21%	2.17%					
20	. Миронов Сергей Михайлович	148	5	1	1	0	2	1	0	1	7	1	1	0	2	0	0	0	2	3	0	1	7	4	3	2	11	2	8	1	7	16	4	8	5	7	11	13	11					
		0.65%	0.48%	0.53%	0.31%	0.00%	0.34%	0.68%	0.00%	0.31%	1.99%	0.44%	0.47%	0.00%	0.72%	0.00%	0.00%	0.00%	0.83%	0.69%	0.00%	0.44%	1.28%	0.78%	0.52%	0.34%	0.87%	0.41%	0.82%	1.12%	0.47%	0.80%	0.44%	0.73%	0.50%	0.50%	0.72%	1.03%	1.19%					
21	. Путин Владимир Владимирович	16650	822	160	264	69	446	122	59	259	300	189	178	94	216	217	174	510	195	347	101	200	372	374	382	373	865	340	551	63	976	1571	641	822	712	987	1115	944	640					
		72.86%	79.04%	85.11%	81.48%	62.73%	75.21%	83.56%	73.75%	79.20%	85.23%	84.00%	84.36%	78.33%	77.42%	73.81%	75.00%	80.95%	80.58%	79.41%	67.33%	87.34%	68.13%	73.33%	66.09%	64.31%	68.27%	70.25%	56.45%	70.79%	65.86%	78.28%	70.13%	75.21%	70.92%	70.91%	72.73%	74.57%	69.49%					
