Выборы Президента Российской Федерации																																																													
																																																													
"Наименование Избирательной комиссии:    Бийск, Восточная"																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320					
1	"Число избирателей, внесенных в список"	95301	2369	2229	1856	996	1098	1914	2096	2138	1708	1562	1561	1159	2304	1158	1426	1713	2184	1863	2369	1976	2140	1250	1331	2219	1839	1930	2203	1772	2114	1785	2485	1389	1663	884	1566	1721	1175	1217	1727	1500	1518	1799	1903	1706	1707	1345	1354	2652	2793	2583	1942	1322	2488	600					
2	Число полученных избирательных бюллетеней	91560	2300	2200	1800	980	1000	1900	2100	2100	1700	1500	1500	1100	2200	1100	1400	1700	2200	1800	2300	1900	2100	1000	1300	2200	1800	1900	2100	1600	2000	1700	2400	1300	1600	800	1500	1600	1100	1200	1700	1400	1500	1700	1800	1700	1300	1200	1300	2600	2700	2500	1900	1300	2400	580					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	51306	909	1074	846	361	372	989	1250	1100	991	872	993	635	1217	499	892	1093	1417	1172	1461	1173	1348	391	787	1393	1124	759	1201	851	1167	1091	1336	895	1002	453	737	848	606	573	807	655	860	837	905	797	664	644	720	1622	1718	1473	944	668	1638	476					
5	"Число избирательных бюллетеней, выданных вне помещения"	2672	27	25	55	19	31	30	39	44	18	45	49	25	48	14	69	35	43	42	39	51	19	408	8	45	37	22	47	21	23	45	32	65	57	13	34	98	21	34	57	90	28	21	60	35	301	32	27	38	41	34	46	41	28	16					
6	Число погашенных избирательных бюллетеней	37582	1364	1101	899	600	597	881	811	956	691	583	458	440	935	587	439	572	740	586	800	676	733	201	505	762	639	1119	852	728	810	564	1032	340	541	334	729	654	473	593	836	655	612	842	835	868	335	524	553	940	941	993	910	591	734	88					
7	Число избирательных бюллетеней в переносных ящиках	2672	27	25	55	19	31	30	39	44	18	45	49	25	48	14	69	35	43	42	39	51	19	408	8	45	37	22	47	21	23	45	32	65	57	13	34	98	21	34	57	90	28	21	60	35	301	32	27	38	41	34	46	41	28	16					
8	Число бюллетеней в стационарных ящиках для голосования	51204	909	1074	846	360	372	986	1250	1100	991	872	993	635	1217	499	892	1093	1416	1172	1457	1171	1348	391	742	1359	1123	759	1198	851	1167	1091	1331	895	1002	453	736	848	606	573	807	655	860	837	905	796	664	644	720	1621	1718	1473	944	668	1638	476					
9	Число недействительных избирательных бюллетеней	570	13	20	9	10	9	11	17	10	10	7	14	8	9	9	6	9	17	5	8	11	9	54	5	6	1	15	8	4	15	3	14	13	14	6	9	4	9	4	5	7	9	11	12	8	0	8	12	7	32	12	20	9	12	1					
10	Число действительных избирательных бюллетеней	53306	923	1079	892	369	394	1005	1272	1134	999	910	1028	652	1256	504	955	1119	1442	1209	1488	1211	1358	745	745	1398	1159	766	1237	868	1175	1133	1349	947	1045	460	761	942	618	603	859	738	879	847	953	823	965	668	735	1652	1727	1495	970	700	1654	491					
11	Число полученных открепительных  удостоверений	1110	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	50	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	296	3	7	0	1	0	7	7	9	11	6	2	2	1	1	7	3	13	11	8	8	2	1	29	5	8	1	6	3	9	5	7	5	4	1	2	8	1	0	6	2	3	6	4	2	3	1	7	5	10	9	1	4	12	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	216	2	6	4	5	3	0	6	1	5	3	5	5	4	2	3	2	1	1	8	3	1	21	12	9	2	0	5	3	4	12	5	2	1	4	0	5	4	2	2	7	5	1	1	1	2	6	2	4	7	8	3	0	0	6					
14	Число неиспользованных открепительных удостоверений	814	17	13	20	19	20	13	13	11	9	14	18	18	19	19	13	17	7	9	12	12	18	19	21	15	12	19	14	17	11	15	13	15	16	19	18	12	19	20	14	18	17	14	16	18	17	19	13	15	10	11	19	16	8	3					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
