Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Чапаевская городская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	1045	52	51	30	27	33	50	29	32	41	32	24	12	58	14	32	21	28	21	19	19	23	23	9	5	4	35	26	18	36	34	29	32	19	57	58	12					
		3.73%	4.86%	4.21%	4.04%	3.89%	4.31%	5.97%	4.00%	4.23%	4.45%	4.03%	3.20%	1.74%	4.39%	1.85%	3.92%	2.96%	3.48%	4.40%	2.35%	3.17%	2.63%	3.88%	3.18%	1.46%	1.22%	4.12%	3.97%	2.60%	3.30%	3.26%	4.32%	4.09%	3.35%	4.69%	5.69%	1.61%					
19	. Малышкин Олег Александрович	686	16	34	10	7	26	20	13	18	22	24	15	17	29	17	24	17	24	11	20	14	24	12	2	11	6	31	14	22	30	17	21	19	14	33	37	15					
		2.45%	1.49%	2.81%	1.35%	1.01%	3.40%	2.39%	1.79%	2.38%	2.39%	3.02%	2.00%	2.46%	2.20%	2.25%	2.94%	2.40%	2.98%	2.31%	2.47%	2.34%	2.74%	2.02%	0.71%	3.22%	1.83%	3.65%	2.14%	3.18%	2.75%	1.63%	3.12%	2.43%	2.47%	2.71%	3.63%	2.01%					
20	. Миронов Сергей Михайлович	173	11	5	3	6	5	5	1	4	5	8	5	5	16	1	3	7	2	2	8	5	5	3	2	1	3	7	3	2	3	6	1	4	1	18	5	2					
		0.62%	1.03%	0.41%	0.40%	0.86%	0.65%	0.60%	0.14%	0.53%	0.54%	1.01%	0.67%	0.72%	1.21%	0.13%	0.37%	0.99%	0.25%	0.42%	0.99%	0.83%	0.57%	0.51%	0.71%	0.29%	0.91%	0.82%	0.46%	0.29%	0.27%	0.57%	0.15%	0.51%	0.18%	1.48%	0.49%	0.27%					
21	. Путин Владимир Владимирович	18737	700	793	513	492	502	552	462	531	617	505	516	495	890	551	569	442	560	299	554	395	567	374	202	248	252	535	428	465	704	643	439	507	428	754	653	600					
		66.90%	65.36%	65.43%	69.04%	70.89%	65.62%	65.87%	63.72%	70.15%	66.99%	63.52%	68.80%	71.64%	67.42%	72.88%	69.65%	62.34%	69.57%	62.68%	68.48%	65.94%	64.80%	63.07%	71.38%	72.51%	76.83%	63.02%	65.34%	67.29%	64.47%	61.59%	65.33%	64.75%	75.49%	62.01%	64.08%	80.43%					
22	. Хакамада Ирина Муцуовна	765	28	26	20	29	25	28	26	10	15	20	15	11	23	32	29	16	26	11	14	10	17	20	6	2	3	29	25	22	37	26	22	18	28	35	39	22					
		2.73%	2.61%	2.15%	2.69%	4.18%	3.27%	3.34%	3.59%	1.32%	1.63%	2.52%	2.00%	1.59%	1.74%	4.23%	3.55%	2.26%	3.23%	2.31%	1.73%	1.67%	1.94%	3.37%	2.12%	0.58%	0.91%	3.42%	3.82%	3.18%	3.39%	2.49%	3.27%	2.30%	4.94%	2.88%	3.83%	2.95%					
23	. Харитонов Николай Михайлович	5259	203	258	138	108	123	148	155	123	166	156	143	121	245	96	116	179	138	105	167	135	206	129	51	62	51	166	126	124	239	255	124	173	62	244	167	57					
		18.78%	18.95%	21.29%	18.57%	15.56%	16.08%	17.66%	21.38%	16.25%	18.02%	19.62%	19.07%	17.51%	18.56%	12.70%	14.20%	25.25%	17.14%	22.01%	20.64%	22.54%	23.54%	21.75%	18.02%	18.13%	15.55%	19.55%	19.24%	17.95%	21.89%	24.43%	18.45%	22.09%	10.93%	20.07%	16.39%	7.64%					
																																											
24	Против всех	994	40	29	24	22	39	24	32	20	55	39	26	22	51	33	33	17	17	14	21	20	24	24	9	6	2	40	25	26	29	52	21	21	8	58	43	28					
		3.55%	3.73%	2.39%	3.23%	3.17%	5.10%	2.86%	4.41%	2.64%	5.97%	4.91%	3.47%	3.18%	3.86%	4.37%	4.04%	2.40%	2.11%	2.94%	2.60%	3.34%	2.74%	4.05%	3.18%	1.75%	0.61%	4.71%	3.82%	3.76%	2.66%	4.98%	3.12%	2.68%	1.41%	4.77%	4.22%	3.75%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
