Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Моздокская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139					
		0.31%	0.74%	0.69%	0.35%	0.26%	0.28%	0.52%	0.07%	0.66%	0.53%	0.83%	0.64%	0.32%	0.37%	0.38%	0.78%	0.57%	0.54%	0.68%	0.36%	0.00%	0.24%	0.25%	0.18%	0.51%	0.50%	0.00%	0.42%	1.38%	0.20%	0.06%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.18%					
21	. Путин Владимир Владимирович	44426	1024	1204	939	1266	1117	914	1224	1074	1021	790	1166	1288	920	1491	326	960	165	132	256	361	393	1837	1304	154	1421	1642	2399	766	2461	1399	1804	894	804	2561	2725	634	47	719	940	352	280	740	512					
		88.07%	75.35%	82.69%	81.72%	81.73%	77.30%	79.69%	91.34%	78.51%	90.92%	72.54%	82.99%	82.51%	84.87%	80.03%	84.46%	91.25%	89.67%	89.80%	93.09%	91.16%	92.69%	91.12%	80.15%	77.78%	89.15%	91.27%	90.60%	75.47%	97.00%	89.91%	94.11%	91.04%	90.54%	99.49%	99.53%	91.75%	94.00%	92.42%	90.30%	91.43%	95.89%	99.33%	89.98%					
22	. Хакамада Ирина Муцуовна	336	25	22	8	2	29	13	6	9	1	15	21	7	3	43	3	4	0	2	0	2	1	3	12	3	2	3	27	14	10	4	4	1	5	0	0	5	3	4	1	4	0	0	15					
		0.67%	1.84%	1.51%	0.70%	0.13%	2.01%	1.13%	0.45%	0.66%	0.09%	1.38%	1.49%	0.45%	0.28%	2.31%	0.78%	0.38%	0.00%	1.36%	0.00%	0.51%	0.24%	0.15%	0.74%	1.52%	0.13%	0.17%	1.02%	1.38%	0.39%	0.26%	0.21%	0.10%	0.56%	0.00%	0.00%	0.72%	6.00%	0.51%	0.10%	1.04%	0.00%	0.00%	2.64%					
23	. Харитонов Николай Михайлович	4257	211	172	177	250	230	142	63	252	69	206	139	236	136	234	36	44	8	5	8	9	20	149	243	38	144	130	131	155	22	138	70	77	63	13	10	40	0	30	96	23	9	5	24					
		8.44%	15.53%	11.81%	15.40%	16.14%	15.92%	12.38%	4.70%	18.42%	6.14%	18.92%	9.89%	15.12%	12.55%	12.56%	9.33%	4.18%	4.35%	3.40%	2.91%	2.27%	4.72%	7.39%	14.94%	19.19%	9.03%	7.23%	4.95%	15.27%	0.87%	8.87%	3.65%	7.84%	7.09%	0.51%	0.37%	5.79%	0.00%	3.86%	9.22%	5.97%	3.08%	0.67%	4.22%					
																																																		
24	Против всех	331	32	13	6	5	13	20	1	7	7	18	24	6	8	10	4	14	4	0	1	0	3	6	14	2	6	6	47	19	8	3	6	2	3	0	0	0	0	6	0	2	1	0	4					
		0.66%	2.35%	0.89%	0.52%	0.32%	0.90%	1.74%	0.07%	0.51%	0.62%	1.65%	1.71%	0.38%	0.74%	0.54%	1.04%	1.33%	2.17%	0.00%	0.36%	0.00%	0.71%	0.30%	0.86%	1.01%	0.38%	0.33%	1.77%	1.87%	0.32%	0.19%	0.31%	0.20%	0.34%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.52%	0.34%	0.00%	0.70%					
