7	Число избирательных бюллетеней в переносных ящиках для голосования	3489	20	16	9	5	19	24	34	16	23	20	12	42	14	22	18	14	29	4	19	34	55	21	33	18	32	27	231	38	19	8	24	116	16	20	6	25	27	16	10	23	7	25	34	35	30	36	77	4	17	21	17	0	10	33	25	28	9	36	12	8	10	22	12	52	45	14	24	19	18	10	31	33	27	10	53	26	156	22	85	1	26	30	34	46	12	32	13	22	0	23	86	20	91	86	80	243	31	30	109	16	33	45	44	44									
8	Число бюллетеней в стационарных ящиках для голосования	94411	1574	943	915	1295	812	1301	1244	1149	1314	1058	1200	1544	1171	1411	487	1495	1165	669	612	1257	901	1164	1469	1035	884	855	1073	1384	774	765	1004	1157	1258	1118	626	220	267	536	123	1534	1541	1579	814	1380	1296	884	951	1428	920	952	1289	1425	251	1092	320	223	191	1764	1022	1426	353	1046	947	894	1009	1254	1146	865	1452	1113	439	1370	1388	1068	251	559	1212	1106	549	652	205	1611	1463	284	283	907	368	110	311	113	675	149	303	549	1192	143	699	1222	1067	1180	822	219	187	165									
9	Число недействительных избирательных бюллетеней	1694	21	12	12	15	9	18	19	23	22	15	25	34	0	15	10	22	14	10	9	29	11	17	24	19	22	13	56	30	15	13	16	14	23	20	11	3	6	13	4	21	21	20	15	27	25	14	12	22	17	17	21	18	1	16	11	8	3	40	17	19	1	22	19	62	12	23	17	11	18	35	5	16	26	13	2	11	42	26	22	5	9	19	31	0	5	22	13	1	5	4	12	2	7	7	31	1	16	26	30	20	10	0	3	3									
10	Число действительных избирательных бюллетеней	96206	1573	947	912	1285	822	1307	1259	1142	1315	1063	1187	1552	1185	1418	495	1487	1180	663	622	1262	945	1168	1478	1034	894	869	1248	1392	778	760	1012	1259	1251	1118	621	242	288	539	129	1536	1527	1584	833	1388	1301	906	1016	1410	920	956	1285	1407	260	1109	334	243	197	1760	1017	1415	362	1046	940	884	1042	1245	1153	873	1452	1088	465	1387	1389	1065	302	574	1326	1102	612	648	222	1622	1466	330	290	917	368	131	306	132	749	167	387	628	1241	385	714	1226	1146	1176	845	264	228	206									
11	Число полученных открепительных  удостоверений	1695	25	15	11	15	15	20	15	13	20	20	15	30	20	20	10	36	20	20	21	21	24	15	30	17	17	20	15	30	5	20	15	15	15	15	12	5	3	20	2	21	35	31	12	20	37	15	15	27	25	15	21	38	10	20	1	5	5	30	10	25	10	19	15	15	25	18	28	20	20	10	5	20	20	10	5	5	20	20	15	10	5	30	30	5	5	20	5	5	15	5	10	5	5	10	20	10	10	20	20	20	25	0	5	5									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	1626	25	13	10	15	15	17	14	13	19	20	15	28	20	19	10	34	20	20	9	21	23	15	29	16	16	20	15	30	5	18	15	14	15	15	12	3	3	19	2	20	35	30	12	20	34	15	15	27	25	15	21	38	6	18	1	5	4	30	10	25	9	18	15	13	24	18	28	20	20	10	4	20	19	9	5	5	20	20	15	8	5	30	29	5	5	20	5	3	15	5	10	3	5	9	20	8	10	19	20	20	25	0	2	5									
13	Число избирателей, проголосовавших по открепительным удостоверениям	1792	21	67	43	13	10	18	11	7	14	15	7	18	14	22	9	18	6	17	9	29	31	18	26	23	21	38	18	12	10	19	7	13	14	17	8	7	12	11	1	17	7	25	10	10	12	10	15	19	18	8	10	7	8	21	44	21	32	53	10	16	7	13	13	26	21	42	48	20	24	14	10	62	17	25	9	23	41	12	42	12	14	30	14	9	20	14	19	9	6	3	22	7	5	5	10	14	22	7	7	7	9	2	8	1									
14	Число неиспользованных открепительных удостоверений	69	0	2	1	0	0	3	1	0	1	0	0	2	0	1	0	2	0	0	12	0	1	0	1	1	1	0	0	0	0	2	0	1	0	0	0	2	0	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	4	2	0	0	1	0	0	0	1	1	0	2	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	2	0	1	0	2	0	1	0	0	0	0	3	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	54	0	0	0	0	0	0	0	1	0	2	1	2	1	0	1	1	1	0	0	1	1	0	5	0	0	0	1	1	1	0	1	2	2	0	1	0	0	0	2	0	1	6	0	0	0	0	1	1	1	1	1	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																			
19	Жириновский Владимир Вольфович	7190	135	61	55	73	80	72	102	94	74	85	108	116	108	100	43	89	82	39	37	95	63	99	141	90	52	63	113	114	52	61	100	92	88	92	59	28	24	38	11	94	96	76	34	93	55	41	75	119	53	75	83	198	25	70	16	17	8	105	81	130	43	116	69	69	51	89	63	49	69	79	33	89	100	55	25	40	86	67	39	53	20	152	141	27	29	60	34	4	31	7	65	8	37	58	136	29	51	129	116	84	61	14	24	17									
		7.34%	8.47%	6.36%	5.95%	5.62%	9.63%	5.43%	7.98%	8.07%	5.53%	7.88%	8.91%	7.31%	9.11%	6.98%	8.51%	5.90%	6.87%	5.79%	5.86%	7.36%	6.59%	8.35%	9.39%	8.55%	5.68%	7.14%	8.67%	8.02%	6.56%	7.89%	9.73%	7.23%	6.91%	8.08%	9.34%	11.43%	8.16%	6.88%	8.27%	6.04%	6.20%	4.74%	4.01%	6.57%	4.15%	4.46%	7.30%	8.31%	5.66%	7.71%	6.36%	13.89%	9.58%	6.22%	4.64%	6.77%	4.00%	5.83%	7.83%	9.07%	11.85%	10.86%	7.19%	7.29%	4.84%	7.02%	5.38%	5.54%	4.69%	7.03%	7.02%	6.34%	7.07%	5.10%	8.22%	6.84%	6.29%	5.94%	6.15%	8.12%	8.66%	9.26%	9.42%	8.18%	9.83%	6.39%	8.92%	3.03%	9.97%	5.15%	8.54%	4.73%	9.39%	9.13%	10.69%	7.51%	6.99%	10.30%	9.86%	7.02%	7.13%	5.30%	10.39%	8.13%									
20	Зюганов Геннадий Андреевич	22553	319	239	229	327	177	281	291	288	337	244	275	387	314	314	108	380	269	150	145	297	209	280	344	199	232	205	294	289	164	204	205	318	329	304	175	35	60	112	43	379	430	438	270	385	427	242	273	364	258	223	327	229	65	256	71	49	41	371	170	252	44	215	197	162	313	364	331	249	463	273	93	297	286	47	53	148	327	250	121	152	64	318	270	81	65	224	82	33	41	42	179	57	78	123	274	52	182	266	229	262	194	62	62	36									
		23.04%	20.01%	24.92%	24.78%	25.15%	21.30%	21.21%	22.77%	24.72%	25.21%	22.63%	22.69%	24.40%	26.50%	21.91%	21.39%	25.18%	22.53%	22.29%	22.98%	23.01%	21.86%	23.63%	22.90%	18.90%	25.33%	23.24%	22.55%	20.32%	20.68%	26.39%	19.94%	24.98%	25.82%	26.71%	27.69%	14.29%	20.41%	20.29%	32.33%	24.34%	27.78%	27.31%	31.84%	27.21%	32.20%	26.30%	26.56%	25.42%	27.53%	22.92%	25.04%	16.07%	24.90%	22.76%	20.58%	19.52%	20.50%	20.61%	16.44%	17.57%	12.12%	20.13%	20.54%	17.12%	29.70%	28.71%	28.29%	28.17%	31.50%	24.31%	19.79%	21.17%	20.21%	4.36%	17.43%	25.30%	23.90%	22.16%	19.09%	23.28%	27.71%	19.38%	18.04%	24.55%	22.03%	23.86%	21.52%	25.00%	13.18%	30.88%	23.52%	33.73%	19.80%	19.37%	21.54%	13.47%	24.93%	21.25%	19.47%	21.91%	22.69%	23.48%	26.84%	17.22%									
21	Миронов Сергей Михайлович	4352	44	41	42	60	22	72	57	52	65	58	64	93	59	74	15	69	47	15	35	56	64	64	88	55	49	49	51	63	35	38	27	67	54	59	36	13	11	26	7	80	74	76	39	83	80	49	35	66	44	51	61	40	11	57	19	11	13	62	34	55	12	39	38	50	49	56	61	54	72	44	17	60	53	15	4	27	68	63	30	30	8	87	62	10	19	52	12	4	12	6	33	8	11	18	40	3	36	53	27	34	25	5	6	3									
		4.45%	2.76%	4.28%	4.55%	4.62%	2.65%	5.43%	4.46%	4.46%	4.86%	5.38%	5.28%	5.86%	4.98%	5.16%	2.97%	4.57%	3.94%	2.23%	5.55%	4.34%	6.69%	5.40%	5.86%	5.22%	5.35%	5.56%	3.91%	4.43%	4.41%	4.92%	2.63%	5.26%	4.24%	5.18%	5.70%	5.31%	3.74%	4.71%	5.26%	5.14%	4.78%	4.74%	4.60%	5.87%	6.03%	5.33%	3.40%	4.61%	4.70%	5.24%	4.67%	2.81%	4.21%	5.07%	5.51%	4.38%	6.50%	3.44%	3.29%	3.84%	3.31%	3.65%	3.96%	5.29%	4.65%	4.42%	5.21%	6.11%	4.90%	3.92%	3.62%	4.28%	3.75%	1.39%	1.32%	4.62%	4.97%	5.59%	4.73%	4.59%	3.46%	5.30%	4.14%	3.03%	6.44%	5.54%	3.15%	3.03%	3.86%	4.41%	4.34%	4.73%	2.79%	2.83%	3.14%	0.78%	4.93%	4.23%	2.30%	2.84%	2.92%	1.89%	2.60%	1.44%									
22	Прохоров Михаил Дмитриевич	13123	198	151	127	221	133	195	138	142	197	159	147	204	118	226	51	210	205	113	112	169	145	151	249	153	118	99	181	198	118	137	120	157	189	128	75	29	35	99	6	294	276	246	144	235	190	136	161	168	102	136	199	184	32	122	59	47	21	234	127	148	38	151	154	114	164	229	236	140	252	186	52	218	240	55	53	80	171	158	84	95	19	236	169	43	42	98	38	12	36	17	70	10	25	62	94	35	47	72	79	95	49	14	17	10									
		13.40%	12.42%	15.75%	13.74%	17.00%	16.00%	14.72%	10.80%	12.19%	14.73%	14.75%	12.13%	12.86%	9.96%	15.77%	10.10%	13.92%	17.17%	16.79%	17.75%	13.09%	15.17%	12.74%	16.58%	14.53%	12.88%	11.22%	13.88%	13.92%	14.88%	17.72%	11.67%	12.33%	14.84%	11.25%	11.87%	11.84%	11.90%	17.93%	4.51%	18.88%	17.83%	15.34%	16.98%	16.61%	14.33%	14.78%	15.66%	11.73%	10.89%	13.98%	15.24%	12.91%	12.26%	10.84%	17.10%	18.73%	10.50%	13.00%	12.28%	10.32%	10.47%	14.14%	16.06%	12.05%	15.56%	18.06%	20.17%	15.84%	17.14%	16.56%	11.06%	15.54%	16.96%	5.10%	17.43%	13.68%	12.50%	14.01%	13.25%	14.55%	8.23%	14.38%	11.29%	13.03%	14.24%	10.44%	9.97%	9.09%	11.58%	12.50%	9.20%	5.92%	6.35%	9.76%	7.39%	9.07%	6.44%	5.75%	6.72%	7.94%	5.73%	5.30%	7.36%	4.78%									
23	Путин Владимир Владимирович	48988	877	455	459	604	410	687	671	566	642	517	593	752	586	704	278	739	577	346	293	645	464	574	656	537	443	453	609	728	409	320	560	625	591	535	276	137	158	264	62	689	651	748	346	592	549	438	472	693	463	471	615	756	127	604	169	119	114	988	605	830	225	525	482	489	465	507	462	381	596	506	270	723	710	893	167	279	674	564	338	318	111	829	824	169	135	483	202	78	186	60	402	84	236	367	697	266	398	706	695	701	516	169	119	140									
		50.04%	55.02%	47.45%	49.68%	46.46%	49.34%	51.85%	52.50%	48.58%	48.02%	47.96%	48.93%	47.41%	49.45%	49.13%	55.05%	48.97%	48.32%	51.41%	46.43%	49.96%	48.54%	48.44%	43.68%	50.99%	48.36%	51.36%	46.70%	51.20%	51.58%	41.40%	54.47%	49.10%	46.39%	47.01%	43.67%	55.92%	53.74%	47.83%	46.62%	44.25%	42.05%	46.63%	40.80%	41.84%	41.40%	47.61%	45.91%	48.39%	49.41%	48.41%	47.09%	53.05%	48.66%	53.69%	48.99%	47.41%	57.00%	54.89%	58.51%	57.88%	61.98%	49.16%	50.26%	51.69%	44.12%	39.98%	39.49%	43.10%	40.54%	45.06%	57.45%	51.53%	50.18%	82.84%	54.93%	47.69%	49.27%	50.00%	53.31%	48.70%	48.05%	50.52%	55.04%	51.21%	45.76%	51.44%	53.02%	59.09%	59.81%	44.12%	52.83%	49.70%	59.90%	57.80%	54.80%	68.91%	54.52%	56.39%	59.10%	58.61%	60.35%	64.02%	51.52%	66.99%									
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
