Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Ремонтненская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742					
1	"Число избирателей, внесенных в список"	14553	2577	1120	2062	640	150	541	481	1436	763	397	881	74	738	204	761	598	720	410					
2	Число полученных избирательных бюллетеней	14735	2597	1141	2046	644	152	541	482	1460	796	418	896	76	746	206	778	618	728	410					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10184	1895	723	1263	495	108	439	374	819	513	285	569	66	576	154	622	474	501	308					
5	"Число избирательных бюллетеней, выданных вне помещения"	1024	136	133	84	31	36	42	33	86	95	37	62	3	53	18	33	48	66	28					
6	Число погашенных избирательных бюллетеней	3527	566	285	699	118	8	60	75	555	188	96	265	7	117	34	123	96	161	74					
7	Число избирательных бюллетеней в переносных ящиках	1024	136	133	84	31	36	42	33	86	95	37	62	3	53	18	33	48	66	28					
8	Число бюллетеней в стационарных ящиках для голосования	10184	1895	723	1263	495	108	439	374	819	513	285	569	66	576	154	622	474	501	308					
9	Число недействительных избирательных бюллетеней	77	9	11	0	5	2	7	6	6	8	2	6	0	2	0	0	1	8	4					
10	Число действительных избирательных бюллетеней	11131	2022	845	1347	521	142	474	401	899	600	320	625	69	627	172	655	521	559	332					
11	Число полученных открепительных  удостоверений	489	79	40	65	20	5	20	15	50	25	15	30	5	25	10	25	20	25	15					
12	Число выданных открепительных удостоверений	140	16	10	9	0	0	1	2	20	25	15	0	0	2	1	15	16	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	3	3	3	0	0	2	3	5	0	0	1	0	0	0	2	3	5	1					
14	Число неиспользованных открепительных удостоверений	349	63	30	56	20	5	19	13	30	0	0	30	5	23	9	10	4	18	14					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	306	65	25	56	4	3	8	6	26	15	13	15	2	6	6	14	18	11	13					
		2.73%	3.20%	2.92%	4.16%	0.76%	2.08%	1.66%	1.47%	2.87%	2.47%	4.04%	2.38%	2.90%	0.95%	3.49%	2.14%	3.45%	1.94%	3.87%					
19	. Малышкин Олег Александрович	255	51	12	27	8	2	6	14	31	9	9	25	0	22	6	10	7	14	2					
		2.28%	2.51%	1.40%	2.00%	1.52%	1.39%	1.25%	3.44%	3.43%	1.48%	2.80%	3.96%	0.00%	3.50%	3.49%	1.53%	1.34%	2.47%	0.60%					
20	. Миронов Сергей Михайлович	78	10	3	14	2	0	5	4	10	2	0	9	0	2	1	8	2	6	0					
		0.70%	0.49%	0.35%	1.04%	0.38%	0.00%	1.04%	0.98%	1.10%	0.33%	0.00%	1.43%	0.00%	0.32%	0.58%	1.22%	0.38%	1.06%	0.00%					
21	. Путин Владимир Владимирович	7231	1498	567	734	365	99	335	204	498	249	214	402	43	534	132	460	342	352	203					
		64.52%	73.76%	66.24%	54.49%	69.39%	68.75%	69.65%	50.12%	55.03%	40.95%	66.46%	63.71%	62.32%	84.90%	76.74%	70.23%	65.52%	62.08%	60.42%					
22	. Хакамада Ирина Муцуовна	241	36	16	45	4	12	6	9	25	18	8	11	0	11	1	8	14	10	7					
		2.15%	1.77%	1.87%	3.34%	0.76%	8.33%	1.25%	2.21%	2.76%	2.96%	2.48%	1.74%	0.00%	1.75%	0.58%	1.22%	2.68%	1.76%	2.08%					
23	. Харитонов Николай Михайлович	2780	316	203	425	123	24	107	157	284	298	73	156	24	42	21	148	130	149	100					
		24.80%	15.56%	23.71%	31.55%	23.38%	16.67%	22.25%	38.57%	31.38%	49.01%	22.67%	24.72%	34.78%	6.68%	12.21%	22.60%	24.90%	26.28%	29.76%					
																									
24	Против всех	240	46	19	46	15	2	7	7	25	9	3	7	0	10	5	7	8	17	7					
		2.14%	2.26%	2.22%	3.41%	2.85%	1.39%	1.46%	1.72%	2.76%	1.48%	0.93%	1.11%	0.00%	1.59%	2.91%	1.07%	1.53%	3.00%	2.08%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
