Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Обручевский район																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №3165	УИК №3166	УИК №3167	УИК №3168					
1	"Число избирателей, внесенных в список"	38890	2133	1943	2640	2275	2259	1650	1418	1963	1837	2212	2526	1891	2340	2501	2024	2080	818	2197	1474	198	234	116	161					
2	Число полученных избирательных бюллетеней	35980	2000	1800	2400	2100	2100	1500	1300	1800	1700	2100	2300	1800	2200	2300	1900	2100	750	1600	1300	200	310	210	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21170	1095	1021	1406	1225	1146	942	747	1094	864	1094	1256	980	1167	1302	1078	1154	515	1518	857	198	234	116	161					
5	"Число избирательных бюллетеней, выданных вне помещения"	704	51	29	59	18	39	39	26	32	49	35	27	70	33	81	51	25	2	7	31	0	0	0	0					
6	Число погашенных избирательных бюллетеней	14106	854	750	935	857	915	519	527	674	787	971	1017	750	1000	917	771	921	233	75	412	2	76	94	49					
7	Число избирательных бюллетеней в переносных ящиках	704	51	29	59	18	39	39	26	32	49	35	27	70	33	81	51	25	2	7	31	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	21102	1094	1017	1406	1215	1140	930	747	1094	864	1094	1252	967	1160	1302	1069	1154	515	1518	855	198	234	116	161					
9	Число недействительных избирательных бюллетеней	171	6	6	12	3	7	8	12	5	13	17	9	0	10	26	7	9	1	10	6	1	3	0	0					
10	Число действительных избирательных бюллетеней	21635	1139	1040	1453	1230	1172	961	761	1121	900	1112	1270	1037	1183	1357	1113	1170	516	1515	880	197	231	116	161					
11	Число полученных открепительных  удостоверений	1020	60	50	60	55	55	45	40	50	50	60	65	50	80	65	60	65	25	40	45	0	0	0	0					
12	Число выданных открепительных удостоверений	631	33	28	46	23	22	16	28	30	27	35	48	33	59	28	39	63	15	25	33	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	653	46	32	38	22	14	49	18	29	25	18	59	19	34	38	36	19	15	41	36	0	38	14	13					
14	Число неиспользованных открепительных удостоверений	389	27	22	14	32	33	29	12	20	23	25	17	17	21	37	21	2	10	15	12	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	19	0	1	0	2	1	0	0	3	0	1	2	1	1	3	2	1	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	1437	68	71	89	101	77	59	48	116	49	59	92	90	98	95	71	98	51	50	42	7	2	1	3					
		6.59%	5.94%	6.79%	6.08%	8.19%	6.53%	6.09%	6.21%	10.30%	5.37%	5.23%	7.19%	8.68%	8.21%	6.87%	6.34%	8.31%	9.86%	3.28%	4.74%	3.54%	0.85%	0.86%	1.86%					
19	. Малышкин Олег Александрович	224	11	17	15	12	11	9	8	10	11	9	11	9	10	9	19	13	6	29	1	0	3	0	1					
		1.03%	0.96%	1.63%	1.02%	0.97%	0.93%	0.93%	1.03%	0.89%	1.20%	0.80%	0.86%	0.87%	0.84%	0.65%	1.70%	1.10%	1.16%	1.90%	0.11%	0.00%	1.28%	0.00%	0.62%					
20	. Миронов Сергей Михайлович	123	8	4	4	3	3	6	2	11	8	3	7	5	9	11	9	8	2	11	0	4	3	0	2					
		0.56%	0.70%	0.38%	0.27%	0.24%	0.25%	0.62%	0.26%	0.98%	0.88%	0.27%	0.55%	0.48%	0.75%	0.80%	0.80%	0.68%	0.39%	0.72%	0.00%	2.02%	1.28%	0.00%	1.24%					
21	. Путин Владимир Владимирович	14129	787	680	951	716	751	661	501	629	633	756	887	617	710	856	697	745	325	1021	647	156	186	89	128					
		64.79%	68.73%	65.01%	64.91%	58.07%	63.70%	68.21%	64.81%	55.86%	69.33%	66.96%	69.35%	59.50%	59.51%	61.89%	62.23%	63.19%	62.86%	66.95%	73.02%	78.79%	79.49%	76.72%	79.50%					
22	. Хакамада Ирина Муцуовна	2418	122	113	151	208	143	74	94	141	77	114	111	148	131	197	138	115	48	177	51	17	21	18	9					
