Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Коношская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392					
1	"Число избирателей, внесенных в список"	22078	156	872	329	313	436	511	117	290	61	151	2342	530	242	388	88	46	442	1498	1691	1507	1232	1236	1285	605	314	284	280	2283	301	74	284	93	140	201	606	213	342	78	217					
2	Число полученных избирательных бюллетеней	21325	150	860	350	315	430	500	120	300	80	140	2250	500	250	400	90	50	400	1470	1650	1450	1150	1100	1150	600	300	300	300	2100	290	80	300	100	140	200	600	200	350	80	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11802	80	424	192	148	247	175	86	177	29	63	1161	260	154	185	43	22	236	767	1029	840	739	640	592	326	113	218	176	1140	161	57	174	68	77	130	385	136	196	54	102					
5	"Число избирательных бюллетеней, выданных вне помещения"	1156	30	9	8	5	23	104	8	13	14	49	130	69	3	25	15	4	9	32	32	29	40	36	20	32	51	3	12	106	15	3	21	6	20	11	57	18	39	4	51					
6	Число погашенных избирательных бюллетеней	8367	40	427	150	162	160	221	26	110	37	28	959	171	93	190	32	24	155	671	589	581	371	424	538	242	136	79	112	854	114	20	105	26	43	59	158	46	115	22	77					
7	Число избирательных бюллетеней в переносных ящиках	1156	30	9	8	5	23	104	8	13	14	49	130	69	3	25	15	4	9	32	32	29	40	36	20	32	51	3	12	106	15	3	21	6	20	11	57	18	39	4	51					
8	Число бюллетеней в стационарных ящиках для голосования	11800	80	424	192	148	247	175	86	177	29	63	1161	260	154	185	43	22	236	767	1029	840	739	639	592	326	113	218	176	1140	161	57	174	68	77	130	385	136	195	54	102					
9	Число недействительных избирательных бюллетеней	126	0	6	1	1	4	2	0	0	0	0	14	4	3	4	0	0	1	8	10	11	3	4	6	7	1	1	2	12	3	0	2	0	3	3	9	0	0	0	1					
10	Число действительных избирательных бюллетеней	12830	110	427	199	152	266	277	94	190	43	112	1277	325	154	206	58	26	244	791	1051	858	776	671	606	351	163	220	186	1234	173	60	193	74	94	138	433	154	234	58	152					
11	Число полученных открепительных  удостоверений	393	3	10	5	5	8	8	5	7	4	5	25	15	5	6	5	5	15	20	20	20	20	17	20	14	11	8	2	25	6	6	6	6	6	6	12	10	10	6	6					
12	Число выданных открепительных удостоверений	181	2	4	0	0	8	8	4	7	3	5	5	3	0	4	1	1	4	15	15	12	12	6	8	4	9	2	2	10	0	1	0	1	0	1	9	3	5	1	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	0	1	1	0	1	4	4	1	2	0	8	2	0	2	0	1	5	5	6	6	7	14	6	1	0	0	0	4	3	0	0	0	0	2	6	1	0	0	1					
14	Число неиспользованных открепительных удостоверений	212	1	6	5	5	0	0	1	0	1	0	20	12	5	2	4	4	11	5	5	8	8	11	12	10	2	6	0	15	6	5	6	5	6	5	3	7	5	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
