Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Ирбейская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329					
1	"Число избирателей, внесенных в список"	12635	472	286	33	192	54	446	137	292	438	222	559	126	2271	1046	252	215	185	342	182	29	161	66	127	667	434	67	68	94	502	133	168	534	187	184	70	46	286	88	595	172	108	99					
2	Число полученных избирательных бюллетеней	12830	500	292	33	189	52	447	130	283	451	226	562	123	2375	983	250	214	183	360	197	29	160	67	126	671	423	65	69	95	513	132	166	562	205	201	69	46	285	87	610	174	111	114					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6731	202	151	30	123	30	246	76	168	232	108	291	81	981	416	134	139	126	156	127	25	100	47	72	328	206	46	48	60	303	109	116	313	127	106	55	35	194	71	297	96	78	82					
5	"Число избирательных бюллетеней, выданных вне помещения"	976	64	23	0	7	7	47	12	21	25	21	26	0	215	143	15	0	7	36	12	0	6	0	20	68	50	12	5	8	31	0	6	23	15	13	0	0	13	0	16	8	0	1					
6	Число погашенных избирательных бюллетеней	5123	234	118	3	59	15	154	42	94	194	97	245	42	1179	424	101	75	50	168	58	4	54	20	34	275	167	7	16	27	179	23	44	226	63	82	14	11	78	16	297	70	33	31					
7	Число избирательных бюллетеней в переносных ящиках	976	64	23	0	7	7	47	12	21	25	21	26	0	215	143	15	0	7	36	12	0	6	0	20	68	50	12	5	8	31	0	6	23	15	13	0	0	13	0	16	8	0	1					
8	Число бюллетеней в стационарных ящиках для голосования	6731	202	151	30	123	30	246	76	168	232	108	291	81	981	416	134	139	126	156	127	25	100	47	72	328	206	46	48	60	303	109	116	313	127	106	55	35	194	71	297	96	78	82					
9	Число недействительных избирательных бюллетеней	50	2	0	0	0	0	3	0	0	1	4	3	0	2	2	1	1	5	0	1	0	0	2	1	2	1	0	0	0	4	2	0	6	1	0	0	0	2	0	2	2	0	0					
10	Число действительных избирательных бюллетеней	7657	264	174	30	130	37	290	88	189	256	125	314	81	1194	557	148	138	128	192	138	25	106	45	91	394	255	58	53	68	330	107	122	330	141	119	55	35	205	71	311	102	78	83					
11	Число полученных открепительных  удостоверений	196	5	5	2	2	2	5	3	3	5	3	5	2	51	15	3	5	3	3	7	2	2	2	2	5	5	2	2	2	5	2	2	5	3	3	2	2	3	3	5	4	2	2					
12	Число выданных открепительных удостоверений	45	1	0	0	0	0	3	0	1	0	0	3	0	15	10	0	0	0	2	5	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	0	0	0	1	2	3	0	1	0	1	1	1	3	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	2	1	1	1	0	0	0	0	0	0	3	0	0	1					
14	Число неиспользованных открепительных удостоверений	151	4	5	2	2	2	2	3	2	5	3	2	2	36	5	3	5	3	1	2	2	0	2	2	5	5	2	2	2	4	2	2	4	3	3	2	2	3	3	5	4	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	795	15	10	19	3	0	32	6	21	18	19	42	10	191	68	11	8	10	11	9	0	10	3	12	33	21	3	9	9	29	6	6	29	24	12	11	0	6	4	42	14	3	6					
		10.32%	5.64%	5.75%	63.33%	2.31%	0.00%	10.92%	6.82%	11.11%	7.00%	14.73%	13.25%	12.35%	15.97%	12.16%	7.38%	5.76%	7.52%	5.73%	6.47%	0.00%	9.43%	6.38%	13.04%	8.33%	8.20%	5.17%	16.98%	13.24%	8.68%	5.50%	4.92%	8.63%	16.90%	10.08%	20.00%	0.00%	2.90%	5.63%	13.42%	13.46%	3.85%	7.23%					
19	. Малышкин Олег Александрович	297	5	4	0	1	0	13	2	1	11	6	19	4	48	18	17	6	8	7	1	0	2	4	0	9	5	0	5	3	9	0	2	20	15	19	2	0	11	9	7	1	3	0					
