Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Покачевская городская															
															
Итоги голосования 															
															
		Сумма	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК  111					
1	"Число избирателей, внесенных в список"	12384	1561	1452	1570	1472	1527	1501	2014	1287					
2	Число полученных избирательных бюллетеней	12487	1535	1397	1550	1567	1590	1586	1984	1278					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9365	1295	1063	1240	1197	1205	1075	1268	1022					
5	"Число избирательных бюллетеней, выданных вне помещения"	439	17	83	13	18	21	16	256	15					
6	Число погашенных избирательных бюллетеней	2683	223	251	297	352	364	495	460	241					
7	Число избирательных бюллетеней в переносных ящиках	439	17	83	13	18	21	16	256	15					
8	Число бюллетеней в стационарных ящиках для голосования	9365	1295	1063	1240	1197	1205	1075	1268	1022					
9	Число недействительных избирательных бюллетеней	102	16	9	10	6	13	14	25	9					
10	Число действительных избирательных бюллетеней	9702	1296	1137	1243	1209	1213	1077	1499	1028					
11	Число полученных открепительных  удостоверений	252	30	30	42	30	40	20	30	30					
12	Число выданных открепительных удостоверений	118	15	20	23	14	12	9	8	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	472	25	59	74	24	10	41	190	49					
14	Число неиспользованных открепительных удостоверений	134	15	10	19	16	28	11	22	13					
15	"Число открепительных удостоверений, выданных в ТИК"	98	9	11	20	17	14	14	4	9					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	342	29	27	44	43	47	35	85	32					
		3.49%	2.21%	2.36%	3.51%	3.54%	3.83%	3.21%	5.58%	3.09%					
19	. Малышкин Олег Александрович	334	42	38	48	38	42	32	65	29					
		3.41%	3.20%	3.32%	3.83%	3.13%	3.43%	2.93%	4.27%	2.80%					
20	. Миронов Сергей Михайлович	74	6	18	8	4	13	8	11	6					
		0.75%	0.46%	1.57%	0.64%	0.33%	1.06%	0.73%	0.72%	0.58%					
21	. Путин Владимир Владимирович	7180	1009	861	941	923	937	785	930	794					
		73.24%	76.91%	75.13%	75.10%	75.97%	76.43%	71.95%	61.02%	76.57%					
22	. Хакамада Ирина Муцуовна	307	37	42	42	43	40	29	35	39					
		3.13%	2.82%	3.66%	3.35%	3.54%	3.26%	2.66%	2.30%	3.76%					
23	. Харитонов Николай Михайлович	1032	124	103	98	107	95	146	270	89					
		10.53%	9.45%	8.99%	7.82%	8.81%	7.75%	13.38%	17.72%	8.58%					
															
24	Против всех	433	49	48	62	51	39	42	103	39					
		4.42%	3.73%	4.19%	4.95%	4.20%	3.18%	3.85%	6.76%	3.76%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
