Выборы Президента Российской Федерации																																																											
																																																											
"Наименование Избирательной комиссии:    Нижний Тагил, Тагилстроевская"																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290					
1	"Число избирателей, внесенных в список"	101306	2096	2338	1619	2051	1822	2194	2219	1808	2213	1831	1939	1457	2258	1966	1977	358	1001	1719	2376	1895	896	1948	1268	1359	1539	1560	1628	1409	1702	2456	1956	2771	2622	2365	2347	2584	2098	2210	1989	2524	2606	2143	2394	2610	2456	2205	2083	2699	2753	334	344	2311					
2	Число полученных избирательных бюллетеней	100767	2070	2250	1535	2010	1790	2200	2250	1790	2000	1850	1940	1430	2250	1940	1930	330	990	1670	2350	1800	1035	1935	1240	1365	1500	1570	1630	1425	1730	2465	2000	2780	2590	2335	2350	2560	2110	2210	1990	2550	2620	2145	2400	2625	2470	2220	2100	2675	2770	327	340	2330					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	62300	1070	1162	844	1306	1083	1310	1144	1018	1117	1204	1210	988	1414	1179	1158	175	410	690	1436	1150	514	1242	807	852	905	886	948	917	1040	1505	1279	1847	1551	1456	1319	1527	1461	1501	1368	1700	1619	1399	1619	1706	1628	1455	1312	1754	1924	327	324	1540					
5	"Число избирательных бюллетеней, выданных вне помещения"	2085	31	21	22	56	52	10	85	8	316	24	19	16	23	40	75	34	135	76	86	38	4	35	54	24	26	35	38	15	24	41	66	29	48	43	45	41	29	32	19	32	31	5	25	23	43	14	25	27	33	0	0	12					
6	Число погашенных избирательных бюллетеней	36381	969	1067	669	648	655	880	1021	764	567	622	711	426	813	721	697	121	445	904	828	612	517	657	379	489	569	649	644	493	666	919	655	904	991	836	986	992	620	677	603	818	970	741	756	896	799	751	763	894	813	0	16	778					
7	Число избирательных бюллетеней в переносных ящиках	2085	31	21	22	56	52	10	85	8	316	24	19	16	23	40	75	34	135	76	86	38	4	35	54	24	26	35	38	15	24	41	66	29	48	43	45	41	29	32	19	32	31	5	25	23	43	14	25	27	33	0	0	12					
8	Число бюллетеней в стационарных ящиках для голосования	62264	1070	1162	844	1306	1083	1310	1144	1016	1117	1180	1210	988	1414	1179	1158	175	410	690	1436	1150	513	1242	804	852	905	886	948	917	1040	1505	1278	1847	1551	1456	1319	1527	1460	1501	1368	1700	1619	1399	1618	1705	1628	1455	1310	1754	1924	327	324	1540					
9	Число недействительных избирательных бюллетеней	788	24	30	9	21	22	29	25	23	22	15	14	18	20	12	15	4	4	7	18	11	4	14	7	14	13	19	18	10	15	20	10	25	20	27	17	20	22	15	20	7	11	13	9	17	8	13	16	12	3	3	1	22					
10	Число действительных избирательных бюллетеней	63561	1077	1153	857	1341	1113	1291	1204	1001	1411	1189	1215	986	1417	1207	1218	205	541	759	1504	1177	513	1263	851	862	918	902	968	922	1049	1526	1334	1851	1579	1472	1347	1548	1467	1518	1367	1725	1639	1391	1634	1711	1663	1456	1319	1769	1954	324	323	1530					
11	Число полученных открепительных  удостоверений	1996	40	30	30	30	30	40	40	40	40	30	30	30	40	40	40	10	10	20	40	30	200	40	30	40	30	30	30	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	0	36	40					
12	Число выданных открепительных удостоверений	927	6	8	6	17	30	13	12	9	9	15	14	5	17	15	10	1	3	5	21	13	200	25	14	10	10	6	13	11	20	12	19	30	11	10	12	15	21	17	16	27	14	16	23	22	29	17	20	12	31	0	0	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	574	7	11	9	45	33	10	10	4	18	9	13	8	8	16	25	2	4	8	21	7	19	14	18	7	11	6	8	3	5	12	8	15	15	19	5	12	8	8	10	14	6	6	8	17	12	8	2	13	7	0	0	10					
14	Число неиспользованных открепительных удостоверений	1069	34	22	24	13	0	27	28	31	31	15	16	25	23	25	30	9	7	15	19	17	0	15	16	30	20	24	17	29	20	28	21	10	29	30	28	25	19	23	24	13	26	24	17	18	11	23	20	28	9	0	36	25					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
