Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																			
Дата голосования: 04.12.2011																			
																			
Наименование Избирательной комиссии:    Муйская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429					
1	"Число избирателей, внесенных в список избирателей"	10721	936	1760	546	1303	1178	1138	816	270	1035	1064	502	173					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9160	800	1400	500	1150	1000	1000	700	210	900	900	450	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	110	0	100	0	0	0	0	0	2	0	0	8	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4382	381	788	241	521	421	428	264	153	401	463	232	89					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	157	5	21	2	16	10	9	8	3	15	12	45	11					
6	Число погашенных избирательных бюллетеней	4511	414	491	257	613	569	563	428	52	484	425	165	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	267	5	121	2	16	10	9	8	5	15	12	53	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4382	381	788	241	521	421	428	264	153	401	463	232	89					
9	Число недействительных избирательных бюллетеней	55	5	13	2	7	7	2	3	3	5	4	2	2					
10	Число действительных избирательных бюллетеней	4594	381	896	241	530	424	435	269	155	411	471	283	98					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	296	21	40	20	35	35	35	25	10	30	30	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	40	1	4	0	1	2	2	1	1	6	11	10	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	1	11	0	1	3	2	1	19	8	6	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	256	20	36	20	34	33	33	24	9	24	19	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	1	0	1	1	0	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	740	66	157	37	79	70	61	47	17	62	81	53	10					
		15.92%	17.10%	17.27%	15.23%	14.71%	16.24%	13.96%	17.28%	10.76%	14.90%	17.05%	18.60%	10.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	616	52	99	20	78	57	61	32	27	66	67	41	16					
		13.25%	13.47%	10.89%	8.23%	14.53%	13.23%	13.96%	11.76%	17.09%	15.87%	14.11%	14.39%	16.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	47	4	13	4	4	5	3	2	1	6	4	1	0					
		1.01%	1.04%	1.43%	1.65%	0.74%	1.16%	0.69%	0.74%	0.63%	1.44%	0.84%	0.35%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	861	59	166	41	101	95	95	33	30	74	98	53	16					
		18.52%	15.28%	18.26%	16.87%	18.81%	22.04%	21.74%	12.13%	18.99%	17.79%	20.63%	18.60%	16.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	72	5	24	6	4	6	3	3	2	2	13	3	1					
		1.55%	1.30%	2.64%	2.47%	0.74%	1.39%	0.69%	1.10%	1.27%	0.48%	2.74%	1.05%	1.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2244	195	435	132	264	190	211	151	78	198	205	132	53					
		48.27%	50.52%	47.85%	54.32%	49.16%	44.08%	48.28%	55.51%	49.37%	47.60%	43.16%	46.32%	53.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	0	2	1	0	1	1	1	0	3	3	0	2					
		0.30%	0.00%	0.22%	0.41%	0.00%	0.23%	0.23%	0.37%	0.00%	0.72%	0.63%	0.00%	2.00%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
