Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Суворовская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК  687					
1	"Число избирателей, внесенных в список"	32987	1521	1410	1792	2134	1667	2786	2910	2178	60	484	877	707	543	1619	1618	432	1231	500	534	999	167	257	207	97	263	170	120	204	305	115	999	830	394	440	302	223	310	259	338	153	307	82	85	250	108					
2	Число полученных избирательных бюллетеней	33159	1514	1422	1811	2125	1677	2800	2926	2201	60	490	873	756	565	1648	1623	440	1248	496	519	1019	168	258	208	96	270	172	119	213	318	120	1034	730	402	431	296	229	308	255	332	154	311	79	83	251	109					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15888	736	675	871	1016	811	1326	1366	1181	9	206	515	389	271	768	720	206	593	257	362	470	96	98	114	61	94	68	74	67	140	53	473	441	111	182	157	67	167	120	102	115	124	16	40	117	43					
5	"Число избирательных бюллетеней, выданных вне помещения"	3117	40	48	70	49	38	20	110	67	51	33	101	39	20	73	39	49	123	40	42	132	42	94	43	22	116	64	25	93	114	48	92	83	189	130	88	119	69	81	139	21	80	51	24	64	42					
6	Число погашенных избирательных бюллетеней	14154	738	699	870	1060	828	1454	1450	953	0	251	257	328	274	807	864	185	532	199	115	417	30	66	51	13	60	40	20	53	64	19	469	206	102	119	51	43	72	54	91	18	107	12	19	70	24					
7	Число избирательных бюллетеней в переносных ящиках	3117	40	48	70	49	38	20	110	67	51	33	101	39	20	73	39	49	123	40	42	132	42	94	43	22	116	64	25	93	114	48	92	83	189	130	88	119	69	81	139	21	80	51	24	64	42					
8	Число бюллетеней в стационарных ящиках для голосования	15887	736	675	871	1016	811	1326	1366	1181	9	206	515	389	271	768	720	206	593	257	362	470	96	98	114	61	94	68	74	67	140	53	473	441	111	182	157	67	167	120	102	115	124	16	40	117	42					
9	Число недействительных избирательных бюллетеней	158	32	9	4	6	6	9	14	8	0	1	3	3	3	14	7	1	2	0	4	4	1	2	0	2	0	0	0	0	4	0	10	3	0	1	1	0	1	0	0	0	0	0	0	3	0					
10	Число действительных избирательных бюллетеней	18846	744	714	937	1059	843	1337	1462	1240	60	238	613	425	288	827	752	254	714	297	400	598	137	190	157	81	210	132	99	160	250	101	555	521	300	311	244	186	235	201	241	136	204	67	64	178	84					
