Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Алексеевская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54					
1	"Число избирателей, внесенных в список"	50942	2401	2626	1407	2821	2439	2896	2862	2541	1569	2876	2232	1543	827	397	609	360	207	1001	425	692	388	326	525	388	724	333	394	516	177	1458	1187	1061	109	508	486	161	565	160	707	245	440	260	304	1052	1059	463	201	184	989	402	498	716	195	1030					
2	Число полученных избирательных бюллетеней	50850	2400	2600	1400	2800	2400	2900	2850	2500	1550	2860	2200	1550	800	390	600	360	208	1005	430	690	385	335	540	400	727	335	400	520	182	1465	1195	1080	109	520	490	162	570	160	710	248	445	260	308	1060	1050	465	202	184	1000	400	500	720	196	1034					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	35561	1500	1823	1017	2063	1581	1764	1774	1672	939	1878	1358	795	457	342	333	298	184	871	228	513	265	201	349	302	658	209	276	339	131	1361	1108	940	90	276	337	112	420	131	541	195	327	210	240	819	958	355	119	140	674	274	287	590	126	811					
5	"Число избирательных бюллетеней, выданных вне помещения"	5774	43	120	93	97	271	70	90	238	92	273	121	179	161	12	86	60	22	110	190	169	116	120	133	69	39	112	99	142	38	41	27	102	17	217	139	46	134	24	141	22	83	43	55	198	82	103	74	39	192	101	206	118	58	147					
6	Число погашенных избирательных бюллетеней	9515	857	657	290	640	548	1066	986	590	519	709	721	576	182	36	181	2	2	24	12	8	4	14	58	29	30	14	25	39	13	63	60	38	2	27	14	4	16	5	28	31	35	7	13	43	10	7	9	5	134	25	7	12	12	76					
7	Число избирательных бюллетеней в переносных ящиках	5774	43	120	93	97	271	70	90	238	92	273	121	179	161	12	86	60	22	110	190	169	116	120	133	69	39	112	99	142	38	41	27	102	17	217	139	46	134	24	141	22	83	43	55	198	82	103	74	39	192	101	206	118	58	147					
8	Число бюллетеней в стационарных ящиках для голосования	35557	1500	1823	1017	2063	1581	1764	1774	1672	939	1878	1358	794	457	342	333	298	184	871	228	513	265	201	349	302	658	209	276	339	131	1361	1108	940	90	276	337	112	420	131	541	195	327	210	240	819	958	355	119	140	673	274	285	590	126	811					
9	Число недействительных избирательных бюллетеней	306	4	15	8	10	11	15	18	0	4	11	11	6	4	4	4	0	40	7	1	4	0	0	5	0	4	1	4	0	0	3	16	0	0	2	6	1	7	0	5	5	5	3	2	12	11	11	5	1	7	2	2	1	1	7					
10	Число действительных избирательных бюллетеней	41025	1539	1928	1102	2150	1841	1819	1846	1910	1027	2140	1468	967	614	350	415	358	166	974	417	678	381	321	477	371	693	320	371	481	169	1399	1119	1042	107	491	470	157	547	155	677	212	405	250	293	1005	1029	447	188	178	858	373	489	707	183	951					
11	Число полученных открепительных  удостоверений	496	20	50	10	20	17	20	20	17	10	20	15	10	8	7	8	7	4	10	7	7	4	4	10	4	7	4	4	7	4	10	10	10	4	7	7	4	5	4	7	4	7	4	4	10	10	5	4	4	10	5	5	7	4	10					
12	Число выданных открепительных удостоверений	250	20	50	4	10	5	16	20	13	9	11	7	10	6	2	0	3	2	0	0	1	0	0	10	1	3	1	1	0	0	2	1	6	0	4	0	0	4	2	0	2	5	0	1	1	2	2	0	0	7	0	1	0	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	138	15	7	0	2	1	14	5	1	1	5	5	5	0	1	0	4	2	4	0	1	5	2	4	0	3	3	0	1	1	3	1	1	1	4	0	1	0	0	5	1	4	4	1	2	1	3	0	2	4	2	3	1	0	2					
14	Число неиспользованных открепительных удостоверений	246	0	0	6	10	12	4	0	4	1	9	8	0	2	5	8	4	2	10	7	6	4	4	0	3	4	3	3	7	4	8	9	4	4	3	7	4	1	2	7	2	2	4	3	9	8	3	4	4	3	5	4	7	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	1547	96	97	55	186	86	90	82	81	69	104	66	46	27	9	20	6	3	24	12	19	1	4	7	4	17	3	11	9	2	34	24	10	5	15	5	8	9	6	9	7	14	5	12	22	20	5	0	1	25	13	9	23	7	23					
