Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Саратовская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572					
1	"Число избирателей, внесенных в список"	34760	763	101	1269	567	1368	266	1491	1208	1547	693	135	612	1041	878	168	131	976	302	780	554	329	166	889	238	2492	2825	1533	660	151	1084	1510	197	1597	1507	502	1523	219	390	1302	436	360					
2	Число полученных избирательных бюллетеней	34600	753	102	1257	572	1398	269	1497	1198	1538	671	137	610	1042	865	170	132	954	301	765	554	325	162	885	238	2506	2801	1531	669	146	1106	1517	201	1557	1489	503	1527	224	390	1264	419	355					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29453	447	89	1045	464	1145	217	1441	963	1428	625	61	510	930	823	128	115	851	257	670	450	287	118	751	197	2127	2454	1292	569	144	923	1217	139	1306	1270	431	1356	185	347	1045	376	260					
5	"Число избирательных бюллетеней, выданных вне помещения"	1620	178	3	48	25	24	11	9	140	42	0	68	72	37	30	37	9	54	14	80	21	4	35	55	11	23	13	67	10	0	32	69	31	51	44	16	13	15	0	140	30	59					
6	Число погашенных избирательных бюллетеней	3527	128	10	164	83	229	41	47	95	68	46	8	28	75	12	5	8	49	30	15	83	34	9	79	30	356	334	172	90	2	151	231	31	200	175	56	158	24	43	79	13	36					
7	Число избирательных бюллетеней в переносных ящиках	1620	178	3	48	25	24	11	9	140	42	0	68	72	37	30	37	9	54	14	80	21	4	35	55	11	23	13	67	10	0	32	69	31	51	44	16	13	15	0	140	30	59					
8	Число бюллетеней в стационарных ящиках для голосования	29451	447	89	1043	464	1145	217	1441	963	1428	625	61	510	930	823	128	115	851	257	670	450	287	118	751	197	2127	2454	1292	569	144	923	1217	139	1306	1270	431	1356	185	347	1045	376	260					
9	Число недействительных избирательных бюллетеней	200	6	0	8	0	4	0	0	7	4	5	0	2	8	0	0	0	114	22	0	0	0	0	0	0	0	5	8	0	4	0	0	1	0	0	0	0	0	2	0	0	0					
10	Число действительных избирательных бюллетеней	30871	619	92	1083	489	1165	228	1450	1096	1466	620	129	580	959	853	165	124	791	249	750	471	291	153	806	208	2150	2462	1351	579	140	955	1286	169	1357	1314	447	1369	200	345	1185	406	319					
