Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Кулебакская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173					
1	"Число избирателей, внесенных в список"	45813	963	1077	1353	953	1226	1165	1122	1112	1185	2201	1346	1242	1530	1442	1313	1370	1447	1201	1244	1621	1292	1346	1406	2534	214	330	832	1157	1429	948	1617	1504	965	1393	274	183	679	1597					
2	Число полученных избирательных бюллетеней	44658	950	1100	1300	1000	1200	1250	1100	1100	1200	2200	1300	1250	1500	1300	1250	1350	1450	1150	1200	1550	1200	1350	1350	2400	200	350	820	1100	1400	900	1550	1450	950	1350	260	178	650	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22759	554	552	739	537	673	692	636	597	672	1182	682	681	706	625	566	605	604	566	500	748	539	638	657	999	90	211	438	597	659	443	750	695	509	676	110	97	330	1204					
5	"Число избирательных бюллетеней, выданных вне помещения"	2558	49	42	44	29	42	23	41	26	36	29	38	24	77	174	119	87	127	56	65	90	114	85	95	132	45	31	30	98	190	48	68	45	122	45	72	24	79	17					
6	Число погашенных избирательных бюллетеней	19341	347	506	517	434	485	535	423	477	492	989	580	545	717	501	565	658	719	528	635	712	547	627	598	1269	65	108	352	405	551	409	732	710	319	629	78	57	241	279					
7	Число избирательных бюллетеней в переносных ящиках	2558	49	42	44	29	42	23	41	26	36	29	38	24	77	174	119	87	127	56	65	90	114	85	95	132	45	31	30	98	190	48	68	45	122	45	72	24	79	17					
8	Число бюллетеней в стационарных ящиках для голосования	22757	554	552	739	537	673	692	636	597	672	1182	682	681	706	625	566	604	604	566	500	748	539	637	657	999	90	211	438	597	659	443	750	695	509	676	110	97	330	1204					
9	Число недействительных избирательных бюллетеней	189	7	6	4	2	3	5	5	7	4	8	10	4	8	4	3	4	3	4	2	10	5	5	11	4	2	4	1	6	3	1	11	2	4	10	0	0	4	13					
10	Число действительных избирательных бюллетеней	25126	596	588	779	564	712	710	672	616	704	1203	710	701	775	795	682	687	728	618	563	828	648	717	741	1127	133	238	467	689	846	490	807	738	627	711	182	121	405	1208					
11	Число полученных открепительных  удостоверений	488	12	12	12	12	12	12	12	14	12	20	12	12	12	12	12	12	12	12	12	12	12	12	12	20	10	10	18	10	18	10	10	10	10	10	8	8	10	40					
12	Число выданных открепительных удостоверений	220	1	9	5	5	3	7	6	12	6	20	7	12	11	5	1	1	3	6	1	6	5	3	1	12	0	2	13	3	16	0	2	2	2	5	0	1	2	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	132	1	5	11	3	0	7	1	2	3	2	1	0	1	12	0	3	7	4	0	10	16	1	12	2	1	0	2	1	3	2	2	2	0	2	1	3	0	9					
14	Число неиспользованных открепительных удостоверений	268	11	3	7	7	9	5	6	2	6	0	5	0	1	7	11	11	9	6	11	6	7	9	11	8	10	8	5	7	2	10	8	8	8	5	8	7	8	16					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
