Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Хабарская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760					
1	"Число избирателей, внесенных в список"	14855	2337	1496	840	953	1417	233	277	567	314	920	716	78	252	745	334	122	733	229	474	142	1676					
2	Число полученных избирательных бюллетеней	13659	2100	1400	750	850	1300	227	275	510	313	820	670	81	252	700	334	121	670	231	430	140	1485					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10553	1687	984	570	678	982	188	197	423	228	722	549	66	185	534	238	97	530	190	347	105	1053					
5	"Число избирательных бюллетеней, выданных вне помещения"	934	109	71	33	86	50	16	33	28	15	53	61	10	26	70	42	8	85	0	12	14	112					
6	Число погашенных избирательных бюллетеней	2172	304	345	147	86	268	23	45	59	70	45	60	5	41	96	54	16	55	41	71	21	320					
7	Число избирательных бюллетеней в переносных ящиках	934	109	71	33	86	50	16	33	28	15	53	61	10	26	70	42	8	85	0	12	14	112					
8	Число бюллетеней в стационарных ящиках для голосования	10548	1684	984	570	678	982	188	197	423	227	722	549	66	185	533	238	97	530	190	347	105	1053					
9	Число недействительных избирательных бюллетеней	123	14	10	5	6	10	0	5	13	6	5	12	0	4	5	1	2	6	3	5	1	10					
10	Число действительных избирательных бюллетеней	11359	1779	1045	598	758	1022	204	225	438	236	770	598	76	207	598	279	103	609	187	354	118	1155					
11	Число полученных открепительных  удостоверений	186	12	12	12	10	10	6	6	10	6	10	10	6	6	10	6	6	16	6	10	6	10					
12	Число выданных открепительных удостоверений	54	9	4	1	1	4	0	1	0	2	4	1	0	0	2	3	1	12	1	0	0	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	12	3	1	1	2	1	2	0	0	4	3	2	0	2	2	1	5	1	1	1	2					
14	Число неиспользованных открепительных удостоверений	132	3	8	11	9	6	6	5	10	4	6	9	6	6	8	3	5	4	5	10	6	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	256	66	26	21	21	25	1	6	8	5	11	15	3	3	2	3	0	4	2	7	2	25					
		2.23%	3.68%	2.46%	3.48%	2.75%	2.42%	0.49%	2.61%	1.77%	2.07%	1.42%	2.46%	3.95%	1.42%	0.33%	1.07%	0.00%	0.65%	1.05%	1.95%	1.68%	2.15%					
19	. Малышкин Олег Александрович	335	37	18	17	9	40	15	7	10	8	39	12	0	9	13	1	5	44	2	17	9	23					
		2.92%	2.06%	1.71%	2.82%	1.18%	3.88%	7.35%	3.04%	2.22%	3.31%	5.03%	1.97%	0.00%	4.27%	2.16%	0.36%	4.76%	7.15%	1.05%	4.74%	7.56%	1.97%					
20	. Миронов Сергей Михайлович	64	7	8	4	2	9	1	0	8	2	4	3	0	0	3	1	0	1	1	2	0	8					
		0.56%	0.39%	0.76%	0.66%	0.26%	0.87%	0.49%	0.00%	1.77%	0.83%	0.52%	0.49%	0.00%	0.00%	0.50%	0.36%	0.00%	0.16%	0.53%	0.56%	0.00%	0.69%					
21	. Путин Владимир Владимирович	7840	1285	776	396	576	699	163	179	261	167	435	402	51	146	338	216	70	401	111	267	76	825					
		68.28%	71.67%	73.55%	65.67%	75.39%	67.73%	79.90%	77.83%	57.87%	69.01%	56.13%	65.90%	67.11%	69.19%	56.05%	77.14%	66.67%	65.20%	58.42%	74.37%	63.87%	70.82%					
22	. Хакамада Ирина Муцуовна	145	19	14	8	6	15	6	4	6	8	11	14	0	0	9	0	0	4	3	1	2	15					
		1.26%	1.06%	1.33%	1.33%	0.79%	1.45%	2.94%	1.74%	1.33%	3.31%	1.42%	2.30%	0.00%	0.00%	1.49%	0.00%	0.00%	0.65%	1.58%	0.28%	1.68%	1.29%					
23	. Харитонов Николай Михайлович	2590	341	194	143	138	226	15	26	136	38	265	146	20	48	232	56	27	153	63	56	28	239					
		22.56%	19.02%	18.39%	23.71%	18.06%	21.90%	7.35%	11.30%	30.16%	15.70%	34.19%	23.93%	26.32%	22.75%	38.47%	20.00%	25.71%	24.88%	33.16%	15.60%	23.53%	20.52%					
																												
24	Против всех	129	24	9	9	6	8	3	3	9	8	5	6	2	1	1	2	1	2	5	4	1	20					
		1.12%	1.34%	0.85%	1.49%	0.79%	0.78%	1.47%	1.30%	2.00%	3.31%	0.65%	0.98%	2.63%	0.47%	0.17%	0.71%	0.95%	0.33%	2.63%	1.11%	0.84%	1.72%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
