Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Тутаевская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804					
1	"Число избирателей, внесенных в список"	47656	1975	1536	1480	2086	2683	1642	1844	2227	2771	2527	2613	2910	3042	2805	2334	2448	2330	405	180	500	285	325	332	229	117	322	305	382	116	227	137	149	363	221	119	797	1872	474	546					
2	Число полученных избирательных бюллетеней	45090	1800	1400	1300	2000	2500	1500	1800	2000	2700	2300	2300	2800	2900	2600	2200	2400	2200	400	200	500	280	480	330	230	120	300	300	390	110	230	140	130	360	220	120	800	1800	450	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27424	985	742	805	1136	1739	975	1178	1348	1617	1607	1514	1748	1814	1742	1474	1444	1310	208	45	230	128	133	115	137	70	166	109	176	45	135	85	86	138	87	51	437	1204	186	275					
5	"Число избирательных бюллетеней, выданных вне помещения"	2130	44	50	22	87	47	17	20	13	15	22	27	66	107	40	29	73	86	20	38	116	62	191	115	33	23	60	126	96	26	12	8	19	94	53	27	37	94	74	41					
6	Число погашенных избирательных бюллетеней	15536	771	608	473	777	714	508	602	639	1068	671	759	986	979	818	697	883	804	172	117	154	90	156	100	60	27	74	65	118	39	83	47	25	128	80	42	326	502	190	184					
7	Число избирательных бюллетеней в переносных ящиках	2130	44	50	22	87	47	17	20	13	15	22	27	66	107	40	29	73	86	20	38	116	62	191	115	33	23	60	126	96	26	12	8	19	94	53	27	37	94	74	41					
8	Число бюллетеней в стационарных ящиках для голосования	27370	981	710	805	1136	1737	975	1178	1343	1617	1605	1513	1748	1811	1742	1471	1444	1310	208	45	230	128	133	115	137	70	166	109	174	45	135	85	86	138	87	51	437	1204	186	275					
9	Число недействительных избирательных бюллетеней	250	13	16	12	15	17	5	6	8	8	6	5	9	9	5	5	25	20	7	1	1	2	1	2	1	3	5	1	4	0	2	3	1	5	2	1	7	7	4	6					
10	Число действительных избирательных бюллетеней	29250	1012	744	815	1208	1767	987	1192	1348	1624	1621	1535	1805	1909	1777	1495	1492	1376	221	82	345	188	323	228	169	90	221	234	266	71	145	90	104	227	138	77	467	1291	256	310					
11	Число полученных открепительных  удостоверений	1376	55	45	40	60	80	50	55	65	80	70	70	85	85	80	65	70	65	12	6	15	10	15	10	7	4	10	10	10	3	7	4	4	10	6	3	24	55	15	16					
12	Число выданных открепительных удостоверений	193	9	6	4	6	13	10	6	11	17	4	9	14	10	19	8	5	4	1	0	2	0	1	1	1	1	0	0	1	0	3	3	1	2	0	1	0	14	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	143	17	16	4	4	4	0	2	1	8	4	6	3	5	4	6	6	9	3	1	6	1	2	2	3	3	1	1	0	1	2	1	4	0	1	1	2	6	2	1					
14	Число неиспользованных открепительных удостоверений	1183	46	39	36	54	67	40	49	54	63	66	61	71	75	61	57	65	61	11	6	13	10	14	9	6	3	10	10	9	3	4	1	3	8	6	2	24	41	14	11					
