Выборы Президента Российской Федерации									
									
Наименование Избирательной комиссии:    Верхнедубровская поселковая									
									
Итоги голосования 									
									
		Сумма	УИК №2569	УИК №2570					
1	"Число избирателей, внесенных в список"	3716	1826	1890					
2	Число полученных избирательных бюллетеней	3800	1800	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2284	1218	1066					
5	"Число избирательных бюллетеней, выданных вне помещения"	81	18	63					
6	Число погашенных избирательных бюллетеней	1435	564	871					
7	Число избирательных бюллетеней в переносных ящиках	81	18	63					
8	Число бюллетеней в стационарных ящиках для голосования	2284	1218	1066					
9	Число недействительных избирательных бюллетеней	26	11	15					
10	Число действительных избирательных бюллетеней	2339	1225	1114					
11	Число полученных открепительных  удостоверений	98	49	49					
12	Число выданных открепительных удостоверений	23	10	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	11	10					
14	Число неиспользованных открепительных удостоверений	75	39	36					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0					
"Число голосов избирателей, поданных за каждый список"									
18	. Глазьев Сергей Юрьевич	43	27	16					
		1.82%	2.18%	1.42%					
19	. Малышкин Олег Александрович	42	25	17					
		1.78%	2.02%	1.51%					
20	. Миронов Сергей Михайлович	9	3	6					
		0.38%	0.24%	0.53%					
21	. Путин Владимир Владимирович	2024	1065	959					
		85.58%	86.17%	84.94%					
22	. Хакамада Ирина Муцуовна	75	42	33					
		3.17%	3.40%	2.92%					
23	. Харитонов Николай Михайлович	107	42	65					
		4.52%	3.40%	5.76%					
									
24	Против всех	39	21	18					
		1.65%	1.70%	1.59%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
