Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Гвардейская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72					
1	"Число избирателей, внесенных в список"	22967	1634	1588	1390	1592	1302	1243	792	1388	1266	1311	1517	1969	795	624	460	725	1084	1153	721	413					
2	Число полученных избирательных бюллетеней	22900	1600	1600	1300	1500	1300	1200	700	1300	1300	1300	1500	2100	900	700	400	700	1200	1200	700	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12421	899	862	770	835	676	718	577	774	619	696	913	991	434	298	248	372	529	613	358	239					
5	"Число избирательных бюллетеней, выданных вне помещения"	827	28	13	16	18	14	12	35	9	58	56	26	41	29	52	48	111	81	85	57	38					
6	Число погашенных избирательных бюллетеней	9652	673	725	514	647	610	470	88	517	623	548	561	1068	437	350	104	217	590	502	285	123					
7	Число избирательных бюллетеней в переносных ящиках	827	28	13	16	18	14	12	35	9	58	56	26	41	29	52	48	111	81	85	57	38					
8	Число бюллетеней в стационарных ящиках для голосования	12416	896	862	770	835	675	717	577	774	619	696	913	991	434	298	248	372	529	613	358	239					
9	Число недействительных избирательных бюллетеней	119	5	2	6	2	9	6	3	10	7	14	6	12	9	9	2	1	0	9	6	1					
10	Число действительных избирательных бюллетеней	13124	919	873	780	851	680	723	609	773	670	738	933	1020	454	341	294	482	610	689	409	276					
11	Число полученных открепительных  удостоверений	215	10	10	15	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	95	4	8	11	7	4	7	1	3	3	7	9	5	2	1	1	1	6	5	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	3	8	1	5	9	2	0	3	6	5	5	2	3	2	3	1	2	2	1	1					
14	Число неиспользованных открепительных удостоверений	120	6	2	4	3	6	3	9	7	7	3	11	5	8	9	9	9	4	5	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	480	56	48	49	57	30	44	11	28	24	31	20	12	11	6	2	4	10	14	16	7					
		3.62%	6.06%	5.49%	6.23%	6.68%	4.35%	6.04%	1.80%	3.58%	3.55%	4.12%	2.13%	1.16%	2.38%	1.71%	0.68%	0.83%	1.64%	2.01%	3.86%	2.53%					
19	. Малышкин Олег Александрович	282	21	20	20	13	16	26	13	15	16	12	16	17	5	9	13	4	9	25	9	3					
		2.13%	2.27%	2.29%	2.54%	1.52%	2.32%	3.57%	2.12%	1.92%	2.36%	1.60%	1.70%	1.65%	1.08%	2.57%	4.39%	0.83%	1.48%	3.58%	2.17%	1.08%					
20	. Миронов Сергей Михайлович	97	12	5	6	5	5	1	2	5	3	13	9	5	3	3	1	0	5	5	7	2					
		0.73%	1.30%	0.57%	0.76%	0.59%	0.73%	0.14%	0.33%	0.64%	0.44%	1.73%	0.96%	0.48%	0.65%	0.86%	0.34%	0.00%	0.82%	0.72%	1.69%	0.72%					
21	. Путин Владимир Владимирович	9845	618	607	523	595	473	510	517	554	508	554	716	827	384	244	235	423	517	532	298	210					
		74.34%	66.88%	69.37%	66.54%	69.75%	68.65%	69.96%	84.48%	70.75%	75.04%	73.67%	76.25%	80.14%	82.94%	69.71%	79.39%	87.58%	84.75%	76.22%	71.81%	75.81%					
22	. Хакамада Ирина Муцуовна	340	32	25	30	33	23	22	10	25	11	12	34	16	14	6	6	12	11	5	10	3					
		2.57%	3.46%	2.86%	3.82%	3.87%	3.34%	3.02%	1.63%	3.19%	1.62%	1.60%	3.62%	1.55%	3.02%	1.71%	2.03%	2.48%	1.80%	0.72%	2.41%	1.08%					
23	. Харитонов Николай Михайлович	1540	112	117	117	92	112	72	38	114	92	98	94	104	24	59	29	33	38	90	57	48					
		11.63%	12.12%	13.37%	14.89%	10.79%	16.26%	9.88%	6.21%	14.56%	13.59%	13.03%	10.01%	10.08%	5.18%	16.86%	9.80%	6.83%	6.23%	12.89%	13.73%	17.33%					
																											
24	Против всех	540	68	51	35	56	21	48	18	32	16	18	44	39	13	14	8	6	20	18	12	3					
		4.08%	7.36%	5.83%	4.45%	6.57%	3.05%	6.58%	2.94%	4.09%	2.36%	2.39%	4.69%	3.78%	2.81%	4.00%	2.70%	1.24%	3.28%	2.58%	2.89%	1.08%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
