Выборы Президента Российской Федерации										
										
Наименование Избирательной комиссии:    Кузнечненская										
										
Итоги голосования 										
										
		Сумма	УИК №805	УИК №806	УИК №807					
1	"Число избирателей, внесенных в список"	4101	923	1616	1562					
2	Число полученных избирательных бюллетеней	4114	922	1625	1567					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2514	510	1002	1002					
5	"Число избирательных бюллетеней, выданных вне помещения"	52	18	16	18					
6	Число погашенных избирательных бюллетеней	1548	394	607	547					
7	Число избирательных бюллетеней в переносных ящиках	52	18	16	18					
8	Число бюллетеней в стационарных ящиках для голосования	2514	510	1002	1002					
9	Число недействительных избирательных бюллетеней	27	6	11	10					
10	Число действительных избирательных бюллетеней	2539	522	1007	1010					
11	Число полученных открепительных  удостоверений	57	7	28	22					
12	Число выданных открепительных удостоверений	39	2	21	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	1	7	1					
14	Число неиспользованных открепительных удостоверений	18	5	7	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"										
18	. Глазьев Сергей Юрьевич	71	10	25	36					
		2.77%	1.89%	2.46%	3.53%					
19	. Малышкин Олег Александрович	66	13	25	28					
		2.57%	2.46%	2.46%	2.75%					
20	. Миронов Сергей Михайлович	45	7	20	18					
		1.75%	1.33%	1.96%	1.76%					
21	. Путин Владимир Владимирович	1951	416	798	737					
		76.03%	78.79%	78.39%	72.25%					
22	. Хакамада Ирина Муцуовна	44	7	16	21					
		1.71%	1.33%	1.57%	2.06%					
23	. Харитонов Николай Михайлович	277	59	92	126					
		10.80%	11.17%	9.04%	12.35%					
										
24	Против всех	85	10	31	44					
		3.31%	1.89%	3.05%	4.31%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
