Выборы Президента Российской Федерации																																																			
Дата голосования: 18.03.2018																																																			
																																																			
Наименование Избирательной комиссии:    Мечетлинская																																																			
																																																			
Сводная таблица итогов голосования																																																			
																																																			
	Число участковых избирательных комиссий	40																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	40																																																	
																																																			
		Сумма	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642									
16	Путин Владимир Владимирович	11820	142	831	913	975	380	361	545	295	179	275	97	125	161	263	152	155	421	113	382	112	120	110	137	256	179	257	487	154	213	112	731	134	117	260	318	116	575	171	110	386									
		81.44%	79.78%	61.60%	81.01%	63.56%	88.79%	86.99%	86.10%	89.39%	89.50%	87.30%	78.23%	80.65%	87.50%	84.03%	80.00%	89.08%	85.22%	89.68%	90.74%	91.80%	90.91%	90.16%	89.54%	74.85%	89.05%	90.18%	89.36%	86.03%	80.99%	82.35%	91.38%	88.74%	82.39%	84.42%	91.12%	88.55%	85.44%	87.69%	83.97%	83.19%									
17	Собчак Ксения Анатольевна	84	2	18	7	18	0	3	1	0	1	4	0	0	1	3	1	0	3	0	0	0	1	0	0	1	0	1	3	2	1	1	1	1	0	2	0	0	7	0	1	0									
		0.58%	1.12%	1.33%	0.62%	1.17%	0.00%	0.72%	0.16%	0.00%	0.50%	1.27%	0.00%	0.00%	0.54%	0.96%	0.53%	0.00%	0.61%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.29%	0.00%	0.35%	0.55%	1.12%	0.38%	0.74%	0.13%	0.66%	0.00%	0.65%	0.00%	0.00%	1.04%	0.00%	0.76%	0.00%									
18	Сурайкин Максим Александрович	94	3	24	4	13	0	1	0	4	3	1	0	0	0	0	1	0	2	0	4	0	1	2	0	3	0	0	4	2	4	0	1	0	1	1	0	0	5	5	2	3									
		0.65%	1.69%	1.78%	0.35%	0.85%	0.00%	0.24%	0.00%	1.21%	1.50%	0.32%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.40%	0.00%	0.95%	0.00%	0.76%	1.64%	0.00%	0.88%	0.00%	0.00%	0.73%	1.12%	1.52%	0.00%	0.13%	0.00%	0.70%	0.32%	0.00%	0.00%	0.74%	2.56%	1.53%	0.65%									
19	Титов Борис Юрьевич	60	0	13	8	15	0	4	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	4	0	1	0	1	0	0	1	0	0	3	2	0	1									
		0.41%	0.00%	0.96%	0.71%	0.98%	0.00%	0.96%	0.00%	0.30%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.20%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.73%	0.00%	0.38%	0.00%	0.13%	0.00%	0.00%	0.32%	0.00%	0.00%	0.45%	1.03%	0.00%	0.22%									
20	Явлинский Григорий Алексеевич	52	0	8	4	10	0	15	2	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	1	0	0	2									
		0.36%	0.00%	0.59%	0.35%	0.65%	0.00%	3.61%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.64%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.76%	0.00%	0.13%	0.00%	0.00%	0.32%	0.00%	0.00%	0.15%	0.00%	0.00%	0.43%									
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
