Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Мечетлинская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887	УИК №2888	УИК №2889	УИК №2890	УИК №2891	УИК №2892	УИК №2893	УИК №2894	УИК №2895	УИК №2896	УИК №2897	УИК №2898	УИК №2899	УИК №2900	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928					
1	"Число избирателей, внесенных в список"	16910	176	381	775	2320	1214	529	181	196	390	411	360	225	126	324	443	555	192	219	155	198	207	187	517	143	126	154	135	320	221	332	267	290	273	530	215	232	377	190	169	334	177	365	149	607	409	139	475					
2	Число полученных избирательных бюллетеней	17153	174	391	791	2328	1251	552	197	205	425	412	357	225	124	311	444	553	195	221	156	195	221	189	558	140	127	154	141	320	219	333	273	292	271	542	215	235	392	191	170	340	187	360	145	600	405	135	491					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15240	171	342	731	2103	1115	442	164	179	359	366	317	215	119	290	414	537	189	208	143	189	203	181	438	133	124	150	127	300	212	297	250	261	258	351	193	198	327	175	157	308	162	329	138	489	328	126	432					
5	"Число избирательных бюллетеней, выданных вне помещения"	831	0	19	9	56	62	69	12	13	25	34	19	9	5	12	25	11	3	11	10	6	4	6	33	6	2	4	4	20	7	20	12	20	7	57	15	22	30	12	10	12	15	28	6	23	22	9	15					
6	Число погашенных избирательных бюллетеней	1082	3	30	51	169	74	41	21	13	41	12	21	1	0	9	5	5	3	2	3	0	14	2	87	1	1	0	10	0	0	16	11	11	6	134	7	15	35	4	3	20	10	3	1	88	55	0	44					
7	Число избирательных бюллетеней в переносных ящиках	831	0	19	9	56	62	69	12	13	25	34	19	9	5	12	25	11	3	11	10	6	4	6	33	6	2	4	4	20	7	20	12	20	7	57	15	22	30	12	10	12	15	28	6	23	22	9	15					
8	Число бюллетеней в стационарных ящиках для голосования	15240	171	342	731	2103	1115	442	164	179	359	366	317	215	119	290	414	537	189	208	143	189	203	181	438	133	124	150	127	300	212	297	250	261	258	351	193	198	327	175	157	308	162	329	138	489	328	126	432					
9	Число недействительных избирательных бюллетеней	163	0	3	3	18	7	2	0	0	3	22	2	2	0	8	11	4	0	0	3	0	0	4	13	0	2	0	3	0	0	2	2	3	0	5	2	0	5	0	2	0	2	3	2	4	17	0	4					
10	Число действительных избирательных бюллетеней	15908	171	358	737	2141	1170	509	176	192	381	378	334	222	124	294	428	544	192	219	150	195	207	183	458	139	124	154	128	320	219	315	260	278	265	403	206	220	352	187	165	320	175	354	142	508	333	135	443					
11	Число полученных открепительных  удостоверений	417	3	7	22	40	24	8	8	4	20	7	6	4	2	11	9	10	3	7	3	3	10	5	40	7	2	2	12	8	3	5	10	4	4	8	2	4	7	2	2	16	7	5	4	20	7	2	18					
12	Число выданных открепительных удостоверений	328	0	4	18	31	17	7	8	4	17	7	6	2	0	11	9	1	2	7	3	3	7	5	40	7	2	0	8	6	3	4	6	2	4	3	2	4	7	1	1	10	7	5	0	14	3	2	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	192	0	2	9	6	4	103	0	0	1	0	0	1	2	7	2	5	0	2	1	0	2	2	10	1	0	2	1	0	1	1	2	1	1	3	0	0	2	0	2	3	1	3	1	3	0	1	4					
14	Число неиспользованных открепительных удостоверений	89	3	3	4	9	7	1	0	0	3	0	0	2	2	0	0	9	1	0	0	0	3	0	0	0	0	2	4	2	0	1	4	2	0	5	0	0	0	1	1	6	0	0	4	6	4	0	0					
