Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Солнечная																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №449	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718					
1	"Число избирателей, внесенных в список"	26728	1159	1418	1796	2080	1488	936	1250	1450	895	25	235	1422	1538	416	1738	797	330	672	1037	1351	583	1504	1766	370	472					
2	Число полученных избирательных бюллетеней	26839	1123	1447	1820	2124	1519	967	1275	1430	751	29	228	1438	1571	423	1734	794	339	681	1060	1401	571	1521	1755	369	469					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16297	438	788	1183	1374	1035	660	731	1112	502	21	158	851	927	251	843	406	291	398	624	800	529	842	887	265	381					
5	"Число избирательных бюллетеней, выданных вне помещения"	1611	258	122	49	22	53	27	37	13	93	0	13	75	78	30	114	75	6	22	46	132	0	109	220	12	5					
6	Число погашенных избирательных бюллетеней	8931	427	537	588	728	431	280	507	305	156	8	57	512	566	142	777	313	42	261	390	469	42	570	648	92	83					
7	Число избирательных бюллетеней в переносных ящиках	1610	258	122	49	22	53	27	36	13	93	0	13	75	78	30	114	75	6	22	46	132	0	109	220	12	5					
8	Число бюллетеней в стационарных ящиках для голосования	16294	438	788	1183	1372	1035	660	731	1112	502	21	158	851	927	251	843	406	291	398	624	800	529	841	887	265	381					
9	Число недействительных избирательных бюллетеней	182	7	7	12	20	12	4	6	9	4	0	1	12	21	1	13	16	0	7	4	6	1	12	4	2	1					
10	Число действительных избирательных бюллетеней	17722	689	903	1220	1374	1076	683	761	1116	591	21	170	914	984	280	944	465	297	413	666	926	528	938	1103	275	385					
11	Число полученных открепительных  удостоверений	895	50	20	50	53	50	30	30	40	14	3	20	20	40	15	50	30	20	30	50	50	30	70	70	30	30					
12	Число выданных открепительных удостоверений	502	10	20	27	53	27	20	26	31	11	3	0	13	36	10	6	8	12	13	27	50	12	41	24	10	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	200	12	6	8	23	6	6	1	6	4	1	9	9	13	6	8	9	5	8	8	10	2	7	13	6	14					
14	Число неиспользованных открепительных удостоверений	393	40	0	23	0	23	10	4	9	3	0	20	7	4	5	44	22	8	17	23	0	18	29	46	20	18					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	939	19	54	91	106	95	45	69	47	47	2	4	47	48	6	40	14	5	9	41	42	12	34	35	11	16					
		5.24%	2.73%	5.93%	7.39%	7.60%	8.73%	6.55%	9.00%	4.18%	7.90%	9.52%	2.34%	5.08%	4.78%	2.14%	4.18%	2.91%	1.68%	2.14%	6.12%	4.51%	2.27%	3.58%	3.16%	3.97%	4.15%					
19	. Малышкин Олег Александрович	656	17	36	49	54	35	24	33	35	11	0	8	34	50	4	45	23	4	8	42	48	15	22	30	13	16					
		3.66%	2.44%	3.96%	3.98%	3.87%	3.22%	3.49%	4.30%	3.11%	1.85%	0.00%	4.68%	3.67%	4.98%	1.42%	4.70%	4.78%	1.35%	1.90%	6.27%	5.15%	2.84%	2.32%	2.71%	4.69%	4.15%					
20	. Миронов Сергей Михайлович	194	2	13	21	20	9	8	8	7	13	0	1	8	9	3	14	4	2	8	8	7	2	8	15	4	0					
		1.08%	0.29%	1.43%	1.70%	1.43%	0.83%	1.16%	1.04%	0.62%	2.18%	0.00%	0.58%	0.86%	0.90%	1.07%	1.46%	0.83%	0.67%	1.90%	1.19%	0.75%	0.38%	0.84%	1.36%	1.44%	0.00%					
21	. Путин Владимир Владимирович	11643	524	483	671	799	586	388	422	743	354	13	135	597	620	233	622	311	243	341	455	714	451	673	785	207	273					
		65.03%	75.29%	53.08%	54.46%	57.32%	53.86%	56.48%	55.02%	66.04%	59.50%	61.90%	78.95%	64.47%	61.69%	82.92%	64.99%	64.66%	81.82%	81.19%	67.91%	76.61%	85.26%	70.84%	70.91%	74.73%	70.73%					
22	. Хакамада Ирина Муцуовна	670	14	37	51	76	64	27	31	71	23	0	5	12	44	2	40	23	22	15	16	11	13	28	29	7	9					
		3.74%	2.01%	4.07%	4.14%	5.45%	5.88%	3.93%	4.04%	6.31%	3.87%	0.00%	2.92%	1.30%	4.38%	0.71%	4.18%	4.78%	7.41%	3.57%	2.39%	1.18%	2.46%	2.95%	2.62%	2.53%	2.33%					
23	. Харитонов Николай Михайлович	2688	89	214	268	232	228	155	160	110	107	6	16	198	154	24	101	61	16	26	80	63	10	126	164	23	57					
		15.01%	12.79%	23.52%	21.75%	16.64%	20.96%	22.56%	20.86%	9.78%	17.98%	28.57%	9.36%	21.38%	15.32%	8.54%	10.55%	12.68%	5.39%	6.19%	11.94%	6.76%	1.89%	13.26%	14.81%	8.30%	14.77%					
																																
24	Против всех	932	24	66	69	87	59	36	38	103	36	0	1	18	59	8	82	29	5	6	24	41	25	47	45	10	14					
		5.21%	3.45%	7.25%	5.60%	6.24%	5.42%	5.24%	4.95%	9.16%	6.05%	0.00%	0.58%	1.94%	5.87%	2.85%	8.57%	6.03%	1.68%	1.43%	3.58%	4.40%	4.73%	4.95%	4.07%	3.61%	3.63%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
