Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
Наименование Избирательной комиссии:    Можайская																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1204	25	20	12	20	26	23	34	25	20	33	52	22	29	27	30	20	30	8	35	20	25	15	16	30	13	12	12	14	16	15	15	6	6	8	10	8	9	16	6	39	8	15	15	18	5	20	22	20	36	6	28	21	6	10	10	9	15	6	12	45	75					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	990	24	11	12	9	26	23	34	19	14	26	42	22	25	16	26	16	27	4	34	15	25	15	16	30	13	10	4	7	10	11	15	6	6	8	3	7	5	16	2	39	7	13	12	18	0	11	5	8	36	6	24	13	1	10	10	7	14	1	7	42	72					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1224	43	72	6	13	25	11	12	24	14	10	22	14	22	7	17	3	10	8	13	10	7	12	7	6	356	6	23	12	8	8	12	7	2	4	5	10	11	11	13	35	92	7	6	6	0	5	8	28	28	10	4	2	12	7	8	3	10	5	6	51	15					
14	Число погашенных неиспользованных открепительных удостоверений	214	1	9	0	11	0	0	0	6	6	7	10	0	4	11	4	4	3	4	1	5	0	0	0	0	0	2	8	7	6	4	0	0	0	0	7	1	4	0	4	0	1	2	3	0	5	9	17	12	0	0	4	8	5	0	0	2	1	5	5	3	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	2	3	0	1	3	2	1	1	0	0	2	1	2	0	1	0	0	1	1	4	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4353	120	81	52	69	108	109	147	119	80	124	185	84	104	82	129	66	133	44	120	57	85	101	69	116	81	41	53	50	67	53	57	33	16	17	57	33	29	43	20	99	34	72	43	41	22	89	63	72	105	29	78	117	28	27	41	22	33	24	45	71	164					
		15.12%	17.39%	14.92%	20.63%	15.00%	13.52%	16.05%	17.05%	14.55%	16.33%	14.80%	18.37%	15.53%	15.34%	13.02%	18.56%	12.77%	18.24%	21.26%	16.19%	12.47%	17.53%	17.57%	15.37%	16.93%	11.44%	11.75%	16.93%	16.45%	15.69%	14.25%	13.70%	20.37%	14.95%	9.88%	20.21%	17.65%	13.30%	15.03%	15.50%	14.98%	15.53%	18.99%	13.61%	12.09%	15.71%	16.73%	13.43%	16.74%	15.42%	16.57%	15.98%	21.23%	17.72%	13.71%	16.53%	11.89%	13.69%	12.06%	12.57%	8.28%	9.60%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4527	114	89	37	69	111	78	139	108	51	106	157	80	100	78	92	114	128	32	130	81	82	85	76	111	192	57	55	43	48	48	89	19	10	37	39	29	40	52	14	94	29	60	35	52	18	65	63	61	108	22	64	79	31	35	35	32	36	24	43	142	379					
		15.72%	16.52%	16.39%	14.68%	15.00%	13.89%	11.49%	16.13%	13.20%	10.41%	12.65%	15.59%	14.79%	14.75%	12.38%	13.24%	22.05%	17.56%	15.46%	17.54%	17.72%	16.91%	14.78%	16.93%	16.20%	27.12%	16.33%	17.57%	14.14%	11.24%	12.90%	21.39%	11.73%	9.35%	21.51%	13.83%	15.51%	18.35%	18.18%	10.85%	14.22%	13.24%	15.83%	11.08%	15.34%	12.86%	12.22%	13.43%	14.19%	15.86%	12.57%	13.11%	14.34%	19.62%	17.77%	14.11%	17.30%	14.94%	12.06%	12.01%	16.55%	22.18%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	341	14	1	2	4	13	6	8	12	2	8	15	6	3	16	10	13	9	4	7	5	7	7	3	12	4	0	4	2	3	3	10	1	2	1	8	3	1	4	3	8	5	1	0	1	2	3	3	7	6	2	7	7	4	5	3	2	2	0	1	8	28					
		1.18%	2.03%	0.18%	0.79%	0.87%	1.63%	0.88%	0.93%	1.47%	0.41%	0.95%	1.49%	1.11%	0.44%	2.54%	1.44%	2.51%	1.23%	1.93%	0.94%	1.09%	1.44%	1.22%	0.67%	1.75%	0.56%	0.00%	1.28%	0.66%	0.70%	0.81%	2.40%	0.62%	1.87%	0.58%	2.84%	1.60%	0.46%	1.40%	2.33%	1.21%	2.28%	0.26%	0.00%	0.29%	1.43%	0.56%	0.64%	1.63%	0.88%	1.14%	1.43%	1.27%	2.53%	2.54%	1.21%	1.08%	0.83%	0.00%	0.28%	0.93%	1.64%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	8322	191	136	70	169	291	255	298	318	186	334	320	192	257	221	246	125	230	57	211	151	149	170	148	219	149	113	90	97	118	115	128	48	25	49	62	45	52	64	33	205	85	90	111	89	42	80	131	135	191	37	164	134	27	46	49	52	78	33	37	133	241					
		28.90%	27.68%	25.05%	27.78%	36.74%	36.42%	37.56%	34.57%	38.88%	37.96%	39.86%	31.78%	35.49%	37.91%	35.08%	35.40%	24.18%	31.55%	27.54%	28.48%	33.04%	30.72%	29.57%	32.96%	31.97%	21.05%	32.38%	28.75%	31.91%	27.63%	30.91%	30.77%	29.63%	23.36%	28.49%	21.99%	24.06%	23.85%	22.38%	25.58%	31.01%	38.81%	23.75%	35.13%	26.25%	30.00%	15.04%	27.93%	31.40%	28.05%	21.14%	33.61%	24.32%	17.09%	23.35%	19.76%	28.11%	32.37%	16.58%	10.34%	15.50%	14.10%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	972	32	15	10	21	41	27	34	38	33	43	54	26	35	39	34	11	24	12	20	12	14	20	24	27	25	7	19	16	6	6	17	4	3	1	9	3	0	12	5	15	11	7	9	6	3	11	16	16	25	3	7	6	5	2	2	4	6	4	6	9	20					
		3.38%	4.64%	2.76%	3.97%	4.57%	5.13%	3.98%	3.94%	4.65%	6.73%	5.13%	5.36%	4.81%	5.16%	6.19%	4.89%	2.13%	3.29%	5.80%	2.70%	2.63%	2.89%	3.48%	5.35%	3.94%	3.53%	2.01%	6.07%	5.26%	1.41%	1.61%	4.09%	2.47%	2.80%	0.58%	3.19%	1.60%	0.00%	4.20%	3.88%	2.27%	5.02%	1.85%	2.85%	1.77%	2.14%	2.07%	3.41%	3.72%	3.67%	1.71%	1.43%	1.09%	3.16%	1.02%	0.81%	2.16%	2.49%	2.01%	1.68%	1.05%	1.17%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9021	190	200	71	112	200	170	209	188	113	183	240	127	151	152	159	159	177	54	211	132	123	151	104	164	220	125	78	85	157	125	101	49	48	61	96	65	82	87	48	220	52	138	112	142	52	267	164	116	209	72	150	191	54	82	108	68	72	96	218	459	812					
		31.33%	27.54%	36.83%	28.17%	24.35%	25.03%	25.04%	24.25%	22.98%	23.06%	21.84%	23.83%	23.48%	22.27%	24.13%	22.88%	30.75%	24.28%	26.09%	28.48%	28.88%	25.36%	26.26%	23.16%	23.94%	31.07%	35.82%	24.92%	27.96%	36.77%	33.60%	24.28%	30.25%	44.86%	35.47%	34.04%	34.76%	37.61%	30.42%	37.21%	33.28%	23.74%	36.41%	35.44%	41.89%	37.14%	50.19%	34.97%	26.98%	30.69%	41.14%	30.74%	34.66%	34.18%	41.62%	43.55%	36.76%	29.88%	48.24%	60.89%	53.50%	47.51%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	270	6	6	3	5	11	5	5	10	7	16	6	7	7	11	7	3	8	0	12	4	5	6	6	5	3	2	0	1	0	4	4	3	2	2	1	2	3	4	2	5	1	2	1	1	1	4	6	7	6	3	0	4	1	0	1	0	2	0	3	12	16					
		0.94%	0.87%	1.10%	1.19%	1.09%	1.38%	0.74%	0.58%	1.22%	1.43%	1.91%	0.60%	1.29%	1.03%	1.75%	1.01%	0.58%	1.10%	0.00%	1.62%	0.88%	1.03%	1.04%	1.34%	0.73%	0.42%	0.57%	0.00%	0.33%	0.00%	1.08%	0.96%	1.85%	1.87%	1.16%	0.35%	1.07%	1.38%	1.40%	1.55%	0.76%	0.46%	0.53%	0.32%	0.29%	0.71%	0.75%	1.28%	1.63%	0.88%	1.71%	0.00%	0.73%	0.63%	0.00%	0.40%	0.00%	0.83%	0.00%	0.84%	1.40%	0.94%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
