Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Льговская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722					
1	"Число избирателей, внесенных в список"	14652	209	90	118	477	331	120	183	166	511	230	169	153	119	279	201	266	60	477	575	486	48	380	239	183	234	368	101	111	268	197	515	427	498	180	89	186	326	858	115	352	197	950	560	410	638	625	377					
2	Число полученных избирательных бюллетеней	14576	209	86	115	466	327	115	190	164	505	230	169	152	116	274	191	260	59	475	571	490	48	377	236	182	233	366	98	104	268	196	516	428	498	179	90	185	323	857	113	348	201	953	568	414	635	615	381					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8312	137	72	32	249	185	76	154	79	281	152	93	84	80	225	134	197	50	233	265	281	41	198	90	112	153	241	72	69	191	92	237	208	248	105	64	110	172	422	65	239	111	602	325	225	262	344	255					
5	"Число избирательных бюллетеней, выданных вне помещения"	2132	21	6	52	69	55	19	4	47	88	31	46	30	8	40	38	30	9	88	69	82	3	38	53	22	37	42	14	25	30	50	92	91	80	50	7	21	58	60	20	47	30	52	94	74	90	56	64					
6	Число погашенных избирательных бюллетеней	4132	51	8	31	148	87	20	32	38	136	47	30	38	28	9	19	33	0	154	237	127	4	141	93	48	43	83	12	10	47	54	187	129	170	24	19	54	93	375	28	62	60	299	149	115	283	215	62					
7	Число избирательных бюллетеней в переносных ящиках	2132	21	6	52	69	55	19	4	47	88	31	46	30	8	40	38	30	9	88	69	82	3	38	53	22	37	42	14	25	30	50	92	91	80	50	7	21	58	60	20	47	30	52	94	74	90	56	64					
8	Число бюллетеней в стационарных ящиках для голосования	8309	137	72	32	249	185	76	154	79	281	152	93	84	80	225	134	197	50	233	265	281	41	198	90	112	153	241	72	69	191	92	237	208	248	105	64	110	172	419	65	239	111	602	325	225	262	344	255					
9	Число недействительных избирательных бюллетеней	145	6	1	3	5	3	1	4	1	3	3	3	0	2	0	1	1	0	9	6	8	2	4	1	4	0	2	1	1	5	0	6	4	2	1	0	4	3	12	2	1	1	12	6	2	0	4	5					
10	Число действительных избирательных бюллетеней	10296	152	77	81	313	237	94	154	125	366	180	136	114	86	265	171	226	59	312	328	355	42	232	142	130	190	281	85	93	216	142	323	295	326	154	71	127	227	467	83	285	140	642	413	297	352	396	314					
